id;Q;P_ERA5L;PET_ERA5L;ET_ERA5L;P_rav;PET_rav;ET_rav
1;4.546374217977823;3.761177544500228;1.7012688270196257;0.7219899589228663;4.078349840255591;0.6163852122318576;0.6513144682793246
3;3.0740507626774876;2.874974726200506;0.521248946925021;0.35036120471777593;3.1193178180286436;0.5220976200505476;0.35459877843302445
7;2.4000206430159015;3.085207049965777;0.6860130047912388;0.4183281998631075;3.350932922655715;0.5757337440109513;0.4971201232032854
8;8.966230632055787;5.114129145117128;3.5298136598722243;0.7681533313051415;4.970365074536051;0.5440766656525707;0.680842713720718
9;5.076413993699404;3.372626967830253;0.4198206707734428;0.2781013004791239;3.7839156741957565;0.6037972621492128;0.3881875427789185
11;10.567720655930744;5.982387209811651;0.6896605343845816;0.3101248357424441;7.054001423565484;0.5275879325448971;0.5862133158125274
12;6.770609523503559;3.880325670498084;0.7061521620142309;0.482424740010947;5.814274767378216;0.38649288451012587;0.3748850574712643
13;1.2823378114085273;4.1794934030370925;3.3362845407020165;0.9486270848892208;5.74072068707991;0.5417897684839432;0.6373412994772217
14;4.474259932025664;5.227676163439116;1.0339480888167898;0.5378181080807056;5.682907837371997;0.4669768833012268;0.5181942613809186
15;5.480814579668343;4.285702564102564;0.42338119658119655;0.29725128205128204;5.5787025641025645;0.4499603418803419;0.42208205128205134
16;6.2453007279601;3.499127543035994;0.6904420970266041;0.43900234741784033;5.233857589984351;0.5017507824726134;0.4310876369327073
17;7.088335351548925;3.363132488873673;0.8945395412529955;0.47098596371105783;6.153580623074289;0.2829674768914755;0.2719685039370079
18;2.675432977130155;2.9158356164383563;0.6483287671232877;0.4248127853881279;2.8241680365296804;0.586083105022831;0.44465753424657534
20;4.037384822748334;4.1413864396473095;1.037002128306476;0.6608391608391608;4.097196716327151;0.4493311036789298;0.5248616600790513
21;7.137283639037916;4.757932922655716;0.6593360711841204;0.424031485284052;6.057427960301163;0.4458981861738536;0.4664835728952772
22;1.4830638923363046;2.6613392667938123;1.5655477855477855;0.6303750794659886;2.1373986013986013;0.67541428268701;0.6289192625556261
23;9.050622784201696;6.501152325934935;4.735460626330192;1.0196564305259956;6.829475220431743;0.36076862268166615;0.6699179081787776
24;8.200691706727099;5.071596715328467;0.6305413625304136;0.4330444038929441;6.7581730535279805;0.46500304136253034;0.5787682481751825
25;10.31676623788133;5.84833192923336;6.208060235888796;1.2248399326032013;4.402170176916597;0.529159646166807;0.6682982308340354
26;4.6468207418498135;4.413930526315789;0.7551305263157895;0.5236210526315789;4.7360810526315795;0.6187183157894738;0.6745515789473684
27;5.215111446909236;3.4602993348115296;2.4983924611973394;0.9351164079822616;4.140524944567627;0.5643891352549889;0.7151441241685144
29;7.431186013239894;4.3875685785536165;0.5877356608478803;0.41467082294264335;6.3409827930174565;0.5109887780548629;0.4784513715710723
30;3.4697118957054984;3.007125912408759;1.466566301703163;0.6403953771289538;3.974154501216545;0.5044717153284671;0.6115936739659368
31;3.1436612032247275;3.0001642335766427;0.6526459854014598;0.39258211678832117;3.0651797445255475;0.7391906934306569;0.5115921532846714
35;9.344265154416092;5.6874139280125195;0.47681533646322377;0.18588419405320813;7.9109733959311415;0.4459432707355243;0.3878951486697966
36;4.607359737392692;4.02301318736004;0.517240607116198;0.3273102761881065;4.848086588703658;0.4762139835780045;0.4204901716844986
37;4.166926481469275;3.675934622085788;0.771035426864681;0.37642163776653115;5.041630465444287;0.6498155645897288;0.5841350701070273
38;13.033024144337249;6.719172218672995;0.6002765355480514;0.3583581272246053;10.421619421374464;0.3170932737063064;0.35578443004472027
39;1.0832378939691716;4.377972085385879;2.70531746031746;0.9204433497536945;6.047773946360153;0.522259715380405;0.6365654077723044
40;14.718964262789541;7.214264202600957;0.7073032169746748;0.3848323066392882;10.720265229295002;0.2997885010266941;0.39942847364818623
45;3.202952952170268;3.5859934318555013;0.5145867542419267;0.33600985221674884;3.410511767925561;0.6010941434044883;0.39459770114942533
46;4.237051172386447;3.898281559814937;0.25216315739779055;0.17807572467189123;4.340712963837221;0.6013721083939193;0.3368548767821736
47;5.560486884632268;3.9760164383561643;0.466104109589041;0.30060273972602736;5.181827945205479;0.5944958904109588;0.5012438356164384
48;7.723637886491987;4.915019774870703;0.2626163675083663;0.18234560389412835;7.795576209309401;0.4342017036811682;0.3697322786735625
54;6.364638485320896;4.40971506849315;0.4011945205479453;0.2791780821917808;6.202771506849316;0.490254794520548;0.4284876712328767
56;8.103654565935422;4.833047445255475;0.42848996350364965;0.29499087591240875;7.40787545620438;0.4276122262773723;0.38666970802919703
