,P_ERA5L_1981,ET_ERA5L_1981,PET_ERA5L_1981,P_ravII_1981,ET_ravII_1981,PET_ravII_1981
1,3.810521681219476,0.6782040846529525,1.3634971141038925,4.274819025714698,0.6394154210448457,0.5869648720417172
2,2.964689211188397,0.3011965369246707,0.46738715406245374,3.7358499265232314,0.3542504069853525,0.5397016297833067
3,2.891250554980021,0.3447772680183513,0.5122939174189729,3.14102825081503,0.351841053722071,0.5219519061202295
4,3.0538722805978984,0.22535370726653842,0.3498941838093828,4.6426550346343145,0.35765354447240355,0.5413834923139269
5,3.13371910611218,0.3682810418824922,0.6161417788959597,2.6970317580789485,0.46984534556756785,0.5429096448948515
6,3.0289225987864437,0.3823405357407133,0.6102752700902767,3.401566777781132,0.4654676631641306,0.5791699284033897
7,2.983890039958561,0.4002138523013171,0.6572132603226284,3.2442119788843944,0.4769372502589949,0.5894879875244985
8,5.099946721918011,0.7482980612697943,3.279406541364511,4.959663510333696,0.6802863696906961,0.5420059232616239
9,3.2856526565043658,0.30292659464259286,0.46575181293473433,3.6152442802985294,0.3939618173745812,0.6270839418992529
10,3.9505897587686842,0.5638471215036258,0.8720090276750037,4.576032786392461,0.30300355187213707,0.3551112335674968
11,6.017347935474323,0.3477009027675004,0.783717626165458,7.1102629240318524,0.5793503033890818,0.5309990678746194
12,3.9643754624833507,0.4614658872280598,0.6979902323516353,5.796550814704359,0.36754402841498335,0.39799854457963885
13,4.19875018499334,0.9197920674855705,3.1245745153174487,5.7972202678188625,0.6308598490454379,0.5265762730982287
14,5.175236051502146,0.55882714222288,1.0883957377534408,5.726323858861514,0.5176098860441061,0.4745942335606293
15,4.104686991268314,0.3151583542992452,0.4470267870356666,5.511321482182278,0.41499704010656113,0.43741469837907515
16,3.792902175521681,0.4384356963149327,0.6710455823590351,5.711235398173954,0.4096914311084903,0.4623759903422136
17,3.604950421784816,0.4252789699570815,0.7089100192393074,6.365554952329237,0.2572791179517587,0.2815196095060223
18,3.0141926890631936,0.3895663756104781,0.5754047654284445,2.9431495731715254,0.4288212224359967,0.6037563007992723
19,3.9529191949089832,0.6018358739085393,0.940452123723546,4.503651322435836,0.4480242711262467,0.3998521140520602
20,3.970424744709191,0.6097173301761137,0.9505623797543288,4.242914165686322,0.51364732869617,0.457430351944799
21,4.503941838093829,0.4110685215332248,0.644007695722954,5.824048657644229,0.46203122687584164,0.47188517518690626
22,2.6405157614325883,0.6250621577623205,1.4914740269350302,2.193055297792175,0.6340661536184746,0.6733209543039697
23,6.13688323220364,0.8873531152878495,4.277624685511321,6.663246075725748,0.6364555276010088,0.3616771653305522
24,4.85550910167234,0.4489329584134972,0.6621355631197278,6.4246245492219,0.5879695130975324,0.5120133681791292
25,5.512789699570815,1.3557347935474324,4.561054462039367,4.501370922718236,0.6671577623205617,0.5031107048555273
26,4.466590942726062,0.48424152730501707,0.7070275270090277,4.878577110868735,0.6445456563563734,0.5880252663045451
27,3.3018129347343494,0.8634941542104484,2.3205468403137486,4.066300626117653,0.6960056237975477,0.5382190089894947
28,3.117454491638301,0.4559486458487495,0.7838530412905135,3.414307632108571,0.4653374278526017,0.5093650101175661
29,4.603648808642888,0.38626165458043515,0.5407488530412905,6.668944530656467,0.4581545064377732,0.47387328881636404
30,3.0677453011691576,0.6139477578807162,1.324874944501998,4.068020145251163,0.5957991712298396,0.49932744484519936
31,3.2185008139706976,0.38044842385674116,0.6569601894331804,3.3974488907766274,0.5263193725025921,0.6901035776729003
32,2.820467663164126,0.38196758916678997,0.5702427112623946,2.3606186931057276,0.44086206896552294,0.606697541503859
