YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.006;0.052;0.0;0.0;0.011;0.0;0.559;0.372
2001;0.006;0.052;0.0;0.0;0.011;0.0;0.559;0.372
2002;0.006;0.052;0.0;0.0;0.011;0.0;0.559;0.372
2003;0.006;0.052;0.0;0.0;0.011;0.0;0.559;0.372
2004;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2005;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2006;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2007;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2008;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2009;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2010;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2011;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2012;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2013;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2014;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2015;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2016;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2017;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
2018;0.006;0.052;0.0;0.0;0.011;0.0;0.56;0.372
