YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2001;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2002;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2003;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2004;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2005;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2006;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2007;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2008;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2009;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2010;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2011;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2012;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2013;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2014;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2015;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2016;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2017;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
2018;0.0;0.89;0.0;0.0;0.013;0.0;0.065;0.007
