YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2001;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2002;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2003;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2004;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2005;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2006;0.002;0.682;0.0;0.09;0.0;0.0;0.226;0.0
2007;0.002;0.683;0.0;0.089;0.0;0.0;0.226;0.0
2008;0.002;0.685;0.0;0.088;0.0;0.0;0.226;0.0
2009;0.002;0.686;0.0;0.087;0.0;0.0;0.226;0.0
2010;0.002;0.687;0.0;0.086;0.0;0.0;0.226;0.0
2011;0.002;0.688;0.0;0.085;0.0;0.0;0.226;0.0
2012;0.002;0.689;0.0;0.084;0.0;0.0;0.226;0.0
2013;0.002;0.691;0.0;0.081;0.0;0.0;0.226;0.0
2014;0.002;0.693;0.0;0.079;0.0;0.0;0.226;0.0
2015;0.002;0.695;0.0;0.077;0.0;0.0;0.226;0.0
2016;0.002;0.698;0.0;0.075;0.0;0.0;0.226;0.0
2017;0.002;0.7;0.0;0.072;0.0;0.0;0.226;0.0
2018;0.002;0.702;0.0;0.07;0.0;0.0;0.226;0.0
