YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.039;0.23;0.003;0.0;0.028;0.001;0.573;0.105
2001;0.04;0.23;0.003;0.0;0.028;0.001;0.573;0.104
2002;0.04;0.23;0.003;0.0;0.028;0.001;0.573;0.103
2003;0.041;0.23;0.004;0.0;0.028;0.001;0.572;0.103
2004;0.041;0.23;0.004;0.0;0.028;0.001;0.572;0.102
2005;0.042;0.23;0.004;0.0;0.028;0.001;0.572;0.101
2006;0.043;0.23;0.004;0.0;0.028;0.001;0.571;0.1
2007;0.043;0.23;0.004;0.0;0.028;0.001;0.571;0.1
2008;0.043;0.23;0.004;0.0;0.028;0.001;0.571;0.1
2009;0.043;0.23;0.004;0.0;0.028;0.001;0.57;0.1
2010;0.043;0.23;0.004;0.0;0.028;0.001;0.57;0.1
2011;0.044;0.23;0.004;0.0;0.028;0.001;0.57;0.1
2012;0.044;0.23;0.004;0.0;0.028;0.001;0.569;0.1
2013;0.044;0.23;0.012;0.0;0.028;0.001;0.562;0.1
2014;0.044;0.23;0.019;0.0;0.028;0.001;0.555;0.1
2015;0.044;0.23;0.027;0.0;0.028;0.001;0.548;0.1
2016;0.044;0.23;0.034;0.0;0.028;0.001;0.541;0.099
2017;0.044;0.23;0.041;0.0;0.028;0.001;0.533;0.099
2018;0.044;0.229;0.049;0.0;0.028;0.001;0.526;0.099
