YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2001;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2002;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2003;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2004;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2005;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2006;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2007;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2008;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2009;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2010;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2011;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2012;0.0;0.451;0.0;0.0;0.01;0.0;0.532;0.008
2013;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2014;0.0;0.451;0.0;0.0;0.01;0.0;0.531;0.008
2015;0.0;0.451;0.001;0.0;0.01;0.0;0.531;0.008
2016;0.0;0.451;0.001;0.0;0.01;0.0;0.531;0.008
2017;0.0;0.451;0.001;0.0;0.01;0.0;0.531;0.008
2018;0.0;0.451;0.001;0.0;0.01;0.0;0.53;0.008
