YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.187;0.0;0.672;0.001;0.0;0.118;0.018
2001;0.0;0.189;0.0;0.669;0.001;0.0;0.118;0.018
2002;0.0;0.191;0.0;0.666;0.001;0.0;0.118;0.018
2003;0.0;0.194;0.0;0.663;0.001;0.0;0.118;0.018
2004;0.0;0.196;0.0;0.66;0.001;0.0;0.118;0.018
2005;0.0;0.198;0.0;0.658;0.001;0.0;0.118;0.018
2006;0.0;0.2;0.0;0.655;0.001;0.0;0.118;0.018
2007;0.0;0.198;0.0;0.653;0.01;0.0;0.114;0.018
2008;0.0;0.195;0.0;0.651;0.019;0.0;0.11;0.018
2009;0.0;0.193;0.0;0.649;0.027;0.0;0.106;0.018
2010;0.0;0.191;0.0;0.647;0.036;0.0;0.102;0.018
2011;0.0;0.188;0.0;0.645;0.045;0.0;0.098;0.018
2012;0.0;0.186;0.0;0.643;0.054;0.0;0.094;0.018
2013;0.0;0.188;0.0;0.641;0.054;0.0;0.094;0.018
2014;0.0;0.19;0.0;0.638;0.054;0.0;0.094;0.018
2015;0.0;0.192;0.0;0.636;0.054;0.0;0.094;0.018
2016;0.0;0.194;0.0;0.634;0.054;0.0;0.094;0.018
2017;0.0;0.196;0.0;0.632;0.054;0.0;0.094;0.018
2018;0.0;0.199;0.0;0.63;0.054;0.0;0.094;0.018
