YYYY;MM;DD;qobs;qc_flag
1990;6;1;116.0;100.0
1990;6;2;107.7;100.0
1990;6;3;113.5;100.0
1990;6;4;119.5;100.0
1990;6;5;96.4;100.0
1990;6;6;82.0;40.0
1990;6;7;83.8;40.0
1990;6;8;93.0;40.0
1990;6;9;111.0;40.0
1990;6;10;118.0;40.0
1990;6;11;111.0;40.0
1990;6;12;115.0;40.0
1990;6;13;145.0;40.0
1990;6;14;113.0;40.0
1990;6;15;140.0;40.0
1990;6;16;131.0;40.0
1990;6;17;122.0;40.0
1990;6;18;109.0;40.0
1990;6;19;77.0;40.0
1990;6;20;64.3;40.0
1990;6;21;54.5;40.0
1990;6;22;51.8;40.0
1990;6;23;54.5;40.0
1990;6;24;55.8;40.0
1990;6;25;60.0;40.0
1990;6;26;42.1;40.0
1990;6;27;28.6;40.0
1990;6;28;27.9;40.0
1990;6;29;29.3;40.0
1990;6;30;36.6;40.0
1990;7;1;34.5;40.0
1990;7;2;34.5;40.0
1990;7;3;25.2;40.0
1990;7;4;21.2;40.0
1990;7;5;19.4;40.0
1990;7;6;22.5;40.0
1990;7;7;23.8;40.0
1990;7;8;35.6;40.0
1990;7;9;37.7;40.0
1990;7;10;37.7;40.0
1990;7;11;42.1;40.0
1990;7;12;40.9;40.0
1990;7;13;43.2;40.0
1990;7;14;67.4;40.0
1990;7;15;101.0;40.0
1990;7;16;73.6;40.0
1990;7;17;48.0;40.0
1990;7;18;40.9;40.0
1990;7;19;49.3;40.0
1990;7;20;35.6;40.0
1990;7;21;30.7;40.0
1990;7;22;25.2;40.0
1990;7;23;24.5;40.0
1990;7;24;24.5;40.0
1990;7;25;45.5;40.0
1990;7;26;29.3;40.0
1990;7;27;23.2;40.0
1990;7;28;21.2;40.0
1990;7;29;21.9;40.0
1990;7;30;17.2;40.0
1990;7;31;25.8;40.0
1990;8;1;22.5;40.0
1990;8;2;20.6;40.0
1990;8;3;15.0;40.0
1990;8;4;12.4;40.0
1990;8;5;12.9;40.0
1990;8;6;11.5;40.0
1990;8;7;9.78;40.0
1990;8;8;9.78;40.0
1990;8;9;8.1;40.0
1990;8;10;13.4;40.0
1990;8;11;13.4;40.0
1990;8;12;16.1;40.0
1990;8;13;14.5;40.0
1990;8;14;12.0;40.0
1990;8;15;9.78;40.0
1990;8;16;11.1;40.0
1990;8;17;8.94;40.0
1990;8;18;7.36;40.0
1990;8;19;7.36;40.0
1990;8;20;12.9;40.0
1990;8;21;14.5;40.0
1990;8;22;20.0;40.0
1990;8;23;12.0;40.0
1990;8;24;8.52;40.0
1990;8;25;7.73;40.0
1990;8;26;8.52;40.0
1990;8;27;9.78;40.0
1990;8;28;16.6;40.0
1990;8;29;36.6;40.0
1990;8;30;40.9;40.0
1990;8;31;21.9;40.0
1990;9;1;18.9;40.0
1990;9;2;13.4;40.0
1990;9;3;18.9;40.0
1990;9;4;20.0;40.0
1990;9;5;21.9;40.0
1990;9;6;27.9;40.0
1990;9;7;25.8;40.0
1990;9;8;21.2;40.0
1990;9;9;17.7;40.0
1990;9;10;24.5;40.0
1990;9;11;17.2;40.0
1990;9;12;10.6;40.0
1990;9;13;10.2;40.0
1990;9;14;11.5;40.0
1990;9;15;10.2;40.0
1990;9;16;7.73;40.0
1990;9;17;5.28;40.0
1990;9;18;5.28;40.0
1990;9;19;2.13;40.0
1990;9;20;1.58;40.0
1990;9;21;1.95;40.0
1990;9;22;3.04;40.0
1990;9;23;5.28;40.0
1990;9;24;6.61;40.0
1990;9;25;7.36;40.0
1990;9;26;7.36;40.0
1990;9;27;9.36;40.0
1990;9;28;8.94;40.0
1990;9;29;7.36;40.0
1990;9;30;5.92;40.0
1990;10;1;8.1;40.0
1990;10;2;15.5;40.0
1990;10;3;16.6;40.0
1990;10;4;11.1;40.0
1990;10;5;8.1;40.0
1990;10;6;7.73;40.0
1990;10;7;6.61;40.0
1990;10;8;6.98;40.0
1990;10;9;9.36;40.0
1990;10;10;;250.0
1990;10;11;;250.0
1990;10;12;;250.0
1990;10;13;;250.0
1990;10;14;;250.0
1990;10;15;;250.0
1990;10;16;;250.0
1990;10;17;;250.0
1990;10;18;;250.0
1990;10;19;;250.0
1990;10;20;;250.0
1990;10;21;;250.0
1990;10;22;;250.0
1990;10;23;;250.0
1990;10;24;;250.0
1990;10;25;;250.0
1990;10;26;;250.0
1990;10;27;;250.0
1990;10;28;;250.0
1990;10;29;;250.0
1990;10;30;;250.0
1990;10;31;;250.0
1990;11;1;;250.0
1990;11;2;;250.0
1990;11;3;;250.0
1990;11;4;;250.0
1990;11;5;;250.0
1990;11;6;;250.0
1990;11;7;;250.0
1990;11;8;;250.0
1990;11;9;;250.0
1990;11;10;;250.0
1990;11;11;;250.0
1990;11;12;;250.0
1990;11;13;;250.0
1990;11;14;;250.0
1990;11;15;;250.0
1990;11;16;;250.0
1990;11;17;;250.0
1990;11;18;;250.0
1990;11;19;;250.0
1990;11;20;;250.0
1990;11;21;;250.0
1990;11;22;;250.0
1990;11;23;;250.0
1990;11;24;;250.0
1990;11;25;;250.0
1990;11;26;;250.0
1990;11;27;;250.0
1990;11;28;;250.0
1990;11;29;;250.0
1990;11;30;;250.0
1990;12;1;;250.0
1990;12;2;;250.0
1990;12;3;;250.0
1990;12;4;;250.0
1990;12;5;;250.0
1990;12;6;;250.0
1990;12;7;;250.0
1990;12;8;;250.0
1990;12;9;;250.0
1990;12;10;;250.0
1990;12;11;;250.0
1990;12;12;;250.0
1990;12;13;;250.0
1990;12;14;;250.0
1990;12;15;;250.0
1990;12;16;;250.0
1990;12;17;;250.0
1990;12;18;;250.0
1990;12;19;;250.0
1990;12;20;;250.0
1990;12;21;;250.0
1990;12;22;;250.0
1990;12;23;;250.0
1990;12;24;;250.0
1990;12;25;;250.0
1990;12;26;;250.0
1990;12;27;;250.0
1990;12;28;;250.0
1990;12;29;;250.0
1990;12;30;;250.0
1990;12;31;;250.0
1991;1;1;;250.0
1991;1;2;;250.0
1991;1;3;;250.0
1991;1;4;;250.0
1991;1;5;;250.0
1991;1;6;;250.0
1991;1;7;;250.0
1991;1;8;;250.0
1991;1;9;;250.0
1991;1;10;;250.0
1991;1;11;;250.0
1991;1;12;;250.0
1991;1;13;;250.0
1991;1;14;;250.0
1991;1;15;;250.0
1991;1;16;;250.0
1991;1;17;;250.0
1991;1;18;;250.0
1991;1;19;;250.0
1991;1;20;;250.0
1991;1;21;;250.0
1991;1;22;;250.0
1991;1;23;;250.0
1991;1;24;;250.0
1991;1;25;;250.0
1991;1;26;;250.0
