YYYY;MM;DD;qobs;qc_flag
2005;5;24;5.02;40
2005;5;25;4.97;40
2005;5;26;5.0;40
2005;5;27;4.9;40
2005;5;28;4.87;40
2005;5;29;4.87;40
2005;5;30;4.85;40
2005;5;31;4.9;40
2005;6;1;4.93;40
2005;6;2;4.91;40
2005;6;3;4.8;40
2005;6;4;4.72;40
2005;6;5;4.61;40
2005;6;6;4.95;40
2005;6;7;9.05;40
2005;6;8;8.97;40
2005;6;9;6.81;40
2005;6;10;6.23;40
2005;6;11;6.03;40
2005;6;12;5.86;40
2005;6;13;5.74;40
2005;6;14;5.56;40
2005;6;15;5.4;40
2005;6;16;5.24;40
2005;6;17;5.13;40
2005;6;18;5.13;40
2005;6;19;5.19;40
2005;6;20;5.23;40
2005;6;21;5.12;40
2005;6;22;4.98;40
2005;6;23;4.87;40
2005;6;24;4.87;40
2005;6;25;6.16;40
2005;6;26;7.02;40
2005;6;27;6.21;40
2005;6;28;8.79;40
2005;6;29;7.27;40
2005;6;30;7.56;40
2005;7;1;7.76;40
2005;7;2;7.64;40
2005;7;3;7.26;40
2005;7;4;6.78;40
2005;7;5;6.31;40
2005;7;6;6.02;40
2005;7;7;6.21;40
2005;7;8;17.25;40
2005;7;9;18.01;40
2005;7;10;14.84;40
2005;7;11;12.8;40
2005;7;12;12.54;40
2005;7;13;10.95;40
2005;7;14;9.54;40
2005;7;15;8.67;40
2005;7;16;8.86;40
2005;7;17;10.91;40
2005;7;18;8.85;40
2005;7;19;8.11;40
2005;7;20;7.37;40
2005;7;21;7.03;40
2005;7;22;6.68;40
2005;7;23;6.33;40
2005;7;24;6.09;40
2005;7;25;5.83;40
2005;7;26;5.67;40
2005;7;27;5.36;40
2005;7;28;5.33;40
2005;7;29;5.31;40
2005;7;30;5.29;40
2005;7;31;5.99;40
2005;8;1;5.92;40
2005;8;2;7.29;40
2005;8;3;6.71;40
2005;8;4;6.0;40
2005;8;5;5.69;40
2005;8;6;5.44;40
2005;8;7;5.54;40
2005;8;8;5.55;40
2005;8;9;6.15;40
2005;8;10;6.63;40
2005;8;11;6.57;40
2005;8;12;6.2;40
2005;8;13;5.83;40
2005;8;14;6.91;40
2005;8;15;8.44;40
2005;8;16;12.91;40
2005;8;17;22.33;40
2005;8;18;14.21;40
2005;8;19;11.56;40
2005;8;20;11.04;40
2005;8;21;11.55;40
2005;8;22;12.67;40
2005;8;23;14.48;40
2005;8;24;13.52;40
2005;8;25;10.9;40
2005;8;26;9.52;40
2005;8;27;8.76;40
2005;8;28;8.14;40
2005;8;29;7.61;40
2005;8;30;7.27;40
2005;8;31;7.17;40
2005;9;1;7.1;40
2005;9;2;6.87;40
2005;9;3;6.75;40
2005;9;4;6.89;40
2005;9;5;6.61;40
2005;9;6;6.3;40
2005;9;7;5.84;40
2005;9;8;5.73;40
2005;9;9;5.91;40
2005;9;10;9.9;40
2005;9;11;7.84;40
2005;9;12;7.08;40
2005;9;13;6.92;40
2005;9;14;6.39;40
2005;9;15;6.24;40
2005;9;16;9.03;40
2005;9;17;10.61;40
2005;9;18;8.36;40
2005;9;19;7.66;40
2005;9;20;7.66;40
2005;9;21;7.53;40
2005;9;22;8.13;40
2005;9;23;7.96;40
2005;9;24;7.4;40
2005;9;25;7.0;40
2005;9;26;8.31;40
2005;9;27;11.08;40
2005;9;28;10.62;40
2005;9;29;8.82;40
2005;9;30;8.98;40
2005;10;1;8.36;40
2005;10;2;18.27;40
2005;10;3;13.44;40
2005;10;4;18.2;40
2005;10;5;18.28;40
2005;10;6;22.21;40
2005;10;7;19.21;40
2005;10;8;15.3;40
2005;10;9;12.81;40
2005;10;10;11.01;40
2005;10;11;9.51;40
2005;10;12;8.99;40
2005;10;13;8.47;40
2005;10;14;8.07;40
2005;10;15;14.76;40
2005;10;16;16.85;40
2005;10;17;15.15;40
2005;10;18;13.63;40
2005;10;19;12.35;40
2005;10;20;10.84;40
2005;10;21;9.28;40
2005;10;22;8.33;40
2005;10;23;8.02;40
2005;10;24;7.82;40
2005;10;25;7.39;100
2005;10;26;7.24;100
2005;10;27;7.2;100
2005;10;28;8.26;100
2005;10;29;7.64;100
2005;10;30;7.66;100
2005;10;31;7.67;100
2005;11;1;7.9;100
2005;11;2;7.65;40
2005;11;3;7.05;100
2005;11;4;7.28;100
2005;11;5;7.09;40
2005;11;6;6.08;40
2005;11;7;6.05;40
2005;11;8;5.93;40
2005;11;9;5.88;40
2005;11;10;6.65;40
2005;11;11;6.37;40
2005;11;12;5.68;100
2005;11;13;9.81;100
2005;11;14;9.23;40
2005;11;15;6.52;100
2005;11;16;6.12;100
2005;11;17;6.18;100
2005;11;18;7.26;40
2005;11;19;15.61;40
2005;11;20;31.3;40
2005;11;21;14.68;40
2005;11;22;13.19;40
2005;11;23;12.18;40
2005;11;24;9.48;100
2005;11;25;9.2;100
2005;11;26;8.86;100
2005;11;27;7.7;40
2005;11;28;7.41;40
2005;11;29;6.96;40
2005;11;30;7.38;40
2005;12;1;6.72;40
2005;12;2;6.51;100
2005;12;3;6.17;40
2005;12;4;6.11;40
2005;12;5;5.73;40
2005;12;6;5.55;40
2005;12;7;5.3;40
2005;12;8;5.7;40
2005;12;9;8.27;40
2005;12;10;9.05;40
