id;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
1;4.546374217977823;1.1147582713730366;1.3649982181416458;2.7152913963071343;0.5607615889522679;153.41666666666666;0.9962302297664427;12.54908914769496;4.000912825193976;1.7142857142857142;6.084721588315838;3.1739130434782608;0.0
3;3.074050762677488;0.9836526035401081;0.620081315983406;1.4213270064417471;0.7575947856572913;240.5;1.4549899286813182;6.775539119539415;;;;;0.0
7;2.400020643015902;0.7136421771250524;0.7436175674423265;0.6197614798057226;0.7923142213164811;183.25;1.277504162398689;3.8960223843223636;0.1948346372688478;3.0;;;0.0
8;8.966230632055787;1.8034329506545834;0.4467113805035677;0.3848752654266285;0.8797286968653987;177.72727272727272;6.857260331576037;12.488664273421744;;;;;0.0
9;5.076413993699405;1.383091946082802;-1.4992981483867536;3.4157141245823204;0.6149369563873369;258.0;0.6744912242920211;16.350597609561753;3.4253715192612897;2.7083333333333335;71.51121771750108;16.349397590361445;0.0
11;10.567720655930744;1.4777593753144675;-0.237473252511435;3.2728217552339087;0.6418362819097859;270.5;1.8854233253245751;27.48413957281724;0.6650734038921133;1.0666666666666667;29.30479685899624;7.833333333333333;0.0
12;6.770609523503559;1.1909839058709866;0.8224702079124772;1.8229696576801664;0.6295934881642826;183.0;1.9454895154102358;15.503119575925318;0.21180052189040302;1.0;7.307118005218904;2.6538461538461537;0.0
13;1.282337811408527;0.22389205798565737;2.982404870796283;1.5812990821524897;0.7271787384967031;159.625;0.5026960321077969;3.0321856204209143;0.5524325686917066;2.0;0.3222523317368288;1.1666666666666667;0.0
14;4.474259932025664;0.7920202153448954;0.6349398286740922;0.5717390514382608;0.839297527834282;194.66666666666666;3.123135382691009;7.556493550179529;;;;;0.0
15;5.480814579668342;0.9893545164463861;0.4499916538751349;3.735112958994336;0.44219932840636816;;0.39235181644359457;21.476099426386234;16.89720577350111;3.125;96.38166173205033;8.9125;0.0
16;6.2453007279601;1.2107017345826507;1.1218719583284094;3.849886501802329;0.4870262485312634;251.5;0.53527024140141;23.07199316385388;17.727737665463298;2.813953488372093;94.79211793020457;8.0875;0.0020056157240272766
17;7.088335351548925;1.1614752282569976;-0.832765904643509;2.045759068232674;0.613880191606616;200.5;1.7969451931716083;18.05570530098832;1.0369056068133429;4.0;4.1476224272533715;2.909090909090909;0.0
18;2.675432977130155;0.9295950678183431;0.2603336862900422;0.8117295522630071;0.733557117185648;218.0;1.4700888901085962;5.884026958286893;;;;;0.0
20;4.037384822748334;0.9780315849807134;1.5324583554098252;1.4929039994258844;0.6420063742390462;203.42857142857142;1.2002573258621816;9.833249111946072;0.7869344413665743;1.4;5.620960295475531;5.0;0.0
21;7.137283639037916;1.1759448132951957;0.9928265276162196;3.723306224711985;0.37717880815832533;168.0;0.42626821489612887;26.922643736894948;14.45753868297949;1.7886178861788617;105.27716804605974;7.281818181818182;0.0
22;1.4830638923363046;0.7021651877741656;0.9322309622455188;0.9094078559101153;0.712794245119328;192.33333333333334;0.5893333563577652;3.6533073157253946;1.2709873858199217;5.333333333333333;0.6354936929099608;2.6666666666666665;0.0
23;9.050622784201694;1.30535655856904;0.6276772812294804;1.9509130498690612;0.499821069064838;146.0;2.0341969097452237;27.62795194528494;3.616336633663366;1.1481481481481481;9.682449696582562;4.882352941176471;0.0
