id;V_no;name;river;VHM_no;gaps_hourly;obsbeg_day;obsend_day;obsbeg_hr;obsend_hr;typimpact;degimpact;elevation;lat;lon;geometry
96;15681;Álftafitjakvísl;Álftafitjakvísl;-1;19.09550937271252;1984;2024;2005;2023;B;l;498;422625;501221;POINT (501221 422625.54299)
97;V328;Eystri-Ásar;Ása-Eldvatn;328;;1993;2020;-1;-1;E;s;74;352174;529186;POINT (529186 352174)
98;V64;Selfoss;Ölfusá;64;0.0212800669612773;1950;2023;2005;2021;C;l;13;383164;401601;POINT (401601 383164)
99;V100;Norðlingaalda, 1970-1980;Þjórsá;100;;1970;1980;-1;-1;F;u;557;441342;505447;POINT (505447 441342)
100;V97;Sandafell;Þjórsá;97;;1968;1997;-1;-1;A;s;271;407404;471247;POINT (471247.8 407404.7)
101;V112;Dynkur, 1988-1996;Þjórsá;112;;1988;1996;-1;-1;F;u;359;425437;489580;POINT (489580.3 425437.3)
102;V320;Þjórsártún;Þjórsá;30;0.0;1947;2024;2002;2023;A;s;43;382151;419988;POINT (419988 382151)
103;V597;Tröllkonuhlaup;Þjórsá;597;;1962;1968;-1;-1;F;u;204;396364;462141;POINT (462141 396364)
104;15654;Þjórsárlón Reservoir Outflow;Þjórsá;-1;108.98020270171452;1997;2024;2000;2023;F;u;615;464233;526422;POINT (526422.3 464233.1)
105;V38;Nauteyri;Þverá;38;0.0;1967;2021;2005;2021;F;u;21;605213;348410;POINT (348410 605213)
106;V476;Brúarhylur;Þverárvatn I;476;;2002;2020;-1;-1;E;s;54;375501;557458;POINT (557458 375501)
107;V94;Þórisós;Þórisós;94;;1958;1970;-1;-1;D;l;579;428212;510546;POINT (510546.5186683773 428212.9473279887)
890;V68_2;Faxi;Tungufljót;68;0.0;1986;2019;2005;2019;E;s;71;415007;435330;POINT (435330 415007)
990;V100_2;Norðlingaalda, 1985-1996;Þjórsá;100;;1986;1996;-1;-1;F;u;557;441342;505447;POINT (505447 441342)
1010;V112_2;Dynkur, post 1997;Þjórsá;112;70.41578060616004;1997;2024;2005;2023;E;s;359;425437;489580;POINT (489580.3 425437.3)
9900;V100_3;Norðlingaalda, post 1997;Þjórsá;100;238.24170462801413;1997;2024;2002;2023;E;s;557;441342;505447;POINT (505447 441342)
