;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;23.019;4.498
1891;;;;22.703;4.436
1892;;;;22.386;4.375
1893;;;;22.069;4.313
1894;;;;21.752;4.251
1895;;;;21.436;4.189
1896;;;;21.119;4.127
1897;;;;20.802;4.065
1898;;;;20.486;4.003
1899;;;;20.169;3.941
1900;;;;19.852;3.879
1901;;;;19.535;3.818
1902;;;;19.219;3.756
1903;;;;18.902;3.694
1904;;;;18.585;3.632
1905;;;;18.268;3.57
1906;;;;17.952;3.508
1907;;;;17.635;3.446
1908;;;;17.318;3.384
1909;;;;17.002;3.322
1910;;;;16.685;3.261
1911;;;;16.368;3.199
1912;;;;16.051;3.137
1913;;;;15.735;3.075
1914;;;;15.418;3.013
1915;;;;15.101;2.951
1916;;;;14.785;2.889
1917;;;;14.468;2.827
1918;;;;14.151;2.765
1919;;;;13.834;2.703
1920;;;;13.518;2.642
1921;;;;13.201;2.58
1922;;;;12.884;2.518
1923;;;;12.568;2.456
1924;;;;12.251;2.394
1925;;;;11.934;2.332
1926;;;;11.617;2.27
1927;;;;11.301;2.208
1928;;;;10.984;2.146
1929;;;;10.667;2.085
1930;;;;10.351;2.023
1931;;;;10.034;1.961
1932;;;;9.717;1.899
1933;;;;9.4;1.837
1934;;;;9.084;1.775
1935;;;;8.767;1.713
1936;;;;8.45;1.651
1937;;;;8.133;1.589
1938;;;;7.817;1.528
1939;;;;7.5;1.466
1940;;;;7.183;1.404
1941;;;;6.867;1.342
1942;;;;6.55;1.28
1943;;;;6.233;1.218
1944;;;;5.916;1.156
1945;;;;5.6;1.094
1946;;;;5.599;1.094
1947;;;;5.599;1.094
1948;;;;5.599;1.094
1949;;;;5.598;1.094
1950;;;;5.598;1.094
1951;;;;5.598;1.094
1952;;;;5.597;1.094
1953;;;;5.597;1.094
1954;;;;5.597;1.094
1955;;;;5.596;1.094
1956;;;;5.596;1.094
1957;;;;5.596;1.093
1958;;;;5.595;1.093
1959;;;;5.595;1.093
1960;;;;5.594;1.093
1961;;;;5.594;1.093
1962;;;;5.594;1.093
1963;;;;5.593;1.093
1964;;;;5.593;1.093
1965;;;;5.593;1.093
1966;;;;5.592;1.093
1967;;;;5.592;1.093
1968;;;;5.592;1.093
1969;;;;5.591;1.093
1970;;;;5.591;1.093
1971;;;;5.599;1.094
1972;;;;5.607;1.096
1973;;;;5.615;1.097
1974;;;;5.624;1.099
1975;;;;5.632;1.101
1976;;;;5.64;1.102
1977;;;;5.648;1.104
1978;;;;5.656;1.105
1979;;;;5.664;1.107
1980;;;;5.673;1.109
1981;;;;5.681;1.11
1982;;;;5.689;1.112
1983;;;;5.697;1.113
1984;;;;5.705;1.115
1985;;;;5.713;1.116
1986;;;;5.722;1.118
1987;;;;5.73;1.12
1988;;;;5.738;1.121
1989;;;;5.746;1.123
1990;;;;5.754;1.124
1991;;;;5.762;1.126
1992;;;;5.77;1.128
1993;;;;5.779;1.129
1994;;;;5.787;1.131
1995;;;;5.795;1.132
1996;;;;5.803;1.134
1997;-3.0785296;-3.9628718;0.88434225;5.811;1.136
1998;-4.5431647;-3.9072804;-0.6358842;5.819;1.137
1999;-4.392792;-4.8893175;0.49652535;5.828;1.139
2000;-3.975047;-4.5035834;0.5285362;5.836;1.14
2001;-3.5155754;-3.8461282;0.33055288;5.742;1.122
2002;-5.182049;-5.669429;0.4873799;5.648;1.104
2003;-4.601699;-3.9179199;-0.683779;5.554;1.085
2004;-5.2828445;-5.003277;-0.2795677;5.46;1.067
2005;-4.040636;-3.751418;-0.28921816;5.366;1.049
2006;-5.491997;-5.0933895;-0.39860705;5.272;1.03
2007;-4.6605067;-4.5616236;-0.0988831;5.178;1.012
2008;-4.565563;-4.703611;0.1380478;5.084;0.994
2009;-4.2205076;-4.9705315;0.75002396;4.991;0.975
2010;-5.381374;-5.3753095;-0.0060643526;4.897;0.957
2011;-4.430308;-5.2804704;0.8501626;4.803;0.939
2012;-3.443002;-4.1649823;0.7219803;4.709;0.92
2013;-2.6608295;-3.7966006;1.1357709;4.615;0.902
2014;-5.3640947;-6.170102;0.80600756;4.521;0.883
2015;-3.2485557;-4.474725;1.2261691;4.522;0.884
2016;-3.8000653;-4.6296186;0.8295533;4.524;0.884
2017;-4.854217;-5.5990376;0.7448205;4.525;0.884
2018;-3.2463977;-3.5950472;0.3486496;4.452;0.87
2019;-6.3298497;-6.3856688;0.055818904;4.379;0.856
2020;-4.23246;-4.8789387;0.6464785;4.379;0.856
2021;-5.7876983;-6.21002;0.42232198;4.379;0.856
2022;-4.6514764;-4.8206406;0.16916403;4.379;0.856
