;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;17.522;1161.47
1891;;;;17.501;1160.025
1892;;;;17.479;1158.579
1893;;;;17.457;1157.133
1894;;;;17.435;1155.688
1895;;;;17.413;1154.242
1896;;;;17.392;1152.796
1897;;;;17.37;1151.351
1898;;;;17.348;1149.905
1899;;;;17.326;1148.46
1900;;;;17.304;1147.014
1901;;;;17.282;1145.568
1902;;;;17.261;1144.123
1903;;;;17.239;1142.677
1904;;;;17.217;1141.231
1905;;;;17.195;1139.786
1906;;;;17.173;1138.34
1907;;;;17.152;1136.894
1908;;;;17.13;1135.449
1909;;;;17.108;1134.003
1910;;;;17.086;1132.557
1911;;;;17.064;1131.112
1912;;;;17.043;1129.666
1913;;;;17.021;1128.22
1914;;;;16.999;1126.775
1915;;;;16.977;1125.329
1916;;;;16.955;1123.883
1917;;;;16.934;1122.438
1918;;;;16.912;1120.992
1919;;;;16.89;1119.546
1920;;;;16.868;1118.101
1921;;;;16.846;1116.655
1922;;;;16.824;1115.209
1923;;;;16.803;1113.764
1924;;;;16.781;1112.318
1925;;;;16.759;1110.872
1926;;;;16.737;1109.427
1927;;;;16.715;1107.981
1928;;;;16.694;1106.535
1929;;;;16.672;1105.09
1930;;;;16.65;1103.644
1931;;;;16.628;1102.198
1932;;;;16.606;1100.753
1933;;;;16.585;1099.307
1934;;;;16.563;1097.862
1935;;;;16.541;1096.416
1936;;;;16.519;1094.97
1937;;;;16.497;1093.525
1938;;;;16.476;1092.079
1939;;;;16.454;1090.633
1940;;;;16.432;1089.188
1941;;;;16.41;1087.742
1942;;;;16.388;1086.296
1943;;;;16.366;1084.851
1944;;;;16.345;1083.405
1945;;;;16.323;1081.959
1946;;;;16.285;1079.439
1947;;;;16.247;1076.92
1948;;;;16.209;1074.4
1949;;;;16.171;1071.88
1950;;;;16.133;1069.36
1951;;;;16.095;1066.84
1952;;;;16.057;1064.32
1953;;;;16.019;1061.801
1954;;;;15.981;1059.281
1955;;;;15.943;1056.761
1956;;;;15.905;1054.241
1957;;;;15.867;1051.721
1958;;;;15.829;1049.201
1959;;;;15.791;1046.682
1960;;;;15.753;1044.162
1961;;;;15.715;1041.642
1962;;;;15.677;1039.122
1963;;;;15.639;1036.602
1964;;;;15.601;1034.082
1965;;;;15.563;1031.562
1966;;;;15.525;1029.043
1967;;;;15.487;1026.523
1968;;;;15.449;1024.003
1969;;;;15.41;1021.483
1970;;;;15.372;1018.963
1971;;;;15.375;1019.106
1972;;;;15.377;1019.248
1973;;;;15.379;1019.391
1974;;;;15.381;1019.533
1975;;;;15.383;1019.676
1976;;;;15.385;1019.818
1977;;;;15.388;1019.96
1978;;;;15.39;1020.103
1979;;;;15.392;1020.245
1980;;;;15.394;1020.388
1981;;;;15.396;1020.53
1982;;;;15.398;1020.673
1983;;;;15.4;1020.815
1984;;;;15.403;1020.958
1985;;;;15.405;1021.1
1986;;;;15.407;1021.242
1987;;;;15.409;1021.385
1988;;;;15.411;1021.527
1989;;;;15.413;1021.67
1990;;;;15.415;1021.812
1991;;;;15.418;1021.955
1992;;;;15.42;1022.097
1993;;;;15.422;1022.24
1994;;;;15.424;1022.382
1995;;;;15.426;1022.524
1996;;;;15.428;1022.667
1997;;;;15.431;1022.809
1998;;;;15.433;1022.952
1999;;;;15.435;1023.094
2000;;;;15.437;1023.237
2001;;;;15.364;1018.423
2002;;;;15.292;1013.609
2003;;;;15.219;1008.795
2004;;;;15.146;1003.981
2005;;;;15.074;999.167
2006;;;;15.001;994.353
2007;;;;14.929;989.539
2008;;;;14.856;984.724
2009;;;;14.783;979.91
2010;;;;14.711;975.096
2011;;;;14.638;970.282
2012;;;;14.565;965.468
2013;;;;14.493;960.654
2014;;;;14.42;955.84
2015;;;;14.339;950.453
2016;;;;14.258;945.065
2017;;;;14.176;939.678
2018;;;;14.12;935.928
2019;;;;14.063;932.179
