;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;12.688;4.713
1891;;;;12.653;4.7
1892;;;;12.617;4.687
1893;;;;12.582;4.674
1894;;;;12.546;4.661
1895;;;;12.51;4.647
1896;;;;12.475;4.634
1897;;;;12.439;4.621
1898;;;;12.404;4.608
1899;;;;12.368;4.594
1900;;;;12.332;4.581
1901;;;;12.297;4.568
1902;;;;12.261;4.555
1903;;;;12.226;4.542
1904;;;;12.19;4.528
1905;;;;12.154;4.515
1906;;;;12.119;4.502
1907;;;;12.083;4.489
1908;;;;12.048;4.475
1909;;;;12.012;4.462
1910;;;;11.976;4.449
1911;;;;11.941;4.436
1912;;;;11.905;4.422
1913;;;;11.87;4.409
1914;;;;11.834;4.396
1915;;;;11.798;4.383
1916;;;;11.763;4.37
1917;;;;11.727;4.356
1918;;;;11.691;4.343
1919;;;;11.656;4.33
1920;;;;11.62;4.317
1921;;;;11.585;4.303
1922;;;;11.549;4.29
1923;;;;11.513;4.277
1924;;;;11.478;4.264
1925;;;;11.442;4.251
1926;;;;11.407;4.237
1927;;;;11.371;4.224
1928;;;;11.335;4.211
1929;;;;11.3;4.198
1930;;;;11.264;4.184
1931;;;;11.229;4.171
1932;;;;11.193;4.158
1933;;;;11.157;4.145
1934;;;;11.122;4.131
1935;;;;11.086;4.118
1936;;;;11.051;4.105
1937;;;;11.015;4.092
1938;;;;10.979;4.079
1939;;;;10.944;4.065
1940;;;;10.908;4.052
1941;;;;10.873;4.039
1942;;;;10.837;4.026
1943;;;;10.801;4.012
1944;;;;10.766;3.999
1945;;;;10.73;3.986
1946;;;;10.695;3.973
1947;;;;10.659;3.96
1948;;;;10.623;3.946
1949;;;;10.588;3.933
1950;;;;10.552;3.92
1951;;;;10.516;3.907
1952;;;;10.481;3.893
1953;;;;10.445;3.88
1954;;;;10.41;3.867
1955;;;;10.374;3.854
1956;;;;10.338;3.84
1957;;;;10.303;3.827
1958;;;;10.267;3.814
1959;;;;10.232;3.801
1960;;;;10.196;3.788
1961;;;;10.16;3.774
1962;;;;10.125;3.761
1963;;;;10.089;3.748
1964;;;;10.054;3.735
1965;;;;10.018;3.721
1966;;;;9.982;3.708
1967;;;;9.947;3.695
1968;;;;9.911;3.682
1969;;;;9.876;3.669
1970;;;;9.84;3.655
1971;;;;9.804;3.642
1972;;;;9.769;3.629
1973;;;;9.733;3.616
1974;;;;9.698;3.602
1975;;;;9.662;3.589
1976;;;;9.626;3.576
1977;;;;9.591;3.563
1978;;;;9.555;3.55
1979;;;;9.52;3.536
1980;;;;9.484;3.523
1981;;;;9.448;3.51
1982;;;;9.413;3.497
1983;;;;9.377;3.483
1984;;;;9.341;3.47
1985;;;;9.306;3.457
1986;;;;9.27;3.444
1987;;;;9.235;3.43
1988;;;;9.199;3.417
1989;;;;9.163;3.404
1990;;;;9.128;3.391
1991;;;;9.092;3.378
1992;;;;9.057;3.364
1993;;;;9.021;3.351
1994;;;;8.985;3.338
1995;;;;8.95;3.325
1996;;;;8.914;3.311
1997;;;;8.879;3.298
1998;;;;8.843;3.285
1999;;;;8.807;3.272
2000;;;;8.772;3.259
2001;;;;8.685;3.226
2002;;;;8.598;3.194
2003;;;;8.511;3.162
2004;;;;8.425;3.13
2005;;;;8.338;3.097
2006;;;;8.251;3.065
2007;;;;8.164;3.033
2008;;;;8.078;3.001
2009;;;;7.991;2.968
2010;;;;7.904;2.936
2011;;;;7.817;2.904
2012;;;;7.731;2.872
2013;;;;7.644;2.839
2014;;;;7.557;2.807
2015;;;;7.415;2.754
2016;;;;7.272;2.701
2017;;;;7.13;2.649
2018;;;;7.13;2.649
2019;;;;7.13;2.649
