;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;15.456;230.73
1891;;;;15.44;230.494
1892;;;;15.425;230.258
1893;;;;15.409;230.021
1894;;;;15.393;229.785
1895;;;;15.377;229.549
1896;;;;15.361;229.313
1897;;;;15.345;229.077
1898;;;;15.33;228.84
1899;;;;15.314;228.604
1900;;;;15.298;228.368
1901;;;;15.282;228.132
1902;;;;15.266;227.896
1903;;;;15.25;227.659
1904;;;;15.235;227.423
1905;;;;15.219;227.187
1906;;;;15.203;226.951
1907;;;;15.187;226.715
1908;;;;15.171;226.478
1909;;;;15.156;226.242
1910;;;;15.14;226.006
1911;;;;15.124;225.77
1912;;;;15.108;225.533
1913;;;;15.092;225.297
1914;;;;15.076;225.061
1915;;;;15.061;224.825
1916;;;;15.045;224.589
1917;;;;15.029;224.352
1918;;;;15.013;224.116
1919;;;;14.997;223.88
1920;;;;14.981;223.644
1921;;;;14.966;223.408
1922;;;;14.95;223.171
1923;;;;14.934;222.935
1924;;;;14.918;222.699
1925;;;;14.902;222.463
1926;;;;14.887;222.227
1927;;;;14.871;221.99
1928;;;;14.855;221.754
1929;;;;14.839;221.518
1930;;;;14.823;221.282
1931;;;;14.807;221.046
1932;;;;14.792;220.809
1933;;;;14.776;220.573
1934;;;;14.76;220.337
1935;;;;14.744;220.101
1936;;;;14.728;219.865
1937;;;;14.712;219.628
1938;;;;14.697;219.392
1939;;;;14.681;219.156
1940;;;;14.665;218.92
1941;;;;14.649;218.683
1942;;;;14.633;218.447
1943;;;;14.618;218.211
1944;;;;14.602;217.975
1945;;;;14.586;217.739
1946;;;;14.558;217.327
1947;;;;14.531;216.915
1948;;;;14.503;216.503
1949;;;;14.476;216.091
1950;;;;14.448;215.68
1951;;;;14.42;215.268
1952;;;;14.393;214.856
1953;;;;14.365;214.444
1954;;;;14.338;214.033
1955;;;;14.31;213.621
1956;;;;14.282;213.209
1957;;;;14.255;212.797
1958;;;;14.227;212.385
1959;;;;14.2;211.974
1960;;;;14.172;211.562
1961;;;;14.145;211.15
1962;;;;14.117;210.738
1963;;;;14.089;210.326
1964;;;;14.062;209.915
1965;;;;14.034;209.503
1966;;;;14.007;209.091
1967;;;;13.979;208.679
1968;;;;13.951;208.268
1969;;;;13.924;207.856
1970;;;;13.896;207.444
1971;;;;13.877;207.153
1972;;;;13.857;206.863
1973;;;;13.838;206.573
1974;;;;13.818;206.282
1975;;;;13.799;205.992
1976;;;;13.78;205.701
1977;;;;13.76;205.411
1978;;;;13.741;205.12
1979;;;;13.721;204.83
1980;;;;13.702;204.54
1981;;;;13.682;204.249
1982;;;;13.663;203.959
1983;;;;13.643;203.668
1984;;;;13.624;203.378
1985;;;;13.604;203.087
1986;;;;13.585;202.797
1987;;;;13.566;202.507
1988;;;;13.546;202.216
1989;;;;13.527;201.926
1990;;;;13.507;201.635
1991;;;;13.488;201.345
1992;;;;13.468;201.054
1993;;;;13.449;200.764
1994;;;;13.429;200.473
1995;;;;13.41;200.183
1996;;;;13.39;199.893
1997;;;;13.371;199.602
1998;;;;13.352;199.312
1999;;;;13.332;199.021
2000;;;;13.313;198.731
2001;;;;13.218;197.326
2002;;;;13.124;195.921
2003;;;;13.03;194.517
2004;;;;12.936;193.112
2005;;;;12.842;191.707
2006;;;;12.748;190.302
2007;;;;12.654;188.898
2008;;;;12.56;187.493
2009;;;;12.466;186.088
2010;;;;12.372;184.683
2011;;;;12.277;183.278
2012;;;;12.183;181.874
2013;;;;12.089;180.469
2014;;;;11.995;179.064
2015;;;;11.908;177.758
2016;;;;11.82;176.452
2017;;;;11.733;175.145
2018;;;;11.709;174.79
2019;;;;11.685;174.435
