;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;59.246;1188.894
1891;;;;59.232;1188.604
1892;;;;59.217;1188.315
1893;;;;59.203;1188.026
1894;;;;59.189;1187.736
1895;;;;59.174;1187.447
1896;;;;59.16;1187.158
1897;;;;59.145;1186.869
1898;;;;59.131;1186.579
1899;;;;59.116;1186.29
1900;;;;59.102;1186.001
1901;;;;59.088;1185.711
1902;;;;59.073;1185.422
1903;;;;59.059;1185.133
1904;;;;59.044;1184.844
1905;;;;59.03;1184.554
1906;;;;59.016;1184.265
1907;;;;59.001;1183.976
1908;;;;58.987;1183.686
1909;;;;58.972;1183.397
1910;;;;58.958;1183.108
1911;;;;58.943;1182.819
1912;;;;58.929;1182.529
1913;;;;58.915;1182.24
1914;;;;58.9;1181.951
1915;;;;58.886;1181.661
1916;;;;58.871;1181.372
1917;;;;58.857;1181.083
1918;;;;58.843;1180.794
1919;;;;58.828;1180.504
1920;;;;58.814;1180.215
1921;;;;58.799;1179.926
1922;;;;58.785;1179.636
1923;;;;58.77;1179.347
1924;;;;58.756;1179.058
1925;;;;58.742;1178.769
1926;;;;58.727;1178.479
1927;;;;58.713;1178.19
1928;;;;58.698;1177.901
1929;;;;58.684;1177.611
1930;;;;58.67;1177.322
1931;;;;58.655;1177.033
1932;;;;58.641;1176.744
1933;;;;58.626;1176.454
1934;;;;58.612;1176.165
1935;;;;58.597;1175.876
1936;;;;58.583;1175.586
1937;;;;58.569;1175.297
1938;;;;58.554;1175.008
1939;;;;58.54;1174.719
1940;;;;58.525;1174.429
1941;;;;58.511;1174.14
1942;;;;58.497;1173.851
1943;;;;58.482;1173.561
1944;;;;58.468;1173.272
1945;;;;58.453;1172.983
1946;;;;58.422;1172.347
1947;;;;58.39;1171.711
1948;;;;58.358;1171.076
1949;;;;58.327;1170.44
1950;;;;58.295;1169.804
1951;;;;58.263;1169.168
1952;;;;58.232;1168.533
1953;;;;58.2;1167.897
1954;;;;58.168;1167.261
1955;;;;58.137;1166.626
1956;;;;58.105;1165.99
1957;;;;58.073;1165.354
1958;;;;58.041;1164.718
1959;;;;58.01;1164.083
1960;;;;57.978;1163.447
1961;;;;57.946;1162.811
1962;;;;57.915;1162.175
1963;;;;57.883;1161.54
1964;;;;57.851;1160.904
1965;;;;57.82;1160.268
1966;;;;57.788;1159.633
1967;;;;57.756;1158.997
1968;;;;57.725;1158.361
1969;;;;57.693;1157.725
1970;;;;57.661;1157.09
1971;;;;57.692;1157.712
1972;;;;57.723;1158.334
1973;;;;57.754;1158.956
1974;;;;57.785;1159.579
1975;;;;57.816;1160.201
1976;;;;57.847;1160.823
1977;;;;57.878;1161.446
1978;;;;57.909;1162.068
1979;;;;57.94;1162.69
1980;;;;57.971;1163.312
1981;;;;58.002;1163.935
1982;;;;58.033;1164.557
1983;;;;58.064;1165.179
1984;;;;58.095;1165.802
1985;;;;58.126;1166.424
1986;;;;58.157;1167.046
1987;;;;58.188;1167.668
1988;;;;58.22;1168.291
1989;;;;58.251;1168.913
1990;;;;58.282;1169.535
1991;;;;58.313;1170.157
1992;;;;58.344;1170.78
1993;;;;58.375;1171.402
1994;;;;58.406;1172.024
1995;;;;58.437;1172.647
1996;;;;58.468;1173.269
1997;-0.89193296;-2.0688066;1.1768737;58.499;1173.891
1998;-0.3247472;-1.560817;1.2360698;58.53;1174.513
1999;-0.031998754;-1.5124369;1.4804381;58.561;1175.136
2000;0.26492023;-1.7100859;1.9750061;58.592;1175.758
2001;-0.2630366;-1.5125198;1.2494832;58.513;1174.172
2002;0.54791737;-1.129572;1.6774894;58.434;1172.585
2003;-0.19950604;-2.0626605;1.8631544;58.354;1170.999
2004;-0.49262977;-2.0208235;1.5281937;58.275;1169.413
2005;-1.1161271;-2.3097887;1.1936616;58.196;1167.827
2006;-0.02077341;-1.658959;1.6381856;58.117;1166.24
2007;0.37748635;-1.3051407;1.6826271;58.038;1164.654
2008;0.2327739;-1.6659573;1.8987312;57.959;1163.068
2009;0.49728703;-1.2666285;1.7639155;57.88;1161.481
2010;-1.2814168;-2.8347974;1.5533806;57.801;1159.895
2011;0.5330045;-1.2981238;1.8311284;57.722;1158.309
2012;-0.81562996;-2.3543837;1.5387537;57.643;1156.723
2013;-0.07124424;-1.4845091;1.4132649;57.564;1155.136
2014;0.31511712;-1.412709;1.7278261;57.485;1153.55
2015;1.6253393;-0.6544006;2.2797399;57.373;1151.3
2016;-0.11628449;-1.7097112;1.5934267;57.261;1149.051
2017;0.39276946;-1.3610266;1.7537961;57.149;1146.801
2018;0.24681973;-1.3900237;1.6368434;57.013;1144.074
2019;-0.32482958;-2.1664917;1.8416622;56.877;1141.348
2020;0.26301003;-1.3536434;1.6166534;56.877;1141.348
2021;-0.6542164;-2.1973205;1.543104;56.877;1141.348
2022;0.4773097;-1.3665746;1.8438843;56.877;1141.348
