YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.502;0.0;0.0;0.012;0.0;0.467;0.019
2001;0.0;0.502;0.0;0.0;0.012;0.0;0.467;0.019
2002;0.0;0.502;0.0;0.0;0.012;0.0;0.467;0.019
2003;0.0;0.502;0.0;0.0;0.012;0.0;0.467;0.019
2004;0.0;0.502;0.0;0.0;0.012;0.0;0.468;0.019
2005;0.0;0.502;0.0;0.0;0.012;0.0;0.468;0.019
2006;0.0;0.502;0.0;0.0;0.012;0.0;0.468;0.019
2007;0.0;0.502;0.0;0.0;0.016;0.0;0.464;0.019
2008;0.0;0.502;0.0;0.0;0.02;0.0;0.459;0.019
2009;0.0;0.502;0.0;0.0;0.025;0.0;0.455;0.019
2010;0.0;0.502;0.0;0.0;0.029;0.0;0.451;0.019
2011;0.0;0.502;0.0;0.0;0.033;0.0;0.447;0.019
2012;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2013;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2014;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2015;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2016;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2017;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
2018;0.0;0.502;0.0;0.0;0.037;0.0;0.443;0.019
