YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.024;0.527;0.006;0.0;0.001;0.0;0.406;0.031
2001;0.025;0.525;0.006;0.0;0.001;0.0;0.406;0.031
2002;0.025;0.523;0.006;0.0;0.001;0.0;0.407;0.031
2003;0.025;0.521;0.006;0.0;0.001;0.0;0.408;0.031
2004;0.025;0.52;0.006;0.0;0.001;0.0;0.409;0.031
2005;0.025;0.518;0.006;0.0;0.001;0.0;0.41;0.031
2006;0.026;0.516;0.007;0.0;0.001;0.0;0.41;0.031
2007;0.026;0.516;0.007;0.0;0.001;0.0;0.41;0.031
2008;0.026;0.516;0.007;0.0;0.001;0.0;0.41;0.031
2009;0.026;0.516;0.007;0.0;0.001;0.0;0.409;0.031
2010;0.026;0.516;0.008;0.0;0.001;0.0;0.409;0.031
2011;0.026;0.516;0.008;0.0;0.001;0.0;0.409;0.031
2012;0.026;0.516;0.008;0.0;0.001;0.0;0.408;0.031
2013;0.027;0.512;0.008;0.0;0.001;0.0;0.41;0.03
2014;0.028;0.507;0.008;0.001;0.001;0.0;0.411;0.029
2015;0.029;0.503;0.009;0.001;0.001;0.0;0.412;0.028
2016;0.03;0.499;0.009;0.002;0.001;0.0;0.413;0.027
2017;0.031;0.495;0.009;0.002;0.001;0.0;0.414;0.027
2018;0.032;0.49;0.009;0.003;0.001;0.0;0.415;0.026
