YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.001;0.646;0.0;0.0;0.009;0.0;0.29;0.052
2001;0.001;0.646;0.0;0.0;0.009;0.0;0.289;0.052
2002;0.001;0.646;0.0;0.0;0.009;0.0;0.289;0.052
2003;0.001;0.646;0.0;0.0;0.009;0.0;0.289;0.052
2004;0.001;0.646;0.0;0.0;0.009;0.0;0.289;0.052
2005;0.002;0.646;0.0;0.0;0.009;0.0;0.289;0.052
2006;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2007;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2008;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2009;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2010;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2011;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2012;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2013;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2014;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2015;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2016;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2017;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
2018;0.002;0.647;0.0;0.0;0.009;0.0;0.289;0.052
