YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.001;0.1;0.0;0.722;0.0;0.0;0.14;0.002
2001;0.001;0.101;0.0;0.72;0.0;0.0;0.14;0.002
2002;0.001;0.102;0.0;0.719;0.0;0.0;0.14;0.002
2003;0.001;0.104;0.0;0.717;0.0;0.0;0.14;0.002
2004;0.001;0.105;0.0;0.716;0.0;0.0;0.14;0.002
2005;0.001;0.106;0.0;0.714;0.0;0.0;0.14;0.002
2006;0.001;0.108;0.0;0.712;0.0;0.0;0.14;0.002
2007;0.001;0.11;0.0;0.71;0.0;0.0;0.14;0.002
2008;0.001;0.112;0.0;0.708;0.0;0.0;0.14;0.002
2009;0.001;0.114;0.0;0.706;0.0;0.0;0.14;0.002
2010;0.001;0.116;0.0;0.704;0.0;0.0;0.14;0.002
2011;0.001;0.118;0.0;0.702;0.0;0.0;0.14;0.002
2012;0.001;0.121;0.0;0.7;0.0;0.0;0.14;0.002
2013;0.001;0.122;0.0;0.698;0.0;0.0;0.14;0.002
2014;0.001;0.124;0.0;0.696;0.0;0.0;0.14;0.002
2015;0.001;0.126;0.0;0.694;0.0;0.0;0.14;0.002
2016;0.001;0.128;0.0;0.692;0.0;0.0;0.14;0.002
2017;0.001;0.13;0.0;0.69;0.001;0.0;0.14;0.002
2018;0.001;0.132;0.0;0.688;0.001;0.0;0.14;0.002
