YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.042;0.446;0.004;0.054;0.001;0.0;0.451;0.003
2001;0.042;0.446;0.004;0.054;0.001;0.0;0.451;0.003
2002;0.042;0.446;0.004;0.054;0.001;0.0;0.451;0.003
2003;0.042;0.446;0.003;0.054;0.001;0.0;0.451;0.003
2004;0.042;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2005;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2006;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2007;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2008;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2009;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2010;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2011;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2012;0.043;0.446;0.003;0.054;0.001;0.0;0.45;0.003
2013;0.043;0.447;0.004;0.053;0.001;0.0;0.45;0.003
2014;0.043;0.449;0.004;0.051;0.001;0.0;0.45;0.003
2015;0.042;0.45;0.004;0.049;0.001;0.0;0.45;0.003
2016;0.042;0.452;0.004;0.048;0.001;0.0;0.45;0.003
2017;0.042;0.454;0.005;0.046;0.001;0.0;0.449;0.003
2018;0.042;0.455;0.005;0.045;0.001;0.0;0.449;0.003
