YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.395;0.0;0.117;0.004;0.0;0.379;0.0
2001;0.0;0.396;0.0;0.117;0.004;0.0;0.379;0.0
2002;0.0;0.397;0.0;0.116;0.004;0.0;0.379;0.0
2003;0.0;0.398;0.0;0.115;0.004;0.0;0.379;0.0
2004;0.0;0.399;0.0;0.114;0.004;0.0;0.379;0.0
2005;0.0;0.399;0.0;0.113;0.004;0.0;0.379;0.0
2006;0.0;0.4;0.0;0.113;0.004;0.0;0.379;0.0
2007;0.0;0.401;0.0;0.111;0.004;0.0;0.379;0.0
2008;0.0;0.402;0.0;0.11;0.004;0.0;0.379;0.0
2009;0.0;0.403;0.0;0.109;0.004;0.0;0.379;0.0
2010;0.0;0.404;0.0;0.108;0.004;0.0;0.379;0.0
2011;0.0;0.406;0.0;0.107;0.004;0.0;0.379;0.0
2012;0.0;0.407;0.0;0.106;0.004;0.0;0.379;0.0
2013;0.0;0.415;0.0;0.105;0.004;0.0;0.372;0.0
2014;0.0;0.422;0.0;0.105;0.004;0.0;0.365;0.0
2015;0.0;0.43;0.0;0.104;0.004;0.0;0.357;0.0
2016;0.0;0.438;0.0;0.104;0.004;0.0;0.35;0.0
2017;0.0;0.446;0.0;0.103;0.004;0.0;0.343;0.0
2018;0.0;0.454;0.0;0.102;0.004;0.0;0.336;0.0
