YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.006;0.353;0.0;0.01;0.0;0.0;0.519;0.112
2001;0.006;0.352;0.0;0.01;0.0;0.0;0.52;0.112
2002;0.006;0.35;0.0;0.01;0.0;0.0;0.522;0.112
2003;0.006;0.349;0.0;0.01;0.0;0.0;0.523;0.112
2004;0.006;0.348;0.0;0.01;0.0;0.0;0.524;0.112
2005;0.006;0.347;0.0;0.01;0.0;0.0;0.525;0.112
2006;0.006;0.346;0.0;0.01;0.0;0.0;0.526;0.112
2007;0.006;0.343;0.0;0.01;0.0;0.0;0.529;0.112
2008;0.006;0.341;0.0;0.01;0.0;0.0;0.531;0.112
2009;0.006;0.338;0.0;0.01;0.0;0.0;0.534;0.112
2010;0.006;0.335;0.0;0.01;0.0;0.0;0.537;0.112
2011;0.006;0.333;0.0;0.01;0.0;0.0;0.539;0.112
2012;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2013;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2014;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2015;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2016;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2017;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
2018;0.006;0.33;0.0;0.01;0.0;0.0;0.542;0.112
