YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;68.202;70.699;59.875
2000;2;25;68.123;70.64;59.893
2000;2;26;68.162;70.31;58.804
2000;2;27;69.276;71.056;70.896
2000;2;28;68.956;70.655;70.716
2000;2;29;68.602;70.991;65.956
2000;3;1;71.845;72.425;61.574
2000;3;2;71.85;72.435;61.371
2000;3;3;71.982;72.586;68.088
2000;3;4;71.772;72.456;60.394
2000;3;5;72.864;73.656;61.835
2000;3;6;78.403;78.713;57.368
2000;3;7;75.809;76.365;67.694
2000;3;8;75.69;76.254;68.49
2000;3;9;81.146;80.957;49.442
2000;3;10;81.49;81.957;56.01
2000;3;11;80.958;81.703;55.199
2000;3;12;76.197;77.777;73.948
2000;3;13;76.053;77.581;73.945
2000;3;14;75.867;77.456;72.369
2000;3;15;74.926;76.39;69.977
2000;3;16;63.394;62.178;70.057
2000;3;17;62.728;61.955;74.609
2000;3;18;62.124;61.166;75.068
2000;3;19;62.372;61.588;75.738
2000;3;20;62.627;61.834;74.408
2000;3;21;62.997;63.221;65.499
2000;3;22;63.128;63.349;66.061
2000;3;23;77.25;73.27;80.428
2000;3;24;79.268;76.622;77.515
2000;3;25;79.385;76.704;77.36
2000;3;26;79.393;76.39;77.721
2000;3;27;76.226;73.717;76.099
2000;3;28;76.873;74.721;79.477
2000;3;29;76.908;75.058;77.787
2000;3;30;75.961;74.516;78.884
2000;3;31;75.484;74.684;80.083
2000;4;1;74.929;74.414;78.753
2000;4;2;76.513;75.966;80.463
2000;4;3;75.108;74.945;78.353
2000;4;4;74.372;74.412;79.974
2000;4;5;74.236;74.369;80.699
2000;4;6;75.534;75.885;79.986
2000;4;7;78.032;78.939;81.651
2000;4;8;;;
2000;4;9;80.14;81.62;81.275
2000;4;10;80.502;82.026;79.693
2000;4;11;82.493;84.173;79.358
2000;4;12;82.484;84.235;78.915
2000;4;13;83.242;85.026;78.034
2000;4;14;84.049;85.302;76.461
2000;4;15;84.547;85.587;76.625
2000;4;16;85.64;86.381;76.598
2000;4;17;85.696;86.503;76.222
2000;4;18;86.612;87.437;75.362
2000;4;19;86.289;86.98;73.638
2000;4;20;86.572;87.261;74.357
2000;4;21;86.736;87.414;73.846
2000;4;22;86.772;87.386;73.87
2000;4;23;87.036;87.695;73.217
2000;4;24;86.699;87.314;72.452
2000;4;25;87.132;87.735;72.313
2000;4;26;87.271;87.982;70.123
2000;4;27;87.121;87.954;72.078
