YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;61.315;61.305;64.95
2000;2;25;72.145;72.282;79.866
2000;2;26;69.589;69.795;70.345
2000;2;27;71.123;71.259;84.613
2000;2;28;69.964;70.073;84.882
2000;2;29;74.516;74.714;88.074
2000;3;1;75.202;75.41;88.397
2000;3;2;74.581;74.797;88.507
2000;3;3;73.749;73.901;88.405
2000;3;4;74.429;74.563;88.316
2000;3;5;76.577;76.795;88.638
2000;3;6;75.049;75.137;88.23
2000;3;7;76.639;76.795;88.273
2000;3;8;78.393;78.7;86.545
2000;3;9;81.084;81.421;87.029
2000;3;10;79.97;80.254;86.575
2000;3;11;78.179;78.364;84.99
2000;3;12;77.78;77.981;85.036
2000;3;13;79.387;79.644;84.808
2000;3;14;79.838;80.11;84.41
2000;3;15;82.311;82.638;83.729
2000;3;16;83.998;84.296;85.029
2000;3;17;82.458;82.76;84.513
2000;3;18;83.199;83.543;84.154
2000;3;19;82.853;83.028;83.644
2000;3;20;83.833;84.039;82.551
2000;3;21;84.135;84.324;84.795
2000;3;22;81.796;81.94;84.267
2000;3;23;85.728;85.892;77.178
2000;3;24;86.605;86.77;74.895
2000;3;25;87.847;88.021;74.717
2000;3;26;90.554;90.514;76.596
2000;3;27;90.04;89.883;68.981
2000;3;28;90.787;90.667;74.286
2000;3;29;90.917;90.782;72.333
2000;3;30;88.551;88.425;73.132
2000;3;31;87.313;87.085;72.273
2000;4;1;87.639;87.403;71.739
2000;4;2;89.027;88.861;73.723
2000;4;3;87.753;87.579;70.883
2000;4;4;82.335;82.298;75.673
2000;4;5;82.221;82.198;75.019
2000;4;6;83.076;83.059;76.059
2000;4;7;86.46;86.326;73.234
2000;4;8;;;
2000;4;9;85.049;84.87;71.717
2000;4;10;85.266;85.094;71.866
2000;4;11;86.109;86.012;73.146
2000;4;12;84.54;84.382;72.664
2000;4;13;78.795;78.597;76.241
2000;4;14;78.083;77.87;76.484
2000;4;15;74.873;74.589;76.183
2000;4;16;74.69;74.405;76.399
2000;4;17;74.631;74.319;76.121
2000;4;18;74.55;74.245;76.271
2000;4;19;71.47;71.572;71.33
2000;4;20;71.947;71.952;72.487
2000;4;21;71.946;71.941;73.286
2000;4;22;71.881;71.878;72.876
2000;4;23;72.056;72.044;72.989
2000;4;24;70.656;70.671;73.45
2000;4;25;76.874;76.762;64.868
2000;4;26;77.719;77.616;68.949
2000;4;27;81.746;81.72;61.308
2000;4;28;81.818;81.769;60.693
2000;4;29;83.157;83.133;57.626
2000;4;30;84.478;84.462;58.568
2000;5;1;84.493;84.494;58.614
2000;5;2;84.512;84.523;60.356
2000;5;3;83.41;83.488;55.138
2000;5;4;83.521;83.106;69.302
2000;5;5;83.713;83.308;69.335
2000;5;6;81.553;81.149;61.817
2000;5;7;81.638;81.242;61.551
2000;5;8;80.849;80.372;61.78
2000;5;9;81.354;80.865;64.112
2000;5;10;80.52;80.039;61.52
2000;5;11;80.492;79.998;61.559
2000;5;12;80.547;80.054;61.536
2000;5;13;79.872;79.337;61.404
2000;5;14;80.121;79.654;61.626
2000;5;15;74.818;74.231;61.567
2000;5;16;74.819;74.232;61.231
2000;5;17;72.648;72.014;62.692
2000;5;18;72.55;71.901;62.743
2000;5;19;71.236;70.695;50.308
2000;5;20;72.26;71.681;65.333
2000;5;21;70.609;70.045;66.379
2000;5;22;70.362;69.784;66.229
2000;5;23;70.283;69.707;65.911
2000;5;24;70.542;69.982;66.247
2000;5;25;70.334;69.924;70.051
2000;5;26;63.708;63.321;69.097
2000;5;27;63.622;63.185;69.21
2000;5;28;62.892;62.425;70.394
2000;5;29;63.003;62.521;70.208
2000;5;30;62.581;62.002;71.544
2000;5;31;61.861;61.267;71.756
2000;6;1;61.046;60.61;64.628
2000;6;2;61.273;60.849;66.053
2000;6;3;60.758;60.392;65.681
2000;6;4;63.503;62.683;62.0
2000;6;5;61.314;60.911;64.889
2000;6;6;61.384;60.467;61.268
2000;6;7;61.531;60.602;61.183
2000;6;8;60.828;59.875;60.955
2000;6;9;62.298;61.373;60.83
2000;6;10;55.551;54.412;63.404
2000;6;11;51.56;50.234;63.536
2000;6;12;51.262;49.93;63.571
2000;6;13;50.378;49.013;63.561
2000;6;14;51.691;50.355;63.375
2000;6;15;50.576;49.204;63.149
2000;6;16;50.161;49.011;59.442
2000;6;17;48.224;47.061;59.799
2000;6;18;50.728;49.371;60.496
2000;6;19;49.231;47.82;60.607
2000;6;20;48.722;47.272;60.753
2000;6;21;46.983;45.393;59.436
2000;6;22;46.676;45.086;59.289
2000;6;23;47.256;45.621;60.445
2000;6;24;43.453;41.755;57.789
2000;6;25;42.871;41.155;56.373
2000;6;26;40.986;39.164;54.76
2000;6;27;40.891;39.102;54.274
2000;6;28;38.594;36.71;54.432
2000;6;29;33.825;31.702;53.707
2000;6;30;32.512;30.329;53.907
2000;7;1;32.609;30.409;53.62
2000;7;2;26.881;24.571;53.157
2000;7;3;26.309;23.945;53.718
2000;7;4;25.335;22.956;53.001
