YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;64.581;65.64;67.019
2000;2;25;65.405;66.055;64.905
2000;2;26;64.914;65.745;66.965
2000;2;27;65.791;66.207;65.865
2000;2;28;65.657;66.046;65.949
2000;2;29;66.452;66.927;66.335
2000;3;1;69.863;69.973;73.858
2000;3;2;69.344;69.38;74.777
2000;3;3;70.054;70.152;78.526
2000;3;4;69.7;70.249;73.283
2000;3;5;70.217;70.749;75.3
2000;3;6;70.741;71.252;76.411
2000;3;7;69.59;70.134;74.28
2000;3;8;70.934;71.626;74.81
2000;3;9;70.927;71.694;74.354
2000;3;10;70.637;71.226;75.714
2000;3;11;69.953;70.597;66.004
2000;3;12;67.283;67.735;62.677
2000;3;13;67.231;67.673;62.274
2000;3;14;67.356;67.836;62.329
2000;3;15;67.033;67.565;55.413
2000;3;16;64.736;65.211;51.156
2000;3;17;64.524;64.971;48.146
2000;3;18;64.801;65.276;47.801
2000;3;19;64.084;64.528;48.326
2000;3;20;64.02;64.432;48.224
2000;3;21;63.986;64.403;47.733
2000;3;22;64.487;64.533;60.526
2000;3;23;72.57;72.824;69.367
2000;3;24;73.692;73.677;75.139
2000;3;25;74.05;73.932;74.95
2000;3;26;75.417;75.437;76.151
2000;3;27;73.696;73.608;74.637
2000;3;28;77.122;77.107;81.883
2000;3;29;76.677;76.818;79.548
2000;3;30;76.594;76.687;80.849
2000;3;31;76.031;76.066;80.924
2000;4;1;75.434;75.434;80.972
2000;4;2;77.3;77.547;83.554
2000;4;3;75.846;76.033;78.017
2000;4;4;75.742;76.006;78.527
2000;4;5;75.556;75.836;79.402
2000;4;6;74.585;74.798;80.031
2000;4;7;76.533;76.824;83.468
2000;4;8;;;
2000;4;9;75.99;75.804;86.385
2000;4;10;75.374;75.185;86.651
2000;4;11;75.976;75.804;86.79
2000;4;12;76.639;76.563;86.033
2000;4;13;77.363;77.252;87.077
2000;4;14;77.183;77.162;86.216
2000;4;15;76.985;76.92;86.334
2000;4;16;77.122;77.052;86.459
2000;4;17;76.811;76.708;86.282
2000;4;18;76.942;76.881;86.55
2000;4;19;75.985;76.155;81.609
2000;4;20;75.659;75.792;81.82
2000;4;21;75.902;76.062;81.922
2000;4;22;75.398;75.499;81.48
2000;4;23;75.657;75.756;81.252
2000;4;24;75.549;75.393;84.05
2000;4;25;75.348;75.149;84.041
2000;4;26;75.679;75.531;83.658
2000;4;27;75.881;75.932;83.061
2000;4;28;77.577;77.591;81.266
2000;4;29;82.727;83.258;81.283
2000;4;30;84.379;85.027;79.249
2000;5;1;83.103;83.61;79.245
2000;5;2;82.732;83.333;80.491
2000;5;3;83.228;83.643;76.501
2000;5;4;82.885;83.4;78.873
2000;5;5;78.918;79.09;75.501
2000;5;6;78.143;78.213;75.665
2000;5;7;82.434;82.586;69.952
2000;5;8;83.646;82.716;66.931
2000;5;9;84.05;83.079;66.043
2000;5;10;84.097;83.084;66.592
2000;5;11;83.705;82.651;66.444
2000;5;12;84.325;83.297;65.939
2000;5;13;83.522;82.416;67.101
2000;5;14;82.695;81.631;68.715
2000;5;15;82.06;81.183;70.18
2000;5;16;81.712;81.131;71.402
2000;5;17;81.496;80.883;71.417
2000;5;18;76.839;76.562;73.096
2000;5;19;75.959;75.776;75.138
2000;5;20;75.896;75.702;75.474
2000;5;21;74.805;74.639;74.821
2000;5;22;74.829;74.581;75.218
2000;5;23;74.948;74.709;75.255
2000;5;24;74.812;74.545;75.039
2000;5;25;73.367;73.117;75.573
2000;5;26;66.156;65.149;80.035
2000;5;27;63.891;62.596;79.708
2000;5;28;63.588;62.294;79.548
2000;5;29;63.511;62.211;79.589
2000;5;30;63.602;62.258;79.132
2000;5;31;54.704;52.296;79.389
2000;6;1;46.395;43.038;76.742
2000;6;2;47.639;44.385;76.694
2000;6;3;40.057;35.483;72.431
2000;6;4;40.681;36.23;72.358
2000;6;5;40.489;35.915;72.261
2000;6;6;35.499;29.965;67.861
2000;6;7;36.275;30.817;67.639
2000;6;8;31.584;25.429;67.357
2000;6;9;31.75;25.927;68.914
2000;6;10;29.989;23.973;68.499
2000;6;11;27.479;21.199;68.371
2000;6;12;27.356;21.102;67.401
2000;6;13;27.364;21.214;67.162
2000;6;14;26.362;20.842;68.405
2000;6;15;20.579;14.147;69.855
2000;6;16;21.281;14.858;69.483
2000;6;17;17.031;10.129;68.476
2000;6;18;14.773;7.128;65.327
2000;6;19;13.513;5.447;64.164
2000;6;20;12.979;4.638;63.663
2000;6;21;13.362;5.023;63.563
2000;6;22;12.446;4.056;63.458
2000;6;23;12.375;3.894;63.914
2000;6;24;12.145;3.662;63.388
2000;6;25;11.916;3.349;63.101
2000;6;26;11.115;2.387;61.519
2000;6;27;10.662;1.892;60.281
2000;6;28;10.519;1.713;59.59
2000;6;29;10.362;1.607;56.767
2000;6;30;10.296;1.58;55.136
2000;7;1;10.426;1.6;53.12
2000;7;2;10.633;2.075;52.785
2000;7;3;10.063;1.328;53.683
2000;7;4;10.163;1.321;53.121
2000;7;5;10.211;1.361;53.05
2000;7;6;10.066;1.264;52.796
2000;7;7;9.864;1.25;52.341
2000;7;8;10.352;1.516;53.435
2000;7;9;10.239;1.376;52.574
2000;7;10;10.038;1.306;52.433
2000;7;11;10.279;1.492;52.78
2000;7;12;10.278;1.493;52.769
2000;7;13;10.286;1.499;52.773
2000;7;14;10.3;1.454;52.239
2000;7;15;9.919;1.617;51.616
2000;7;16;10.908;2.686;52.064
2000;7;17;10.146;1.928;51.714
2000;7;18;11.433;3.068;49.419
2000;7;19;10.082;1.761;48.284
2000;7;20;9.79;1.409;46.366
2000;7;21;9.821;1.252;45.961
2000;7;22;9.772;1.168;45.904
2000;7;23;9.858;1.265;45.671
2000;7;24;9.811;1.157;45.966
2000;7;25;9.786;1.08;43.708
2000;7;26;9.851;1.098;42.834
2000;7;27;9.843;1.096;41.616
2000;7;28;9.835;1.083;41.601
2000;7;29;9.696;0.972;41.542
2000;7;30;9.783;1.001;40.716
2000;7;31;9.655;0.961;39.988
2000;8;1;9.695;1.025;38.941
2000;8;2;9.526;0.971;38.784
2000;8;3;9.458;0.911;38.722
2000;8;4;9.45;0.899;38.645
2000;8;5;9.721;1.135;38.517
2000;8;6;;;
2000;8;7;;;
2000;8;8;;;
2000;8;9;;;
2000;8;10;;;
2000;8;11;;;
2000;8;12;;;
2000;8;13;;;
2000;8;14;;;
2000;8;15;;;
2000;8;16;;;
2000;8;17;;;
2000;8;18;9.118;1.182;40.885
2000;8;19;9.921;2.165;40.917
2000;8;20;9.773;1.57;42.227
2000;8;21;10.063;1.613;41.652
2000;8;22;9.84;1.726;41.021
2000;8;23;9.689;1.377;42.028
2000;8;24;9.63;1.233;42.864
2000;8;25;9.739;1.33;43.376
2000;8;26;9.668;1.289;44.191
2000;8;27;9.454;1.222;42.15
2000;8;28;9.512;1.199;43.079
2000;8;29;9.582;1.221;42.984
2000;8;30;9.519;1.178;42.983
2000;8;31;9.523;1.184;41.88
2000;9;1;9.541;1.209;41.018
2000;9;2;9.553;1.192;42.133
2000;9;3;9.541;1.179;40.421
2000;9;4;9.516;1.208;40.424
2000;9;5;9.643;1.345;40.868
2000;9;6;9.645;1.36;41.301
2000;9;7;9.635;1.394;41.394
2000;9;8;9.542;1.405;41.25
2000;9;9;9.549;1.449;41.163
2000;9;10;10.529;2.347;47.046
2000;9;11;10.561;2.488;49.212
2000;9;12;14.183;6.917;56.602
2000;9;13;15.143;8.002;56.719
2000;9;14;18.187;11.928;63.256
2000;9;15;20.37;13.658;63.961
2000;9;16;24.739;18.569;65.505
2000;9;17;23.821;17.558;66.771
2000;9;18;23.313;16.822;62.937
2000;9;19;24.012;17.775;64.403
2000;9;20;22.693;16.127;64.638
2000;9;21;22.676;16.403;66.226
2000;9;22;22.923;16.703;66.329
2000;9;23;22.149;15.66;62.802
2000;9;24;21.639;15.186;64.55
2000;9;25;16.11;8.983;63.776
2000;9;26;13.29;6.908;64.123
2000;9;27;16.92;11.585;65.474
2000;9;28;22.728;17.839;66.88
2000;9;29;28.685;25.079;65.36
2000;9;30;51.033;48.852;78.366
2000;10;1;57.019;55.535;79.957
2000;10;2;50.157;47.668;82.351
2000;10;3;51.431;48.995;81.732
2000;10;4;56.553;54.842;79.68
2000;10;5;61.553;60.138;82.869
2000;10;6;59.888;58.363;82.947
2000;10;7;59.14;57.44;84.608
2000;10;8;60.933;59.388;83.051
2000;10;9;61.045;59.475;84.279
2000;10;10;61.375;59.865;84.478
2000;10;11;60.061;58.528;80.679
2000;10;12;60.414;58.968;81.877
2000;10;13;60.715;59.878;78.178
2000;10;14;62.775;61.923;82.526
2000;10;15;65.512;64.597;79.23
2000;10;16;68.523;67.753;71.0
2000;10;17;72.955;72.685;69.994
2000;10;18;77.125;77.225;65.582
2000;10;19;77.174;77.287;64.969
2000;10;20;77.628;77.7;64.328
2000;10;21;75.839;76.016;63.726
2000;10;22;76.662;76.847;63.926
2000;10;23;77.032;77.32;69.084
2000;10;24;76.924;77.173;68.077
2000;10;25;77.066;77.418;65.167
2000;10;26;74.086;74.826;70.955
2000;10;27;75.052;76.009;70.289
2000;10;28;75.035;76.059;72.848
2000;10;29;73.594;74.666;58.471
2000;10;30;73.112;74.087;60.248
2000;10;31;71.892;72.638;59.87
2000;11;1;;;
2000;11;2;;;
2000;11;3;;;
2000;11;4;;;
2000;11;5;;;
2000;11;6;;;
2000;11;7;;;
2000;11;8;;;
2000;11;9;;;
2000;11;10;;;
2000;11;11;;;
2000;11;12;;;
2000;11;13;;;
2000;11;14;;;
2000;11;15;;;
2000;11;16;;;
2000;11;17;;;
2000;11;18;;;
2000;11;19;;;
2000;11;20;;;
2000;11;21;;;
2000;11;22;;;
2000;11;23;;;
2000;11;24;;;
2000;11;25;;;
2000;11;26;;;
2000;11;27;;;
2000;11;28;;;
2000;11;29;;;
2000;11;30;;;
2000;12;1;;;
2000;12;2;;;
2000;12;3;;;
2000;12;4;;;
2000;12;5;;;
2000;12;6;;;
2000;12;7;;;
2000;12;8;;;
2000;12;9;;;
2000;12;10;;;
2000;12;11;;;
2000;12;12;;;
2000;12;13;;;
2000;12;14;;;
2000;12;15;;;
2000;12;16;;;
2000;12;17;;;
2000;12;18;;;
2000;12;19;;;
2000;12;20;;;
2000;12;21;;;
2000;12;22;;;
2000;12;23;;;
2000;12;24;;;
2000;12;25;;;
2000;12;26;;;
2000;12;27;;;
2000;12;28;;;
2000;12;29;;;
2000;12;30;;;
2000;12;31;;;
2001;1;1;;;
2001;1;2;;;
2001;1;3;;;
2001;1;4;;;
2001;1;5;;;
2001;1;6;;;
2001;1;7;;;
2001;1;8;;;
2001;1;9;;;
2001;1;10;;;
2001;1;11;;;
2001;1;12;;;
2001;1;13;;;
2001;1;14;;;
2001;1;15;;;
2001;1;16;;;
2001;1;17;;;
2001;1;18;;;
2001;1;19;;;
2001;1;20;;;
2001;1;21;;;
2001;1;22;;;
2001;1;23;;;
2001;1;24;;;
2001;1;25;;;
2001;1;26;;;
2001;1;27;;;
2001;1;28;;;
2001;1;29;;;
2001;1;30;;;
2001;1;31;;;
2001;2;1;73.227;74.585;83.964
2001;2;2;73.125;74.453;83.695
2001;2;3;74.017;75.461;83.816
2001;2;4;79.743;80.635;88.294
2001;2;5;73.917;74.793;81.027
2001;2;6;74.128;75.064;83.821
2001;2;7;74.055;74.98;84.206
2001;2;8;74.843;75.831;84.542
2001;2;9;70.733;71.328;79.939
2001;2;10;63.407;63.659;71.33
2001;2;11;62.147;62.128;74.982
2001;2;12;62.566;62.702;71.852
2001;2;13;60.763;60.635;70.924
2001;2;14;61.352;61.356;70.327
2001;2;15;61.515;61.488;70.3
2001;2;16;63.162;63.298;72.935
2001;2;17;63.514;63.777;63.704
2001;2;18;65.643;65.819;69.925
2001;2;19;65.714;65.913;70.3
2001;2;20;66.783;66.946;79.15
2001;2;21;66.905;67.127;78.983
2001;2;22;68.05;68.112;85.374
2001;2;23;68.218;68.175;87.112
2001;2;24;68.052;67.977;87.546
2001;2;25;68.616;68.57;88.33
2001;2;26;68.557;68.507;88.415
2001;2;27;68.542;68.401;89.26
2001;2;28;68.647;68.532;89.401
2001;3;1;68.536;68.382;89.446
2001;3;2;68.872;68.82;89.357
2001;3;3;66.633;66.255;89.477
2001;3;4;67.76;67.565;88.229
2001;3;5;66.371;66.253;85.841
2001;3;6;66.867;66.798;86.397
2001;3;7;66.757;66.656;85.132
2001;3;8;69.699;70.165;79.719
2001;3;9;73.887;73.797;87.092
2001;3;10;73.921;73.688;88.161
2001;3;11;74.269;74.128;88.155
2001;3;12;73.872;73.688;87.088
2001;3;13;74.075;73.922;87.106
2001;3;14;74.331;74.11;87.799
2001;3;15;75.215;75.113;86.991
2001;3;16;78.726;78.819;87.67
2001;3;17;78.261;78.397;86.954
2001;3;18;78.501;78.668;87.404
2001;3;19;79.352;79.572;86.616
2001;3;20;77.947;78.113;85.93
2001;3;21;78.78;79.039;85.05
2001;3;22;75.538;75.561;84.099
2001;3;23;74.875;74.969;85.034
2001;3;24;74.897;75.013;85.078
2001;3;25;74.054;74.285;82.926
2001;3;26;74.177;74.399;83.327
2001;3;27;72.858;73.197;82.035
2001;3;28;73.104;73.474;81.385
2001;3;29;73.115;73.463;81.244
2001;3;30;73.487;73.873;81.171
2001;3;31;73.499;74.102;75.995
2001;4;1;73.488;74.171;73.815
2001;4;2;74.039;74.833;73.995
2001;4;3;74.512;75.009;83.272
2001;4;4;74.12;74.726;81.648
2001;4;5;73.812;74.515;77.696
2001;4;6;73.607;74.242;80.394
2001;4;7;73.584;74.207;78.89
2001;4;8;73.717;74.269;80.038
2001;4;9;73.429;74.139;70.137
2001;4;10;74.75;74.93;81.351
2001;4;11;74.886;74.967;82.942
2001;4;12;74.793;74.73;83.809
2001;4;13;74.873;74.79;85.276
