YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;60.856;60.853;
2000;2;25;63.979;63.978;
2000;2;26;64.154;64.152;
2000;2;27;63.859;63.858;
2000;2;28;63.781;63.78;
2000;2;29;64.021;64.02;
2000;3;1;64.088;64.087;
2000;3;2;64.074;64.073;
2000;3;3;64.36;64.359;
2000;3;4;64.358;64.358;
2000;3;5;65.0;65.0;
2000;3;6;67.361;67.361;
2000;3;7;73.061;73.058;
2000;3;8;72.358;72.355;
2000;3;9;72.163;72.165;
2000;3;10;71.904;71.901;
2000;3;11;75.688;75.685;
2000;3;12;75.477;75.476;
2000;3;13;74.244;74.242;
2000;3;14;74.663;74.66;
2000;3;15;73.969;73.964;
2000;3;16;74.581;74.574;
2000;3;17;72.426;72.424;
2000;3;18;71.572;71.572;
2000;3;19;72.026;72.025;
2000;3;20;71.767;71.766;
2000;3;21;71.802;71.798;
2000;3;22;67.052;67.052;
2000;3;23;73.548;73.543;
2000;3;24;75.908;75.906;
2000;3;25;76.009;76.008;
2000;3;26;75.489;75.485;
2000;3;27;76.282;76.281;
2000;3;28;75.849;75.845;
2000;3;29;73.75;73.746;
2000;3;30;73.819;73.817;
2000;3;31;73.617;73.615;
2000;4;1;73.536;73.535;
2000;4;2;71.972;71.97;
2000;4;3;69.784;69.782;
2000;4;4;69.043;69.044;
2000;4;5;68.527;68.529;
2000;4;6;68.434;68.436;
2000;4;7;68.124;68.124;
2000;4;8;;;
2000;4;9;67.564;67.566;
2000;4;10;67.311;67.316;
2000;4;11;67.418;67.423;
2000;4;12;67.478;67.479;
2000;4;13;68.083;68.086;
2000;4;14;67.929;67.933;
2000;4;15;68.263;68.268;
2000;4;16;68.551;68.555;
2000;4;17;68.398;68.402;
2000;4;18;69.062;69.067;
2000;4;19;65.971;65.974;
2000;4;20;66.082;66.084;
2000;4;21;66.072;66.074;
2000;4;22;66.003;66.005;
2000;4;23;65.434;65.436;
2000;4;24;65.691;65.693;
2000;4;25;72.944;72.951;
2000;4;26;72.824;72.83;
2000;4;27;68.317;68.327;
2000;4;28;68.308;68.317;
2000;4;29;66.278;66.286;
2000;4;30;67.254;67.262;
2000;5;1;65.188;65.202;
2000;5;2;64.979;64.992;
2000;5;3;64.05;64.064;
2000;5;4;63.786;63.801;
2000;5;5;63.88;63.893;
2000;5;6;60.746;60.765;
2000;5;7;59.58;59.609;
2000;5;8;57.068;57.099;
2000;5;9;56.281;56.312;
2000;5;10;53.981;54.012;
2000;5;11;54.056;54.087;
2000;5;12;52.468;52.498;
2000;5;13;51.117;51.146;
2000;5;14;50.013;50.042;
2000;5;15;47.884;47.911;
2000;5;16;47.871;47.898;
2000;5;17;47.107;47.134;
2000;5;18;43.305;43.33;
2000;5;19;44.291;44.311;
2000;5;20;43.527;43.552;
2000;5;21;41.945;41.969;
2000;5;22;41.742;41.766;
2000;5;23;41.933;41.956;
2000;5;24;41.871;41.895;
2000;5;25;40.088;40.111;
2000;5;26;39.441;39.464;
2000;5;27;39.404;39.426;
2000;5;28;39.472;39.495;
2000;5;29;39.504;39.527;
2000;5;30;38.391;38.413;
2000;5;31;38.687;38.71;
2000;6;1;36.696;36.717;
2000;6;2;36.022;36.043;
2000;6;3;34.492;34.511;
2000;6;4;35.129;35.149;
2000;6;5;34.8;34.82;
2000;6;6;32.012;32.03;
2000;6;7;31.563;31.581;
2000;6;8;29.87;29.887;
2000;6;9;30.482;30.499;
2000;6;10;28.982;28.998;
2000;6;11;26.344;26.359;
2000;6;12;25.978;25.993;
2000;6;13;26.211;26.226;
2000;6;14;24.336;24.35;
2000;6;15;22.241;22.254;
2000;6;16;22.476;22.489;
2000;6;17;20.611;20.623;
2000;6;18;15.785;15.794;
2000;6;19;13.146;13.154;
2000;6;20;12.593;12.6;
2000;6;21;11.479;11.486;
2000;6;22;11.215;11.222;
2000;6;23;10.796;10.802;
2000;6;24;11.3;11.306;
2000;6;25;8.811;8.816;
2000;6;26;6.704;6.708;
2000;6;27;5.765;5.769;
2000;6;28;5.709;5.712;
2000;6;29;5.193;5.196;
2000;6;30;4.53;4.533;
2000;7;1;3.976;3.978;
