YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;68.793;68.793;
2000;2;25;67.239;67.239;
2000;2;26;67.706;67.706;
2000;2;27;66.255;66.255;
2000;2;28;66.402;66.402;
2000;2;29;65.948;65.948;
2000;3;1;65.842;65.842;
2000;3;2;65.98;65.98;
2000;3;3;64.66;64.66;
2000;3;4;64.755;64.755;
2000;3;5;64.241;64.241;
2000;3;6;64.888;64.888;
2000;3;7;64.135;64.135;
2000;3;8;78.214;78.214;
2000;3;9;76.266;76.266;
2000;3;10;76.363;76.363;
2000;3;11;84.597;84.597;
2000;3;12;88.78;88.78;
2000;3;13;88.358;88.358;
2000;3;14;87.958;87.958;
2000;3;15;88.885;88.885;
2000;3;16;89.255;89.255;
2000;3;17;89.01;89.01;
2000;3;18;88.552;88.552;
2000;3;19;87.927;87.927;
2000;3;20;88.328;88.328;
2000;3;21;87.629;87.629;
2000;3;22;81.315;81.315;
2000;3;23;81.519;81.519;
2000;3;24;84.801;84.801;
2000;3;25;84.925;84.925;
2000;3;26;83.566;83.566;
2000;3;27;84.556;84.556;
2000;3;28;85.75;85.75;
2000;3;29;83.613;83.613;
2000;3;30;82.59;82.59;
2000;3;31;82.515;82.515;
2000;4;1;84.928;84.928;
2000;4;2;84.789;84.789;
2000;4;3;81.724;81.724;
2000;4;4;78.765;78.765;
2000;4;5;78.695;78.695;
2000;4;6;78.958;78.958;
2000;4;7;78.591;78.591;
2000;4;8;;;
2000;4;9;76.754;76.754;
2000;4;10;77.329;77.329;
2000;4;11;77.345;77.345;
2000;4;12;74.67;74.67;
2000;4;13;72.744;72.744;
2000;4;14;72.804;72.804;
2000;4;15;66.933;66.933;
2000;4;16;66.909;66.909;
2000;4;17;66.954;66.954;
2000;4;18;66.959;66.959;
2000;4;19;64.386;64.386;
2000;4;20;64.425;64.425;
2000;4;21;64.436;64.436;
2000;4;22;63.103;63.103;
2000;4;23;63.198;63.198;
2000;4;24;63.625;63.625;
2000;4;25;71.845;71.845;
2000;4;26;71.427;71.427;
2000;4;27;70.272;70.272;
2000;4;28;70.533;70.533;
2000;4;29;67.522;67.522;
2000;4;30;68.513;68.513;
2000;5;1;65.537;65.537;
2000;5;2;66.353;66.353;
2000;5;3;61.673;61.673;
2000;5;4;60.981;60.981;
2000;5;5;61.106;61.106;
2000;5;6;53.949;53.949;
2000;5;7;54.318;54.318;
2000;5;8;42.737;42.737;
2000;5;9;41.825;41.825;
2000;5;10;27.268;27.268;
2000;5;11;19.354;19.354;
2000;5;12;13.572;13.572;
2000;5;13;12.207;12.207;
2000;5;14;22.743;22.743;
2000;5;15;22.926;22.926;
2000;5;16;19.11;19.11;
2000;5;17;18.56;18.56;
2000;5;18;17.45;17.45;
2000;5;19;34.271;34.271;
2000;5;20;25.892;25.892;
2000;5;21;24.953;24.953;
2000;5;22;24.367;24.367;
2000;5;23;29.117;29.117;
2000;5;24;30.236;30.236;
2000;5;25;17.49;17.49;
2000;5;26;12.584;12.584;
2000;5;27;13.365;13.365;
2000;5;28;15.94;15.94;
2000;5;29;13.939;13.939;
2000;5;30;11.392;11.392;
2000;5;31;4.478;4.478;
2000;6;1;2.902;2.902;
2000;6;2;1.589;1.589;
2000;6;3;1.194;1.194;
2000;6;4;1.165;1.165;
2000;6;5;1.283;1.283;
2000;6;6;1.485;1.485;
2000;6;7;1.343;1.343;
2000;6;8;1.114;1.114;
2000;6;9;1.192;1.192;
2000;6;10;1.211;1.211;
2000;6;11;0.974;0.974;
2000;6;12;0.701;0.701;
2000;6;13;0.591;0.591;
2000;6;14;0.843;0.843;
2000;6;15;0.588;0.588;
2000;6;16;0.616;0.616;
2000;6;17;0.441;0.441;
2000;6;18;0.447;0.447;
2000;6;19;0.311;0.311;
2000;6;20;0.162;0.162;
2000;6;21;0.073;0.073;
2000;6;22;0.054;0.054;
2000;6;23;0.054;0.054;
2000;6;24;0.054;0.054;
2000;6;25;0.029;0.029;
2000;6;26;0.0;0.0;
2000;6;27;0.0;0.0;
2000;6;28;0.0;0.0;
2000;6;29;0.0;0.0;
2000;6;30;0.0;0.0;
2000;7;1;0.0;0.0;
2000;7;2;0.0;0.0;
2000;7;3;0.0;0.0;
2000;7;4;0.0;0.0;
2000;7;5;0.0;0.0;
2000;7;6;0.001;0.001;
2000;7;7;0.0;0.0;
2000;7;8;0.0;0.0;
2000;7;9;0.021;0.021;
2000;7;10;0.021;0.021;
2000;7;11;0.002;0.002;
2000;7;12;0.0;0.0;
2000;7;13;0.002;0.002;
2000;7;14;0.003;0.003;
2000;7;15;0.257;0.257;
2000;7;16;0.081;0.081;
