YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;74.042;74.042;
2000;2;25;74.029;74.029;
2000;2;26;72.835;72.835;
2000;2;27;73.814;73.814;
2000;2;28;73.869;73.869;
2000;2;29;73.641;73.641;
2000;3;1;73.939;73.939;
2000;3;2;73.471;73.471;
2000;3;3;74.067;74.067;
2000;3;4;74.059;74.059;
2000;3;5;74.281;74.281;
2000;3;6;75.448;75.448;
2000;3;7;74.983;74.983;
2000;3;8;75.295;75.295;
2000;3;9;75.264;75.264;
2000;3;10;76.107;76.107;
2000;3;11;74.892;74.892;
2000;3;12;75.644;75.644;
2000;3;13;76.167;76.167;
2000;3;14;75.827;75.827;
2000;3;15;73.996;73.996;
2000;3;16;70.115;70.115;
2000;3;17;61.969;61.969;
2000;3;18;60.202;60.202;
2000;3;19;60.233;60.233;
2000;3;20;60.336;60.336;
2000;3;21;60.117;60.117;
2000;3;22;61.274;61.274;
2000;3;23;60.723;60.723;
2000;3;24;62.227;62.227;
2000;3;25;62.083;62.083;
2000;3;26;60.726;60.726;
2000;3;27;61.654;61.654;
2000;3;28;61.5;61.5;
2000;3;29;61.802;61.802;
2000;3;30;61.722;61.722;
2000;3;31;61.193;61.193;
2000;4;1;61.362;61.362;
2000;4;2;61.503;61.503;
2000;4;3;61.657;61.657;
2000;4;4;61.722;61.722;
2000;4;5;61.805;61.805;
2000;4;6;59.901;59.901;
2000;4;7;59.327;59.327;
2000;4;8;;;
2000;4;9;58.25;58.25;
2000;4;10;56.253;56.253;
2000;4;11;56.201;56.201;
2000;4;12;54.545;54.545;
2000;4;13;51.713;51.713;
2000;4;14;51.088;51.088;
2000;4;15;50.287;50.287;
2000;4;16;49.61;49.61;
2000;4;17;48.342;48.342;
2000;4;18;39.887;39.887;
2000;4;19;39.946;39.946;
2000;4;20;39.091;39.091;
2000;4;21;38.663;38.663;
2000;4;22;38.275;38.275;
2000;4;23;37.617;37.617;
2000;4;24;37.4;37.4;
2000;4;25;37.076;37.076;
2000;4;26;37.933;37.933;
2000;4;27;37.879;37.879;
2000;4;28;35.919;35.919;
2000;4;29;40.629;40.629;
2000;4;30;37.505;37.505;
2000;5;1;35.822;35.822;
2000;5;2;34.006;34.006;
2000;5;3;21.103;21.103;
2000;5;4;20.631;20.631;
2000;5;5;21.212;21.212;
2000;5;6;18.066;18.066;
2000;5;7;15.822;15.822;
2000;5;8;12.624;12.624;
2000;5;9;12.364;12.364;
2000;5;10;12.14;12.14;
2000;5;11;12.786;12.786;
2000;5;12;7.654;7.654;
2000;5;13;6.693;6.693;
2000;5;14;3.436;3.436;
2000;5;15;3.505;3.505;
2000;5;16;3.913;3.913;
2000;5;17;3.916;3.916;
2000;5;18;3.807;3.807;
2000;5;19;3.995;3.995;
2000;5;20;3.445;3.445;
2000;5;21;3.549;3.549;
2000;5;22;3.473;3.473;
