YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;61.285;63.4;46.356
2000;2;25;66.675;67.883;71.471
2000;2;26;66.627;67.871;71.519
2000;2;27;66.523;67.746;70.415
2000;2;28;66.287;67.4;70.393
2000;2;29;68.156;70.188;70.337
2000;3;1;68.124;69.995;71.291
2000;3;2;68.392;70.428;69.989
2000;3;3;68.164;70.098;69.412
2000;3;4;68.433;70.391;70.692
2000;3;5;69.825;72.645;70.195
2000;3;6;68.643;70.441;75.461
2000;3;7;71.55;73.268;77.597
2000;3;8;73.565;76.375;77.448
2000;3;9;72.413;74.508;78.039
2000;3;10;72.349;74.376;77.548
2000;3;11;71.483;72.954;77.918
2000;3;12;72.132;73.504;80.169
2000;3;13;72.422;74.155;79.103
2000;3;14;71.152;72.267;79.181
2000;3;15;71.783;72.779;76.2
2000;3;16;72.422;73.465;77.359
2000;3;17;72.346;73.345;76.677
2000;3;18;72.353;73.319;75.209
2000;3;19;70.501;70.917;74.749
2000;3;20;71.996;72.846;73.398
2000;3;21;72.079;73.139;75.631
2000;3;22;71.397;72.146;74.722
2000;3;23;76.374;77.55;74.287
2000;3;24;76.333;77.477;74.018
2000;3;25;76.847;77.793;73.275
2000;3;26;79.736;78.953;75.51
2000;3;27;81.714;80.753;72.681
2000;3;28;79.781;78.199;76.456
2000;3;29;76.29;73.278;77.878
2000;3;30;76.44;73.518;77.817
2000;3;31;74.421;71.394;78.483
2000;4;1;74.118;70.901;78.918
2000;4;2;77.109;77.057;78.488
2000;4;3;72.585;71.682;79.606
2000;4;4;73.491;72.571;76.951
2000;4;5;72.566;71.841;77.863
2000;4;6;73.499;72.575;77.014
2000;4;7;75.78;75.661;77.53
2000;4;8;;;
2000;4;9;73.4;72.578;78.301
2000;4;10;73.236;72.814;79.998
2000;4;11;74.28;73.581;78.671
2000;4;12;74.334;73.668;78.637
2000;4;13;71.817;70.844;81.777
2000;4;14;71.951;70.549;79.558
2000;4;15;71.613;70.915;82.879
2000;4;16;71.583;70.878;82.872
2000;4;17;71.598;70.94;82.825
2000;4;18;71.638;71.019;82.809
2000;4;19;65.835;64.092;76.509
2000;4;20;65.981;64.418;80.462
2000;4;21;65.97;64.396;80.147
