YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;61.354;61.353;
2000;2;25;66.669;66.669;
2000;2;26;66.717;66.717;
2000;2;27;66.639;66.638;
2000;2;28;65.686;65.685;
2000;2;29;69.8;69.802;
2000;3;1;69.295;69.294;
2000;3;2;69.617;69.618;
2000;3;3;69.635;69.636;
2000;3;4;69.935;69.936;
2000;3;5;73.65;73.655;
2000;3;6;70.417;70.419;
2000;3;7;71.416;71.418;
2000;3;8;73.12;73.124;
2000;3;9;73.173;73.174;
2000;3;10;73.115;73.116;
2000;3;11;71.844;71.844;
2000;3;12;72.112;72.115;
2000;3;13;73.315;73.32;
2000;3;14;71.52;71.523;
2000;3;15;72.299;72.3;
2000;3;16;73.721;73.72;
2000;3;17;73.212;73.225;
2000;3;18;73.663;73.671;
2000;3;19;72.444;72.453;
2000;3;20;73.156;73.166;
2000;3;21;74.45;74.461;
2000;3;22;72.858;72.867;
2000;3;23;75.748;75.755;
2000;3;24;75.747;75.754;
2000;3;25;76.606;76.613;
2000;3;26;76.293;76.3;
2000;3;27;74.868;74.879;
2000;3;28;76.284;76.29;
2000;3;29;72.527;72.529;
2000;3;30;72.551;72.555;
2000;3;31;71.96;71.963;
2000;4;1;70.258;70.264;
2000;4;2;76.109;76.113;
2000;4;3;70.914;70.912;
2000;4;4;71.309;71.307;
2000;4;5;70.945;70.942;
2000;4;6;71.39;71.387;
2000;4;7;79.166;79.172;
2000;4;8;;;
2000;4;9;72.831;72.829;
2000;4;10;72.992;72.99;
2000;4;11;71.628;71.625;
2000;4;12;71.986;71.983;
2000;4;13;68.226;68.22;
2000;4;14;67.508;67.509;
2000;4;15;67.919;67.913;
2000;4;16;67.792;67.785;
2000;4;17;68.343;68.337;
2000;4;18;68.56;68.554;
2000;4;19;62.092;62.091;
2000;4;20;62.366;62.365;
2000;4;21;62.428;62.427;
2000;4;22;61.823;61.822;
2000;4;23;61.719;61.718;
2000;4;24;61.858;61.856;
2000;4;25;73.019;73.01;
2000;4;26;72.799;72.791;
2000;4;27;70.838;70.827;
2000;4;28;70.667;70.656;
2000;4;29;69.382;69.387;
2000;4;30;71.205;71.194;
2000;5;1;66.119;66.122;
2000;5;2;62.445;62.451;
2000;5;3;53.455;53.477;
2000;5;4;43.982;43.99;
2000;5;5;43.957;43.97;
2000;5;6;29.614;29.617;
2000;5;7;21.992;22.007;
2000;5;8;15.447;15.463;
2000;5;9;15.255;15.271;
2000;5;10;13.007;13.021;
2000;5;11;10.195;10.205;
2000;5;12;4.786;4.791;
2000;5;13;3.234;3.238;
2000;5;14;1.08;1.081;
2000;5;15;0.187;0.187;
2000;5;16;0.229;0.229;
2000;5;17;0.051;0.051;
2000;5;18;0.151;0.151;
