YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;61.353;61.349;55.228
2000;2;25;70.525;70.527;80.667
2000;2;26;70.589;70.591;80.667
2000;2;27;70.32;70.32;80.667
2000;2;28;69.347;69.337;80.667
2000;2;29;71.36;71.355;80.667
2000;3;1;71.134;71.135;80.667
2000;3;2;71.333;71.331;80.667
2000;3;3;70.966;70.949;80.667
2000;3;4;71.055;71.05;80.667
2000;3;5;72.091;72.086;71.749
2000;3;6;71.228;71.224;73.44
2000;3;7;70.225;70.214;62.791
2000;3;8;74.326;74.374;64.084
2000;3;9;73.913;73.96;66.754
2000;3;10;73.809;73.854;63.584
2000;3;11;72.181;72.229;64.302
2000;3;12;72.922;72.967;65.75
2000;3;13;74.019;74.065;65.224
2000;3;14;73.568;73.61;63.732
2000;3;15;74.808;74.862;61.166
2000;3;16;76.967;77.001;64.468
2000;3;17;75.984;76.008;67.585
2000;3;18;76.602;76.633;64.5
2000;3;19;76.233;76.274;62.789
2000;3;20;77.418;77.467;61.172
2000;3;21;77.483;77.523;56.402
2000;3;22;76.399;76.438;56.291
2000;3;23;79.522;79.53;32.524
2000;3;24;79.588;79.593;38.422
2000;3;25;79.666;79.673;33.408
2000;3;26;78.237;78.281;38.667
2000;3;27;80.409;80.403;33.937
2000;3;28;79.29;79.346;35.833
2000;3;29;75.462;75.51;52.643
2000;3;30;75.501;75.543;53.367
2000;3;31;75.365;75.403;54.192
2000;4;1;76.29;76.294;67.802
2000;4;2;79.493;79.507;54.333
2000;4;3;74.942;74.963;56.436
2000;4;4;77.549;77.578;55.808
2000;4;5;77.451;77.479;57.616
2000;4;6;77.671;77.706;56.611
2000;4;7;80.098;80.125;54.0
2000;4;8;;;
2000;4;9;75.874;75.882;55.72
2000;4;10;76.065;76.084;55.858
2000;4;11;76.215;76.244;56.859
2000;4;12;75.671;75.699;57.642
2000;4;13;70.091;70.114;57.333
2000;4;14;70.385;70.401;57.333
2000;4;15;70.001;70.017;57.333
2000;4;16;70.081;70.107;57.333
2000;4;17;69.971;69.997;57.333
2000;4;18;70.199;70.227;57.333
2000;4;19;64.814;64.824;76.01
2000;4;20;64.271;64.278;78.513
2000;4;21;64.347;64.357;76.667
2000;4;22;63.51;63.513;78.351
2000;4;23;63.584;63.59;79.626
2000;4;24;65.219;65.234;76.528
2000;4;25;76.05;76.122;62.57
2000;4;26;75.984;76.058;66.672
2000;4;27;75.464;75.525;55.89
2000;4;28;75.599;75.657;55.767
2000;4;29;75.178;75.237;55.953
2000;4;30;75.463;75.523;55.651
2000;5;1;72.052;72.11;55.813
2000;5;2;71.314;71.371;56.233
2000;5;3;62.258;62.345;55.397
2000;5;4;54.758;54.828;50.0
2000;5;5;54.558;54.632;50.0
2000;5;6;39.602;39.693;39.494
2000;5;7;35.952;36.04;37.833
2000;5;8;34.575;34.641;34.667
2000;5;9;33.062;33.122;35.667
2000;5;10;32.156;32.22;34.667
2000;5;11;29.246;29.347;35.667
2000;5;12;27.046;27.114;34.0
2000;5;13;24.848;24.907;36.667
2000;5;14;19.249;19.3;36.167
2000;5;15;15.53;15.603;37.167
2000;5;16;14.664;14.733;37.667
2000;5;17;13.958;14.019;39.0
2000;5;18;12.984;13.029;40.833
2000;5;19;13.861;13.925;53.964
2000;5;20;13.127;13.192;50.5
2000;5;21;12.133;12.183;51.169
2000;5;22;12.814;12.853;55.146
2000;5;23;12.864;12.889;55.461
2000;5;24;12.21;12.207;55.212
2000;5;25;10.664;10.696;55.188
2000;5;26;10.931;10.947;71.174
2000;5;27;11.442;11.47;71.002
2000;5;28;11.196;11.211;71.082
2000;5;29;10.925;10.928;71.526
2000;5;30;10.619;10.682;70.401
2000;5;31;9.834;9.925;64.333
2000;6;1;7.456;7.444;55.736
2000;6;2;4.713;4.661;56.526
2000;6;3;3.435;3.369;56.169
2000;6;4;3.688;3.629;51.541
2000;6;5;3.092;3.077;54.365
2000;6;6;1.792;1.78;49.779
2000;6;7;1.881;1.874;49.248
2000;6;8;1.717;1.704;45.333
2000;6;9;1.76;1.752;50.275
2000;6;10;1.501;1.407;51.565
2000;6;11;2.048;1.947;55.042
2000;6;12;1.941;1.854;52.769
2000;6;13;2.095;2.014;53.619
2000;6;14;3.229;3.133;55.915
2000;6;15;2.046;1.942;56.792
2000;6;16;1.926;1.841;58.127
2000;6;17;1.985;1.9;57.933
2000;6;18;1.434;1.355;58.736
2000;6;19;1.205;1.09;52.653
2000;6;20;1.243;1.143;53.222
2000;6;21;0.911;0.776;47.765
2000;6;22;0.815;0.679;46.695
2000;6;23;0.921;0.785;50.333
2000;6;24;0.862;0.686;44.0
2000;6;25;0.742;0.572;45.771
2000;6;26;0.606;0.437;44.449
2000;6;27;0.615;0.402;43.762
2000;6;28;0.562;0.428;35.574
2000;6;29;0.554;0.399;34.553
2000;6;30;0.507;0.305;28.333
2000;7;1;0.502;0.305;30.333
2000;7;2;0.483;0.281;29.333
2000;7;3;0.493;0.264;30.333
2000;7;4;0.437;0.235;30.951
2000;7;5;0.498;0.314;28.47
2000;7;6;0.509;0.328;27.524
2000;7;7;0.5;0.381;26.504
2000;7;8;0.617;0.452;26.333
2000;7;9;0.5;0.405;25.039
2000;7;10;0.488;0.445;23.333
2000;7;11;0.659;0.584;24.987
