;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;14.157;810.4
1891;;;;14.13;808.832
1892;;;;14.103;807.263
1893;;;;14.075;805.695
1894;;;;14.048;804.127
1895;;;;14.02;802.559
1896;;;;13.993;800.991
1897;;;;13.966;799.422
1898;;;;13.938;797.854
1899;;;;13.911;796.286
1900;;;;13.883;794.718
1901;;;;13.856;793.149
1902;;;;13.829;791.581
1903;;;;13.801;790.013
1904;;;;13.774;788.445
1905;;;;13.747;786.876
1906;;;;13.719;785.308
1907;;;;13.692;783.74
1908;;;;13.664;782.172
1909;;;;13.637;780.604
1910;;;;13.61;779.035
1911;;;;13.582;777.467
1912;;;;13.555;775.899
1913;;;;13.527;774.331
1914;;;;13.5;772.762
1915;;;;13.473;771.194
1916;;;;13.445;769.626
1917;;;;13.418;768.058
1918;;;;13.39;766.489
1919;;;;13.363;764.921
1920;;;;13.336;763.353
1921;;;;13.308;761.785
1922;;;;13.281;760.217
1923;;;;13.253;758.648
1924;;;;13.226;757.08
1925;;;;13.199;755.512
1926;;;;13.171;753.944
1927;;;;13.144;752.375
1928;;;;13.116;750.807
1929;;;;13.089;749.239
1930;;;;13.062;747.671
1931;;;;13.034;746.102
1932;;;;13.007;744.534
1933;;;;12.979;742.966
1934;;;;12.952;741.398
1935;;;;12.925;739.83
1936;;;;12.897;738.261
1937;;;;12.87;736.693
1938;;;;12.842;735.125
1939;;;;12.815;733.557
1940;;;;12.788;731.988
1941;;;;12.76;730.42
1942;;;;12.733;728.852
1943;;;;12.705;727.284
1944;;;;12.678;725.716
1945;;;;12.651;724.147
1946;;;;12.623;722.538
1947;;;;12.594;720.928
1948;;;;12.566;719.319
1949;;;;12.538;717.709
1950;;;;12.51;716.1
1951;;;;12.482;714.49
1952;;;;12.454;712.881
1953;;;;12.426;711.272
1954;;;;12.398;709.662
1955;;;;12.369;708.053
1956;;;;12.341;706.443
1957;;;;12.313;704.834
1958;;;;12.285;703.224
1959;;;;12.257;701.615
1960;;;;12.229;700.005
1961;;;;12.201;698.396
1962;;;;12.173;696.786
1963;;;;12.145;695.177
1964;;;;12.116;693.567
1965;;;;12.088;691.958
1966;;;;12.06;690.348
1967;;;;12.032;688.739
1968;;;;12.004;687.129
1969;;;;11.976;685.52
1970;;;;11.948;683.911
1971;;;;11.948;683.953
1972;;;;11.949;683.996
1973;;;;11.95;684.038
1974;;;;11.951;684.081
1975;;;;11.951;684.123
1976;;;;11.952;684.165
1977;;;;11.953;684.208
1978;;;;11.954;684.25
1979;;;;11.954;684.293
1980;;;;11.955;684.335
1981;;;;11.956;684.378
1982;;;;11.957;684.42
1983;;;;11.957;684.463
1984;;;;11.958;684.505
1985;;;;11.959;684.548
1986;;;;11.96;684.59
1987;;;;11.96;684.633
1988;;;;11.961;684.675
1989;;;;11.962;684.718
1990;;;;11.963;684.76
1991;;;;11.963;684.803
1992;;;;11.964;684.845
1993;;;;11.965;684.888
1994;;;;11.966;684.93
1995;;;;11.966;684.973
1996;;;;11.967;685.015
1997;-0.9780319;-2.929458;1.951426;11.968;685.058
1998;-1.5227032;-2.768146;1.2454429;11.969;685.1
1999;-0.5083624;-2.1422439;1.6338814;11.969;685.143
2000;-0.24503827;-2.6169498;2.3719115;11.97;685.185
2001;-0.9771447;-2.3598428;1.382698;11.912;681.879
2002;-1.2089949;-2.9355936;1.7265987;11.854;678.573
2003;-1.5686023;-3.8358238;2.2672215;11.797;675.267
2004;-1.1746585;-3.016388;1.8417294;11.739;671.96
2005;-0.5414183;-2.2949436;1.7535253;11.681;668.654
2006;-0.70581365;-2.8994567;2.193643;11.623;665.348
2007;-1.2334802;-3.0518029;1.8183227;11.566;662.042
2008;-1.5135322;-3.6420238;2.1284916;11.508;658.736
2009;-0.16601539;-2.3378303;2.171815;11.45;655.43
2010;-3.6747816;-4.834983;1.1602013;11.392;652.123
2011;-1.0960304;-2.9430897;1.8470594;11.335;648.817
2012;-0.2404437;-2.8015203;2.5610766;11.277;645.511
2013;-0.6929103;-2.0824668;1.3895565;11.219;642.205
2014;-1.7368206;-3.2013824;1.4645618;11.161;638.899
2015;0.5040767;-2.0071568;2.5112336;11.097;635.212
2016;-1.5082855;-3.2955482;1.7872627;11.033;631.526
2017;-0.7985282;-3.2370694;2.4385412;10.968;627.839
2018;0.19868124;-1.4798205;1.6785017;10.906;624.253
2019;-2.0892954;-3.9521036;1.8628083;10.843;620.667
2020;-0.45758665;-2.3606746;1.903088;10.843;620.667
2021;-1.7856804;-3.4977443;1.7120639;10.843;620.667
2022;0.07360911;-2.4524245;2.5260336;10.843;620.667
