;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;0.279;0.531
1891;;;;0.277;0.526
1892;;;;0.275;0.521
1893;;;;0.272;0.517
1894;;;;0.27;0.512
1895;;;;0.267;0.507
1896;;;;0.265;0.503
1897;;;;0.262;0.498
1898;;;;0.26;0.494
1899;;;;0.257;0.489
1900;;;;0.255;0.484
1901;;;;0.253;0.48
1902;;;;0.25;0.475
1903;;;;0.248;0.47
1904;;;;0.245;0.466
1905;;;;0.243;0.461
1906;;;;0.24;0.457
1907;;;;0.238;0.452
1908;;;;0.235;0.447
1909;;;;0.233;0.443
1910;;;;0.231;0.438
1911;;;;0.228;0.433
1912;;;;0.226;0.429
1913;;;;0.223;0.424
1914;;;;0.221;0.419
1915;;;;0.218;0.415
1916;;;;0.216;0.41
1917;;;;0.214;0.406
1918;;;;0.211;0.401
1919;;;;0.209;0.396
1920;;;;0.206;0.392
1921;;;;0.204;0.387
1922;;;;0.201;0.382
1923;;;;0.199;0.378
1924;;;;0.196;0.373
1925;;;;0.194;0.369
1926;;;;0.192;0.364
1927;;;;0.189;0.359
1928;;;;0.187;0.355
1929;;;;0.184;0.35
1930;;;;0.182;0.345
1931;;;;0.179;0.341
1932;;;;0.177;0.336
1933;;;;0.175;0.331
1934;;;;0.172;0.327
1935;;;;0.17;0.322
1936;;;;0.167;0.318
1937;;;;0.165;0.313
1938;;;;0.162;0.308
1939;;;;0.16;0.304
1940;;;;0.157;0.299
1941;;;;0.155;0.294
1942;;;;0.153;0.29
1943;;;;0.15;0.285
1944;;;;0.148;0.281
1945;;;;0.145;0.276
1946;;;;0.143;0.271
1947;;;;0.14;0.267
1948;;;;0.138;0.262
1949;;;;0.135;0.257
1950;;;;0.133;0.253
1951;;;;0.131;0.248
1952;;;;0.128;0.243
1953;;;;0.126;0.239
1954;;;;0.123;0.234
1955;;;;0.121;0.23
1956;;;;0.118;0.225
1957;;;;0.116;0.22
1958;;;;0.114;0.216
1959;;;;0.111;0.211
1960;;;;0.109;0.206
1961;;;;0.106;0.202
1962;;;;0.104;0.197
1963;;;;0.101;0.192
1964;;;;0.099;0.188
1965;;;;0.096;0.183
1966;;;;0.094;0.179
1967;;;;0.092;0.174
1968;;;;0.089;0.169
1969;;;;0.087;0.165
1970;;;;0.084;0.16
1971;;;;0.082;0.155
1972;;;;0.079;0.151
1973;;;;0.077;0.146
1974;;;;0.075;0.142
1975;;;;0.072;0.137
1976;;;;0.07;0.132
1977;;;;0.067;0.128
1978;;;;0.065;0.123
1979;;;;0.062;0.118
1980;;;;0.06;0.114
1981;;;;0.057;0.109
1982;;;;0.055;0.104
1983;;;;0.053;0.1
1984;;;;0.05;0.095
1985;;;;0.048;0.091
1986;;;;0.045;0.086
1987;;;;0.043;0.081
1988;;;;0.04;0.077
1989;;;;0.038;0.072
1990;;;;0.036;0.067
1991;;;;0.033;0.063
1992;;;;0.031;0.058
1993;;;;0.028;0.054
1994;;;;0.026;0.049
1995;;;;0.023;0.044
1996;;;;0.021;0.04
1997;;;;0.018;0.035
1998;;;;0.016;0.03
1999;;;;0.014;0.026
2000;;;;0.011;0.021
2001;;;;0.01;0.02
2002;;;;0.01;0.018
2003;;;;0.009;0.017
2004;;;;0.008;0.015
2005;;;;0.007;0.014
2006;;;;0.006;0.012
2007;;;;0.006;0.011
2008;;;;0.005;0.009
2009;;;;0.004;0.008
2010;;;;0.003;0.006
2011;;;;0.002;0.005
2012;;;;0.002;0.003
2013;;;;0.001;0.002
2014;;;;0.0;0.0
2015;;;;0.0;0.0
2016;;;;0.0;0.0
2017;;;;0.0;0.0
2018;;;;0.0;0.0
2019;;;;0.0;0.0
