;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;34.173;489.481
1891;;;;34.162;489.328
1892;;;;34.151;489.175
1893;;;;34.141;489.022
1894;;;;34.13;488.868
1895;;;;34.119;488.715
1896;;;;34.109;488.562
1897;;;;34.098;488.409
1898;;;;34.087;488.256
1899;;;;34.077;488.102
1900;;;;34.066;487.949
1901;;;;34.055;487.796
1902;;;;34.045;487.643
1903;;;;34.034;487.49
1904;;;;34.023;487.336
1905;;;;34.012;487.183
1906;;;;34.002;487.03
1907;;;;33.991;486.877
1908;;;;33.98;486.724
1909;;;;33.97;486.57
1910;;;;33.959;486.417
1911;;;;33.948;486.264
1912;;;;33.938;486.111
1913;;;;33.927;485.958
1914;;;;33.916;485.804
1915;;;;33.906;485.651
1916;;;;33.895;485.498
1917;;;;33.884;485.345
1918;;;;33.873;485.192
1919;;;;33.863;485.038
1920;;;;33.852;484.885
1921;;;;33.841;484.732
1922;;;;33.831;484.579
1923;;;;33.82;484.426
1924;;;;33.809;484.273
1925;;;;33.799;484.119
1926;;;;33.788;483.966
1927;;;;33.777;483.813
1928;;;;33.766;483.66
1929;;;;33.756;483.507
1930;;;;33.745;483.353
1931;;;;33.734;483.2
1932;;;;33.724;483.047
1933;;;;33.713;482.894
1934;;;;33.702;482.741
1935;;;;33.692;482.587
1936;;;;33.681;482.434
1937;;;;33.67;482.281
1938;;;;33.66;482.128
1939;;;;33.649;481.975
1940;;;;33.638;481.821
1941;;;;33.627;481.668
1942;;;;33.617;481.515
1943;;;;33.606;481.362
1944;;;;33.595;481.209
1945;;;;33.585;481.055
1946;;;;33.522;480.158
1947;;;;33.459;479.26
1948;;;;33.397;478.362
1949;;;;33.334;477.464
1950;;;;33.271;476.566
1951;;;;33.209;475.669
1952;;;;33.146;474.771
1953;;;;33.083;473.873
1954;;;;33.021;472.975
1955;;;;32.958;472.078
1956;;;;32.895;471.18
1957;;;;32.833;470.282
1958;;;;32.77;469.384
1959;;;;32.707;468.487
1960;;;;32.644;467.589
1961;;;;32.582;466.691
1962;;;;32.519;465.793
1963;;;;32.456;464.895
1964;;;;32.394;463.998
1965;;;;32.331;463.1
1966;;;;32.268;462.202
1967;;;;32.206;461.304
1968;;;;32.143;460.407
1969;;;;32.08;459.509
1970;;;;32.018;458.611
1971;;;;32.03;458.792
1972;;;;32.043;458.974
1973;;;;32.056;459.155
1974;;;;32.068;459.336
1975;;;;32.081;459.518
1976;;;;32.094;459.699
1977;;;;32.106;459.881
1978;;;;32.119;460.062
1979;;;;32.132;460.243
1980;;;;32.144;460.425
1981;;;;32.157;460.606
1982;;;;32.17;460.787
1983;;;;32.182;460.969
1984;;;;32.195;461.15
1985;;;;32.208;461.331
1986;;;;32.22;461.513
1987;;;;32.233;461.694
1988;;;;32.246;461.875
1989;;;;32.258;462.057
1990;;;;32.271;462.238
1991;;;;32.284;462.419
1992;;;;32.296;462.601
1993;;;;32.309;462.782
1994;;;;32.322;462.963
1995;;;;32.334;463.145
1996;;;;32.347;463.326
1997;-1.2892144;-2.426913;1.1376987;32.36;463.508
1998;-0.99303734;-1.960237;0.9671997;32.372;463.689
1999;-0.5167544;-1.7874805;1.2707261;32.385;463.87
2000;-0.69090915;-2.1980658;1.5071566;32.398;464.052
2001;-1.0869415;-2.190403;1.1034615;32.338;463.202
2002;-0.69075024;-2.2277896;1.5370394;32.279;462.352
2003;-0.6841905;-2.8108704;2.12668;32.22;461.502
2004;-0.8387103;-2.2881165;1.4494061;32.16;460.652
2005;-0.95852506;-2.3378706;1.3793455;32.101;459.802
2006;-0.6099496;-2.2704961;1.6605465;32.041;458.952
2007;-0.31698275;-2.023511;1.7065282;31.982;458.102
2008;-0.55501294;-2.4715235;1.9165106;31.923;457.252
2009;-0.06874156;-1.9322157;1.8634741;31.863;456.402
2010;-2.9873202;-4.263941;1.2766206;31.804;455.552
2011;-0.9067519;-3.0527346;2.1459827;31.745;454.702
2012;-0.68253434;-2.4943259;1.8117915;31.685;453.852
2013;-0.24041605;-1.5673859;1.3269699;31.626;453.002
2014;-0.8870311;-2.399517;1.512486;31.567;452.152
2015;0.8027612;-1.3515381;2.1542993;31.505;451.265
2016;-0.83312154;-2.4692185;1.636097;31.443;450.378
2017;0.22135997;-2.1482222;2.3695822;31.381;449.491
2018;0.19430757;-1.5955299;1.7898375;31.334;448.823
2019;-1.3827763;-2.9867916;1.6040154;31.288;448.156
2020;-0.30108333;-1.9748499;1.6737666;31.288;448.156
2021;-1.1638664;-2.4059541;1.2420877;31.288;448.156
2022;-0.776718;-2.7082553;1.9315373;31.288;448.156
