;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;0.095;0.609
1891;;;;0.094;0.604
1892;;;;0.093;0.598
1893;;;;0.092;0.593
1894;;;;0.091;0.587
1895;;;;0.091;0.582
1896;;;;0.09;0.576
1897;;;;0.089;0.571
1898;;;;0.088;0.565
1899;;;;0.087;0.559
1900;;;;0.086;0.554
1901;;;;0.085;0.548
1902;;;;0.085;0.543
1903;;;;0.084;0.537
1904;;;;0.083;0.532
1905;;;;0.082;0.526
1906;;;;0.081;0.521
1907;;;;0.08;0.515
1908;;;;0.079;0.51
1909;;;;0.079;0.504
1910;;;;0.078;0.499
1911;;;;0.077;0.493
1912;;;;0.076;0.487
1913;;;;0.075;0.482
1914;;;;0.074;0.476
1915;;;;0.073;0.471
1916;;;;0.072;0.465
1917;;;;0.072;0.46
1918;;;;0.071;0.454
1919;;;;0.07;0.449
1920;;;;0.069;0.443
1921;;;;0.068;0.438
1922;;;;0.067;0.432
1923;;;;0.066;0.427
1924;;;;0.066;0.421
1925;;;;0.065;0.415
1926;;;;0.064;0.41
1927;;;;0.063;0.404
1928;;;;0.062;0.399
1929;;;;0.061;0.393
1930;;;;0.06;0.388
1931;;;;0.06;0.382
1932;;;;0.059;0.377
1933;;;;0.058;0.371
1934;;;;0.057;0.366
1935;;;;0.056;0.36
1936;;;;0.055;0.355
1937;;;;0.054;0.349
1938;;;;0.053;0.343
1939;;;;0.053;0.338
1940;;;;0.052;0.332
1941;;;;0.051;0.327
1942;;;;0.05;0.321
1943;;;;0.049;0.316
1944;;;;0.048;0.31
1945;;;;0.047;0.305
1946;;;;0.047;0.299
1947;;;;0.046;0.294
1948;;;;0.045;0.288
1949;;;;0.044;0.283
1950;;;;0.043;0.277
1951;;;;0.042;0.271
1952;;;;0.041;0.266
1953;;;;0.041;0.26
1954;;;;0.04;0.255
1955;;;;0.039;0.249
1956;;;;0.038;0.244
1957;;;;0.037;0.238
1958;;;;0.036;0.233
1959;;;;0.035;0.227
1960;;;;0.035;0.222
1961;;;;0.034;0.216
1962;;;;0.033;0.21
1963;;;;0.032;0.205
1964;;;;0.031;0.199
1965;;;;0.03;0.194
1966;;;;0.029;0.188
1967;;;;0.028;0.183
1968;;;;0.028;0.177
1969;;;;0.027;0.172
1970;;;;0.026;0.166
1971;;;;0.025;0.161
1972;;;;0.024;0.155
1973;;;;0.023;0.15
1974;;;;0.022;0.144
1975;;;;0.022;0.138
1976;;;;0.021;0.133
1977;;;;0.02;0.127
1978;;;;0.019;0.122
1979;;;;0.018;0.116
1980;;;;0.017;0.111
1981;;;;0.016;0.105
1982;;;;0.016;0.1
1983;;;;0.015;0.094
1984;;;;0.014;0.089
1985;;;;0.013;0.083
1986;;;;0.012;0.078
1987;;;;0.011;0.072
1988;;;;0.01;0.066
1989;;;;0.009;0.061
1990;;;;0.009;0.055
1991;;;;0.008;0.05
1992;;;;0.007;0.044
1993;;;;0.006;0.039
1994;;;;0.005;0.033
1995;;;;0.004;0.028
1996;;;;0.003;0.022
1997;;;;0.003;0.017
1998;;;;0.002;0.011
1999;;;;0.001;0.006
2000;;;;0.0;0.0
2001;;;;0.0;0.0
2002;;;;0.0;0.0
2003;;;;0.0;0.0
2004;;;;0.0;0.0
2005;;;;0.0;0.0
2006;;;;0.0;0.0
2007;;;;0.0;0.0
2008;;;;0.0;0.0
2009;;;;0.0;0.0
2010;;;;0.0;0.0
2011;;;;0.0;0.0
2012;;;;0.0;0.0
2013;;;;0.0;0.0
2014;;;;0.0;0.0
2015;;;;0.0;0.0
2016;;;;0.0;0.0
2017;;;;0.0;0.0
2018;;;;0.0;0.0
2019;;;;0.0;0.0
