;annual_net_MB;summer_MB;winter_MB;g_frac_dyn;g_area_dyn
1890;;;;6.268;29.675
1891;;;;6.263;29.651
1892;;;;6.258;29.627
1893;;;;6.253;29.603
1894;;;;6.248;29.579
1895;;;;6.243;29.556
1896;;;;6.238;29.532
1897;;;;6.232;29.508
1898;;;;6.227;29.484
1899;;;;6.222;29.46
1900;;;;6.217;29.436
1901;;;;6.212;29.412
1902;;;;6.207;29.388
1903;;;;6.202;29.364
1904;;;;6.197;29.34
1905;;;;6.192;29.316
1906;;;;6.187;29.292
1907;;;;6.182;29.268
1908;;;;6.177;29.244
1909;;;;6.172;29.221
1910;;;;6.167;29.197
1911;;;;6.162;29.173
1912;;;;6.157;29.149
1913;;;;6.152;29.125
1914;;;;6.147;29.101
1915;;;;6.141;29.077
1916;;;;6.136;29.053
1917;;;;6.131;29.029
1918;;;;6.126;29.005
1919;;;;6.121;28.981
1920;;;;6.116;28.957
1921;;;;6.111;28.933
1922;;;;6.106;28.909
1923;;;;6.101;28.886
1924;;;;6.096;28.862
1925;;;;6.091;28.838
1926;;;;6.086;28.814
1927;;;;6.081;28.79
1928;;;;6.076;28.766
1929;;;;6.071;28.742
1930;;;;6.066;28.718
1931;;;;6.061;28.694
1932;;;;6.056;28.67
1933;;;;6.051;28.646
1934;;;;6.045;28.622
1935;;;;6.04;28.598
1936;;;;6.035;28.574
1937;;;;6.03;28.551
1938;;;;6.025;28.527
1939;;;;6.02;28.503
1940;;;;6.015;28.479
1941;;;;6.01;28.455
1942;;;;6.005;28.431
1943;;;;6.0;28.407
1944;;;;5.995;28.383
1945;;;;5.99;28.359
1946;;;;5.982;28.321
1947;;;;5.974;28.283
1948;;;;5.966;28.245
1949;;;;5.958;28.208
1950;;;;5.95;28.17
1951;;;;5.942;28.132
1952;;;;5.934;28.094
1953;;;;5.926;28.056
1954;;;;5.918;28.018
1955;;;;5.91;27.98
1956;;;;5.902;27.943
1957;;;;5.894;27.905
1958;;;;5.886;27.867
1959;;;;5.878;27.829
1960;;;;5.87;27.791
1961;;;;5.862;27.753
1962;;;;5.854;27.715
1963;;;;5.846;27.677
1964;;;;5.838;27.64
1965;;;;5.83;27.602
1966;;;;5.822;27.564
1967;;;;5.814;27.526
1968;;;;5.806;27.488
1969;;;;5.798;27.45
1970;;;;5.79;27.412
1971;;;;5.786;27.396
1972;;;;5.783;27.379
1973;;;;5.779;27.362
1974;;;;5.776;27.346
1975;;;;5.772;27.329
1976;;;;5.769;27.312
1977;;;;5.765;27.296
1978;;;;5.762;27.279
1979;;;;5.758;27.262
1980;;;;5.755;27.245
1981;;;;5.751;27.229
1982;;;;5.748;27.212
1983;;;;5.744;27.195
1984;;;;5.741;27.179
1985;;;;5.737;27.162
1986;;;;5.733;27.145
1987;;;;5.73;27.129
1988;;;;5.726;27.112
1989;;;;5.723;27.095
1990;;;;5.719;27.079
1991;;;;5.716;27.062
1992;;;;5.712;27.045
1993;;;;5.709;27.028
1994;;;;5.705;27.012
1995;;;;5.702;26.995
1996;;;;5.698;26.978
1997;;;;5.695;26.962
1998;;;;5.691;26.945
1999;;;;5.688;26.928
2000;;;;5.684;26.912
2001;;;;5.664;26.818
2002;;;;5.645;26.725
2003;;;;5.625;26.632
2004;;;;5.605;26.539
2005;;;;5.586;26.446
2006;;;;5.566;26.353
2007;;;;5.546;26.259
2008;;;;5.527;26.166
2009;;;;5.507;26.073
2010;;;;5.487;25.98
2011;;;;5.468;25.887
2012;;;;5.448;25.794
2013;;;;5.428;25.7
2014;;;;5.409;25.607
2015;;;;5.385;25.495
2016;;;;5.361;25.383
2017;;;;5.338;25.271
2018;;;;5.345;25.304
2019;;;;5.351;25.336
