YYYY;MM;DD;fsca_full_watershed
2000;2;24;75.026
2000;2;25;75.003
2000;2;26;74.698
2000;2;27;76.745
2000;2;28;76.664
2000;2;29;76.45
2000;3;1;78.918
2000;3;2;78.892
2000;3;3;79.171
2000;3;4;79.218
2000;3;5;82.757
2000;3;6;86.676
2000;3;7;86.254
2000;3;8;85.42
2000;3;9;86.833
2000;3;10;88.247
2000;3;11;87.216
2000;3;12;86.852
2000;3;13;85.275
2000;3;14;85.991
2000;3;15;84.343
2000;3;16;68.945
2000;3;17;68.811
2000;3;18;67.989
2000;3;19;67.137
2000;3;20;67.161
2000;3;21;67.538
2000;3;22;67.37
2000;3;23;67.234
2000;3;24;73.331
2000;3;25;75.843
2000;3;26;77.116
2000;3;27;77.064
2000;3;28;77.386
2000;3;29;78.032
2000;3;30;77.329
2000;3;31;77.856
2000;4;1;77.456
2000;4;2;78.303
2000;4;3;77.716
2000;4;4;77.196
2000;4;5;77.014
2000;4;6;77.937
2000;4;7;80.089
2000;4;8;
2000;4;9;80.876
2000;4;10;80.49
2000;4;11;79.916
2000;4;12;79.452
2000;4;13;79.089
2000;4;14;79.415
2000;4;15;79.289
2000;4;16;79.48
2000;4;17;79.529
2000;4;18;79.417
2000;4;19;79.249
2000;4;20;78.932
2000;4;21;78.841
2000;4;22;79.254
2000;4;23;79.442
2000;4;24;79.173
2000;4;25;79.102
2000;4;26;78.59
2000;4;27;78.288
2000;4;28;77.096
2000;4;29;75.035
2000;4;30;74.945
2000;5;1;75.058
2000;5;2;76.217
2000;5;3;75.093
2000;5;4;75.341
2000;5;5;74.967
2000;5;6;74.741
2000;5;7;74.976
2000;5;8;72.383
2000;5;9;72.098
2000;5;10;68.476
2000;5;11;68.377
2000;5;12;64.909
2000;5;13;66.508
2000;5;14;64.888
2000;5;15;64.931
2000;5;16;64.636
2000;5;17;64.438
2000;5;18;64.696
2000;5;19;63.549
2000;5;20;63.536
2000;5;21;64.004
2000;5;22;65.559
2000;5;23;65.598
2000;5;24;67.552
2000;5;25;70.293
2000;5;26;72.235
2000;5;27;80.102
2000;5;28;78.535
2000;5;29;78.292
2000;5;30;79.948
2000;5;31;79.766
2000;6;1;77.328
2000;6;2;59.804
2000;6;3;51.043
2000;6;4;50.366
2000;6;5;48.08
2000;6;6;47.848
2000;6;7;47.618
2000;6;8;38.864
2000;6;9;36.781
2000;6;10;36.696
2000;6;11;36.451
2000;6;12;36.357
2000;6;13;37.871
2000;6;14;34.893
2000;6;15;35.415
2000;6;16;27.204
2000;6;17;17.615
2000;6;18;10.782
2000;6;19;5.809
2000;6;20;3.917
2000;6;21;4.073
2000;6;22;3.53
2000;6;23;2.575
2000;6;24;2.95
2000;6;25;0.771
2000;6;26;0.07
2000;6;27;0.01
2000;6;28;0.003
2000;6;29;0.006
2000;6;30;0.004
2000;7;1;0.008
2000;7;2;0.001
2000;7;3;0.008
2000;7;4;0.0
2000;7;5;0.0
2000;7;6;0.0
2000;7;7;0.006
2000;7;8;0.02
2000;7;9;0.012
2000;7;10;0.009
2000;7;11;0.008
2000;7;12;0.009
2000;7;13;0.006
2000;7;14;0.002
2000;7;15;0.006
2000;7;16;0.078
2000;7;17;0.085
2000;7;18;0.109
2000;7;19;0.024
2000;7;20;0.0
2000;7;21;0.003
2000;7;22;0.001
2000;7;23;0.0
2000;7;24;0.003
2000;7;25;0.001
2000;7;26;0.003
2000;7;27;0.001
2000;7;28;0.0
2000;7;29;0.004
2000;7;30;0.003
2000;7;31;0.006
2000;8;1;0.017
2000;8;2;0.01
2000;8;3;0.014
2000;8;4;0.014
2000;8;5;0.017
2000;8;6;
2000;8;7;
2000;8;8;
2000;8;9;
2000;8;10;
2000;8;11;
2000;8;12;
2000;8;13;
2000;8;14;
2000;8;15;
2000;8;16;
2000;8;17;
2000;8;18;0.001
2000;8;19;0.006
2000;8;20;0.068
2000;8;21;0.007
2000;8;22;0.006
2000;8;23;0.0
2000;8;24;0.0
