YYYY;MM;DD;qobs;qc_flag
1990;9;16;11.56;40
1990;9;17;9.83;40
1990;9;18;8.7;40
1990;9;19;9.25;40
1990;9;20;9.25;40
1990;9;21;9.53;40
1990;9;22;10.37;40
1990;9;23;10.66;40
1990;9;24;10.66;40
1990;9;25;11.27;40
1990;9;26;13.14;40
1990;9;27;13.14;40
1990;9;28;11.27;40
1990;9;29;10.08;40
1990;9;30;11.3;40
1990;10;1;12.18;40
1990;10;2;11.55;40
1990;10;3;10.67;40
1990;10;4;10.08;40
1990;10;5;10.08;40
1990;10;6;9.8;40
1990;10;7;10.67;40
1990;10;8;11.25;40
1990;10;9;10.66;40
1990;10;10;9.53;40
1990;10;11;8.7;40
1990;10;12;8.44;40
1990;10;13;8.71;40
1990;10;14;9.24;40
1990;10;15;8.97;40
1990;10;16;8.44;40
1990;10;17;8.18;40
1990;10;18;9.27;40
1990;10;19;11.58;40
1990;10;20;12.48;40
1990;10;21;12.17;40
1990;10;22;11.86;40
1990;10;23;11.25;40
1990;10;24;10.66;40
1990;10;25;10.66;40
1990;10;26;11.56;40
1990;10;27;12.17;40
1990;10;28;11.27;40
1990;10;29;9.8;40
1990;10;30;9.24;40
1990;10;31;8.71;40
1990;11;1;8.18;40
1990;11;2;8.18;40
1990;11;3;8.71;40
1990;11;4;8.71;40
1990;11;5;8.99;40
1990;11;6;9.8;40
1990;11;7;8.99;40
1990;11;8;8.18;40
1990;11;9;8.99;40
1990;11;10;9.52;40
1990;11;11;9.24;40
1990;11;12;9.24;40
1990;11;13;8.97;40
1990;11;14;8.7;40
1990;11;15;8.44;40
1990;11;16;7.92;40
1990;11;17;7.67;40
1990;11;18;7.92;40
1990;11;19;7.92;40
1990;11;20;7.18;40
1990;11;21;7.18;40
1990;11;22;7.92;40
1990;11;23;8.44;40
1990;11;24;8.7;40
1990;11;25;8.97;40
1990;11;26;8.97;40
1990;11;27;8.7;40
1990;11;28;8.97;40
1990;11;29;8.71;40
1990;11;30;17.89;40
1990;12;1;18.15;40
1990;12;2;8.44;40
1990;12;3;8.71;40
1990;12;4;9.24;40
1990;12;5;9.24;40
1990;12;6;17.08;40
1990;12;7;17.36;40
1990;12;8;9.25;40
1990;12;9;8.44;40
1990;12;10;9.87;40
1990;12;11;9.87;40
1990;12;12;8.18;40
1990;12;13;11.14;40
1990;12;14;13.78;40
1990;12;15;15.92;40
1990;12;16;14.97;40
1990;12;17;10.67;40
1990;12;18;11.62;40
1990;12;19;14.11;40
1990;12;20;12.01;40
1990;12;21;8.71;40
1990;12;22;9.87;40
1990;12;23;11.86;40
1990;12;24;9.92;40
1990;12;25;9.61;40
1990;12;26;14.97;40
1990;12;27;32.41;40
1990;12;28;27.57;40
1990;12;29;8.44;40
1990;12;30;8.44;40
1990;12;31;8.19;40
1991;1;1;7.67;40
1991;1;2;7.92;40
1991;1;3;7.92;40
1991;1;4;7.67;40
1991;1;5;7.92;40
1991;1;6;9.87;40
1991;1;7;11.86;40
1991;1;8;21.78;40
1991;1;9;20.05;40
1991;1;10;8.19;40
1991;1;11;7.42;40
1991;1;12;12.41;40
1991;1;13;22.16;40
1991;1;14;23.71;40
1991;1;15;15.55;40
1991;1;16;12.92;40
1991;1;17;20.63;40
1991;1;18;36.11;40
1991;1;19;97.97;40
1991;1;20;158.95;40
1991;1;21;159.97;40
1991;1;22;117.36;40
1991;1;23;50.4;40
1991;1;24;20.41;40
1991;1;25;17.07;40
1991;1;26;14.67;40
1991;1;27;18.01;40
1991;1;28;15.54;40
1991;1;29;11.62;40
1991;1;30;12.99;40
1991;1;31;43.71;40
1991;2;1;254.48;100
1991;2;2;498.84;100
1991;2;3;605.32;100
1991;2;4;665.11;100
1991;2;5;652.97;100
1991;2;6;602.76;100
1991;2;7;486.94;100
1991;2;8;346.35;100
1991;2;9;268.43;40
1991;2;10;205.82;40
1991;2;11;104.07;40
1991;2;12;24.1;40
1991;2;13;12.48;40
1991;2;14;11.56;40
1991;2;15;10.66;40
1991;2;16;9.53;40
1991;2;17;8.44;40
1991;2;18;8.18;40
1991;2;19;8.18;40
1991;2;20;7.92;40
1991;2;21;7.42;40
1991;2;22;7.42;40
1991;2;23;9.02;40
1991;2;24;10.96;40
1991;2;25;10.13;40
1991;2;26;8.19;40
1991;2;27;7.42;40
1991;2;28;7.42;40
1991;3;1;7.67;40
1991;3;2;7.67;40
1991;3;3;7.42;40
1991;3;4;7.18;40
1991;3;5;7.68;40
1991;3;6;8.18;40
1991;3;7;8.18;40
1991;3;8;8.18;40
1991;3;9;8.18;40
1991;3;10;7.92;40
1991;3;11;7.92;40
1991;3;12;7.92;40
1991;3;13;7.67;40
1991;3;14;7.92;40
1991;3;15;7.92;40
1991;3;16;7.67;40
1991;3;17;7.92;40
1991;3;18;7.44;40
1991;3;19;12.17;40
1991;3;20;24.51;40
1991;3;21;31.39;40
1991;3;22;29.5;40
1991;3;23;25.82;40
1991;3;24;25.37;40
1991;3;25;23.31;40
1991;3;26;21.99;40
1991;3;27;22.79;40
1991;3;28;20.73;40
1991;3;29;19.16;40
1991;3;30;18.38;40
1991;3;31;14.38;40
1991;4;1;9.27;40
1991;4;2;8.99;40
1991;4;3;8.49;40
1991;4;4;7.18;40
1991;4;5;7.18;40
1991;4;6;7.42;40
1991;4;7;7.18;40
1991;4;8;7.18;40
1991;4;9;7.42;40
1991;4;10;7.94;40
1991;4;11;7.94;40
1991;4;12;7.42;40
1991;4;13;9.61;40
1991;4;14;10.4;40
1991;4;15;8.46;40
1991;4;16;7.18;40
1991;4;17;6.7;40
1991;4;18;6.47;40
1991;4;19;6.24;40
1991;4;20;6.47;40
1991;4;21;6.94;40
1991;4;22;6.94;40
1991;4;23;6.47;40
1991;4;24;6.24;40
1991;4;25;6.24;40
1991;4;26;6.47;40
1991;4;27;6.7;40
1991;4;28;6.47;40
1991;4;29;6.24;40
1991;4;30;6.47;40
1991;5;1;7.18;40
1991;5;2;9.02;40
1991;5;3;12.57;40
1991;5;4;15.84;40
1991;5;5;16.54;40
1991;5;6;16.91;40
1991;5;7;20.0;40
1991;5;8;20.37;40
1991;5;9;18.01;40
1991;5;10;17.27;40
1991;5;11;16.54;40
1991;5;12;15.48;40
1991;5;13;14.44;40
1991;5;14;16.63;40
1991;5;15;29.95;40
1991;5;16;50.46;40
1991;5;17;52.15;40
1991;5;18;38.24;40
1991;5;19;30.92;40
1991;5;20;28.08;40
1991;5;21;24.52;40
1991;5;22;22.36;40
1991;5;23;26.87;40
1991;5;24;44.47;40
1991;5;25;61.58;40
1991;5;26;60.93;40
1991;5;27;67.43;40
1991;5;28;66.79;40
1991;5;29;49.55;40
1991;5;30;42.98;40
1991;5;31;38.12;40
1991;6;1;;250
1991;6;2;;250
1991;6;3;;250
1991;6;4;;250
1991;6;5;;250
1991;6;6;;250
1991;6;7;;250
1991;6;8;;250
1991;6;9;;250
1991;6;10;;250
1991;6;11;;250
1991;6;12;;250
1991;6;13;;250
1991;6;14;;250
1991;6;15;;250
1991;6;16;;250
1991;6;17;;250
1991;6;18;;250
1991;6;19;;250
1991;6;20;;250
1991;6;21;;250
1991;6;22;;250
1991;6;23;;250
1991;6;24;;250
1991;6;25;;250
1991;6;26;19.15;40
1991;6;27;19.15;40
1991;6;28;18.02;40
1991;6;29;16.54;40
1991;6;30;16.91;40
1991;7;1;18.39;40
1991;7;2;20.34;40
1991;7;3;23.22;40
1991;7;4;25.8;40
1991;7;5;24.52;40
1991;7;6;21.94;40
1991;7;7;20.73;40
1991;7;8;18.41;40
1991;7;9;16.9;40
1991;7;10;15.84;40
1991;7;11;14.11;40
1991;7;12;13.12;40
1991;7;13;13.12;40
1991;7;14;12.81;40
1991;7;15;12.17;40
1991;7;16;13.14;40
1991;7;17;13.78;40
1991;7;18;12.81;40
1991;7;19;12.17;40
1991;7;20;11.86;40
1991;7;21;11.55;40
1991;7;22;11.86;40
1991;7;23;12.17;40
1991;7;24;12.17;40
1991;7;25;12.17;40
1991;7;26;12.17;40
1991;7;27;12.81;40
1991;7;28;12.81;40
1991;7;29;12.17;40
1991;7;30;11.86;40
1991;7;31;12.18;40
1991;8;1;13.12;40
1991;8;2;13.12;40
1991;8;3;13.12;40
1991;8;4;13.12;40
1991;8;5;12.48;40
1991;8;6;12.17;40
1991;8;7;12.17;40
1991;8;8;11.86;40
1991;8;9;11.86;40
1991;8;10;12.17;40
1991;8;11;12.17;40
1991;8;12;12.48;40
1991;8;13;12.48;40
1991;8;14;12.48;40
1991;8;15;12.8;40
1991;8;16;12.48;40
1991;8;17;13.48;40
1991;8;18;14.11;40
1991;8;19;12.81;40
1991;8;20;11.86;40
1991;8;21;11.55;40
1991;8;22;11.86;40
1991;8;23;11.86;40
1991;8;24;12.18;40
1991;8;25;13.79;40
1991;8;26;13.79;40
1991;8;27;12.8;40
1991;8;28;12.8;40
1991;8;29;13.12;40
1991;8;30;13.45;40
1991;8;31;11.62;40
1991;9;1;8.73;40
1991;9;2;9.61;40
1991;9;3;11.55;40
1991;9;4;;250
1991;9;5;;250
1991;9;6;;250
1991;9;7;;250
1991;9;8;;250
1991;9;9;;250
1991;9;10;;250
1991;9;11;;250
1991;9;12;;250
1991;9;13;;250
1991;9;14;;250
1991;9;15;;250
1991;9;16;;250
1991;9;17;;250
1991;9;18;;250
1991;9;19;;250
1991;9;20;13.78;40
1991;9;21;12.81;40
1991;9;22;12.17;40
1991;9;23;12.17;40
1991;9;24;12.17;40
1991;9;25;11.86;40
1991;9;26;11.55;40
1991;9;27;11.55;40
1991;9;28;11.86;40
1991;9;29;12.17;40
1991;9;30;12.17;40
1991;10;1;11.86;40
1991;10;2;12.18;40
1991;10;3;12.18;40
1991;10;4;11.55;40
1991;10;5;11.86;40
1991;10;6;11.56;40
1991;10;7;10.95;40
1991;10;8;11.56;40
1991;10;9;13.82;40
1991;10;10;14.46;40
1991;10;11;13.12;40
1991;10;12;12.48;40
1991;10;13;12.17;40
1991;10;14;11.27;40
1991;10;15;10.66;40
1991;10;16;10.95;40
1991;10;17;10.95;40
1991;10;18;11.25;40
1991;10;19;11.55;40
1991;10;20;11.55;40
1991;10;21;11.86;40
1991;10;22;12.48;40
1991;10;23;14.14;40
1991;10;24;17.7;40
1991;10;25;16.69;40
1991;10;26;13.45;40
1991;10;27;14.11;40
1991;10;28;14.11;40
1991;10;29;13.12;40
1991;10;30;12.8;40
1991;10;31;12.8;40
1991;11;1;12.8;40
1991;11;2;11.88;40
1991;11;3;11.25;40
1991;11;4;11.55;40
1991;11;5;11.55;40
1991;11;6;11.55;40
1991;11;7;11.25;40
1991;11;8;10.95;40
1991;11;9;11.25;40
1991;11;10;11.25;40
1991;11;11;10.95;40
1991;11;12;11.25;40
1991;11;13;18.23;40
1991;11;14;25.8;40
1991;11;15;19.43;40
1991;11;16;12.17;40
1991;11;17;11.27;40
1991;11;18;10.66;40
1991;11;19;10.95;40
1991;11;20;11.25;40
1991;11;21;11.55;40
1991;11;22;11.25;40
1991;11;23;10.95;40
1991;11;24;10.95;40
1991;11;25;10.95;40
1991;11;26;10.66;40
1991;11;27;10.66;40
1991;11;28;10.66;40
1991;11;29;10.37;40
1991;11;30;10.66;40
1991;12;1;10.66;40
1991;12;2;10.08;40
1991;12;3;10.37;40
1991;12;4;10.95;40
1991;12;5;13.21;40
1991;12;6;16.19;40
1991;12;7;15.5;40
1991;12;8;14.11;40
1991;12;9;14.11;40
1991;12;10;13.45;40
1991;12;11;12.8;40
1991;12;12;12.48;40
1991;12;13;12.17;40
1991;12;14;12.17;40
1991;12;15;12.17;40
1991;12;16;11.86;40
1991;12;17;11.55;40
1991;12;18;11.55;40
1991;12;19;11.86;40
1991;12;20;13.48;40
1991;12;21;14.11;40
1991;12;22;12.81;40
1991;12;23;11.56;40
1991;12;24;10.66;40
1991;12;25;10.37;40
1991;12;26;11.27;40
1991;12;27;12.17;40
1991;12;28;12.48;40
1991;12;29;14.49;40
1991;12;30;15.83;40
1991;12;31;15.13;40
1992;1;1;14.44;40
1992;1;2;14.44;40
1992;1;3;15.13;40
1992;1;4;14.14;40
1992;1;5;12.18;40
1992;1;6;11.25;40
1992;1;7;10.95;40
1992;1;8;11.25;40
1992;1;9;11.25;40
1992;1;10;10.95;40
1992;1;11;11.88;40
1992;1;12;16.76;40
1992;1;13;31.29;40
1992;1;14;41.3;40
1992;1;15;31.55;40
1992;1;16;21.14;40
1992;1;17;20.73;40
1992;1;18;22.36;40
1992;1;19;21.17;40
1992;1;20;18.77;40
1992;1;21;16.93;40
1992;1;22;15.83;40
1992;1;23;15.48;40
1992;1;24;14.44;40
1992;1;25;17.42;40
1992;1;26;28.06;40
1992;1;27;31.05;40
1992;1;28;42.78;40
1992;1;29;46.12;40
1992;1;30;26.65;40
1992;1;31;17.7;40
1992;2;1;15.47;40
1992;2;2;15.83;40
1992;2;3;15.48;40
1992;2;4;14.78;40
1992;2;5;16.97;40
1992;2;6;20.34;40
1992;2;7;21.13;40
1992;2;8;19.94;40
1992;2;9;21.17;40
1992;2;10;30.35;40
1992;2;11;29.11;40
1992;2;12;18.45;40
1992;2;13;15.14;40
1992;2;14;14.11;40
1992;2;15;13.14;40
1992;2;16;12.48;40
1992;2;17;11.58;40
1992;2;18;19.45;40
1992;2;19;33.01;40
1992;2;20;37.5;40
1992;2;21;41.38;40
1992;2;22;40.34;40
1992;2;23;45.84;40
1992;2;24;55.63;40
1992;2;25;53.73;40
1992;2;26;47.73;40
1992;2;27;35.75;40
1992;2;28;29.0;40
1992;2;29;28.08;40
1992;3;1;24.94;40
1992;3;2;24.05;40
1992;3;3;31.21;40
1992;3;4;33.01;40
1992;3;5;27.61;40
1992;3;6;25.8;40
1992;3;7;35.67;40
1992;3;8;37.02;40
1992;3;9;27.6;40
1992;3;10;25.82;40
1992;3;11;24.05;40
1992;3;12;21.22;40
1992;3;13;17.28;40
1992;3;14;15.14;40
1992;3;15;14.11;40
1992;3;16;13.45;40
1992;3;17;11.58;40
1992;3;18;10.37;40
1992;3;19;10.37;40
1992;3;20;10.37;40
1992;3;21;10.08;40
1992;3;22;9.8;40
1992;3;23;9.8;40
1992;3;24;9.8;40
1992;3;25;9.52;40
1992;3;26;9.52;40
1992;3;27;9.8;40
1992;3;28;9.52;40
1992;3;29;9.8;40
1992;3;30;9.53;40
1992;3;31;8.7;40
1992;4;1;8.7;40
1992;4;2;8.7;40
1992;4;3;8.7;40
1992;4;4;8.7;40
1992;4;5;8.7;40
1992;4;6;8.7;40
1992;4;7;8.7;40
1992;4;8;8.7;40
1992;4;9;8.44;40
1992;4;10;8.18;40
1992;4;11;8.18;40
1992;4;12;8.18;40
1992;4;13;8.18;40
1992;4;14;7.92;40
1992;4;15;7.92;40
1992;4;16;8.18;40
1992;4;17;8.18;40
1992;4;18;7.92;40
1992;4;19;7.92;40
1992;4;20;7.92;40
1992;4;21;7.67;40
1992;4;22;7.92;40
1992;4;23;12.91;40
1992;4;24;16.21;40
1992;4;25;11.48;40
1992;4;26;7.68;40
1992;4;27;7.18;40
1992;4;28;7.18;40
1992;4;29;7.18;40
1992;4;30;7.18;40
1992;5;1;7.18;40
1992;5;2;7.68;40
1992;5;3;8.44;40
1992;5;4;8.44;40
1992;5;5;8.18;40
1992;5;6;8.18;40
1992;5;7;7.92;40
1992;5;8;7.67;40
1992;5;9;7.67;40
