YYYY;MM;DD;fsca_full_watershed
2000;2;24;61.285
2000;2;25;66.675
2000;2;26;66.627
2000;2;27;66.523
2000;2;28;66.287
2000;2;29;68.156
2000;3;1;68.124
2000;3;2;68.392
2000;3;3;68.164
2000;3;4;68.433
2000;3;5;69.825
2000;3;6;68.643
2000;3;7;71.55
2000;3;8;73.565
2000;3;9;72.413
2000;3;10;72.349
2000;3;11;71.483
2000;3;12;72.132
2000;3;13;72.422
2000;3;14;71.152
2000;3;15;71.783
2000;3;16;72.422
2000;3;17;72.346
2000;3;18;72.353
2000;3;19;70.501
2000;3;20;71.996
2000;3;21;72.079
2000;3;22;71.397
2000;3;23;76.374
2000;3;24;76.333
2000;3;25;76.847
2000;3;26;79.736
2000;3;27;81.714
2000;3;28;79.781
2000;3;29;76.29
2000;3;30;76.44
2000;3;31;74.421
2000;4;1;74.118
2000;4;2;77.109
2000;4;3;72.585
2000;4;4;73.491
2000;4;5;72.566
2000;4;6;73.499
2000;4;7;75.78
2000;4;8;
2000;4;9;73.4
2000;4;10;73.236
2000;4;11;74.28
2000;4;12;74.334
2000;4;13;71.817
2000;4;14;71.951
2000;4;15;71.613
2000;4;16;71.583
2000;4;17;71.598
2000;4;18;71.638
2000;4;19;65.835
2000;4;20;65.981
2000;4;21;65.97
2000;4;22;65.876
2000;4;23;66.095
2000;4;24;66.235
2000;4;25;81.608
2000;4;26;80.215
2000;4;27;79.286
2000;4;28;79.397
2000;4;29;79.829
2000;4;30;81.427
2000;5;1;78.684
2000;5;2;75.828
2000;5;3;75.442
2000;5;4;72.892
2000;5;5;72.631
2000;5;6;60.079
2000;5;7;50.915
2000;5;8;43.334
2000;5;9;42.985
2000;5;10;40.527
2000;5;11;38.244
2000;5;12;36.759
2000;5;13;37.057
2000;5;14;36.352
2000;5;15;34.953
2000;5;16;35.018
2000;5;17;35.135
2000;5;18;34.016
2000;5;19;34.696
2000;5;20;33.052
2000;5;21;33.319
2000;5;22;34.736
2000;5;23;35.004
2000;5;24;34.782
2000;5;25;33.148
2000;5;26;36.195
2000;5;27;37.056
2000;5;28;37.777
2000;5;29;39.761
2000;5;30;39.167
2000;5;31;40.106
2000;6;1;33.694
2000;6;2;32.985
2000;6;3;32.837
2000;6;4;33.321
2000;6;5;33.122
2000;6;6;32.857
2000;6;7;32.806
2000;6;8;32.989
2000;6;9;32.847
2000;6;10;32.607
2000;6;11;32.621
2000;6;12;32.284
2000;6;13;32.598
2000;6;14;33.298
2000;6;15;31.257
2000;6;16;31.526
2000;6;17;31.093
2000;6;18;31.174
2000;6;19;30.92
2000;6;20;31.568
2000;6;21;31.983
2000;6;22;32.043
2000;6;23;31.781
2000;6;24;31.672
2000;6;25;32.188
2000;6;26;31.898
2000;6;27;31.929
2000;6;28;31.551
2000;6;29;31.425
2000;6;30;31.74
2000;7;1;31.48
2000;7;2;30.828
2000;7;3;30.692
2000;7;4;30.868
2000;7;5;31.037
2000;7;6;30.599
2000;7;7;30.086
2000;7;8;30.32
2000;7;9;30.085
2000;7;10;30.053
2000;7;11;29.674
2000;7;12;29.709
2000;7;13;29.307
2000;7;14;28.933
2000;7;15;28.4
2000;7;16;27.875
2000;7;17;27.785
2000;7;18;29.654
2000;7;19;30.213
2000;7;20;29.669
2000;7;21;29.726
2000;7;22;29.77
2000;7;23;29.426
2000;7;24;29.826
2000;7;25;29.15
2000;7;26;29.022
2000;7;27;29.11
2000;7;28;29.144
2000;7;29;28.853
2000;7;30;27.327
2000;7;31;27.384
2000;8;1;26.374
2000;8;2;26.06
2000;8;3;25.965
2000;8;4;25.781
2000;8;5;27.462
2000;8;6;
2000;8;7;
2000;8;8;
2000;8;9;
2000;8;10;
2000;8;11;
2000;8;12;
2000;8;13;
2000;8;14;
2000;8;15;
2000;8;16;
2000;8;17;
2000;8;18;28.914
2000;8;19;28.968
2000;8;20;30.04
2000;8;21;29.323
2000;8;22;30.794
