YYYY;MM;DD;fsca_full_watershed
2000;2;24;72.498
2000;2;25;72.507
2000;2;26;72.359
2000;2;27;73.177
2000;2;28;73.356
2000;2;29;73.018
2000;3;1;74.055
2000;3;2;74.078
2000;3;3;74.233
2000;3;4;74.06
2000;3;5;74.577
2000;3;6;77.54
2000;3;7;76.66
2000;3;8;76.858
2000;3;9;78.138
2000;3;10;77.041
2000;3;11;78.293
2000;3;12;71.041
2000;3;13;70.975
2000;3;14;71.116
2000;3;15;70.988
2000;3;16;59.139
2000;3;17;59.616
2000;3;18;59.695
2000;3;19;60.022
2000;3;20;59.971
2000;3;21;60.112
2000;3;22;60.842
2000;3;23;92.411
2000;3;24;92.355
2000;3;25;92.31
2000;3;26;90.022
2000;3;27;79.54
2000;3;28;80.324
2000;3;29;79.488
2000;3;30;79.493
2000;3;31;79.526
2000;4;1;79.679
2000;4;2;79.347
2000;4;3;78.768
2000;4;4;78.813
2000;4;5;78.422
2000;4;6;77.818
2000;4;7;77.974
2000;4;8;
2000;4;9;77.307
2000;4;10;78.314
2000;4;11;79.408
2000;4;12;81.372
2000;4;13;83.149
2000;4;14;83.981
2000;4;15;83.912
2000;4;16;83.923
2000;4;17;83.61
2000;4;18;84.439
2000;4;19;84.049
2000;4;20;84.038
2000;4;21;84.088
2000;4;22;83.456
2000;4;23;83.995
2000;4;24;81.593
2000;4;25;81.361
2000;4;26;80.935
2000;4;27;81.067
2000;4;28;83.121
2000;4;29;82.199
2000;4;30;86.071
2000;5;1;85.429
2000;5;2;85.301
2000;5;3;85.494
2000;5;4;84.77
2000;5;5;72.029
2000;5;6;73.477
2000;5;7;88.699
2000;5;8;88.422
2000;5;9;88.604
2000;5;10;88.502
2000;5;11;88.494
2000;5;12;87.174
2000;5;13;83.318
2000;5;14;80.355
2000;5;15;79.846
2000;5;16;79.719
2000;5;17;79.603
2000;5;18;76.403
2000;5;19;79.2
2000;5;20;74.354
2000;5;21;76.728
2000;5;22;74.305
2000;5;23;72.31
2000;5;24;72.245
2000;5;25;65.159
2000;5;26;48.983
2000;5;27;50.62
2000;5;28;52.307
2000;5;29;51.99
2000;5;30;53.076
2000;5;31;44.447
2000;6;1;46.525
2000;6;2;44.718
2000;6;3;17.965
2000;6;4;16.617
2000;6;5;15.385
2000;6;6;15.767
2000;6;7;10.771
2000;6;8;6.005
2000;6;9;9.906
2000;6;10;6.634
2000;6;11;4.556
2000;6;12;4.421
2000;6;13;5.548
2000;6;14;14.004
2000;6;15;5.859
2000;6;16;1.246
2000;6;17;0.927
2000;6;18;0.018
2000;6;19;0.0
2000;6;20;0.0
2000;6;21;0.0
2000;6;22;0.0
2000;6;23;0.0
2000;6;24;0.0
2000;6;25;0.0
2000;6;26;0.0
2000;6;27;0.0
2000;6;28;0.0
2000;6;29;0.0
2000;6;30;0.0
2000;7;1;0.0
2000;7;2;0.0
2000;7;3;0.0
2000;7;4;0.0
2000;7;5;0.0
2000;7;6;0.0
2000;7;7;0.0
2000;7;8;0.0
2000;7;9;0.0
2000;7;10;0.0
2000;7;11;0.0
2000;7;12;0.0
2000;7;13;0.0
2000;7;14;0.0
2000;7;15;0.261
2000;7;16;0.557
2000;7;17;0.333
2000;7;18;0.259
2000;7;19;0.006
2000;7;20;0.0
2000;7;21;0.0
2000;7;22;0.0
2000;7;23;0.0
2000;7;24;0.0
2000;7;25;0.0
2000;7;26;0.0
2000;7;27;0.0
2000;7;28;0.0
2000;7;29;0.0
2000;7;30;0.0
2000;7;31;0.0
2000;8;1;0.0
2000;8;2;0.0
2000;8;3;0.0
2000;8;4;0.0
2000;8;5;0.0
2000;8;6;
2000;8;7;
2000;8;8;
2000;8;9;
2000;8;10;
2000;8;11;
2000;8;12;
2000;8;13;
2000;8;14;
2000;8;15;
2000;8;16;
2000;8;17;
2000;8;18;0.0
2000;8;19;0.0
2000;8;20;0.0
2000;8;21;0.0
2000;8;22;0.0
2000;8;23;0.0
2000;8;24;0.0
2000;8;25;0.0
2000;8;26;0.0
2000;8;27;0.0
2000;8;28;0.0
2000;8;29;0.0
2000;8;30;0.0
2000;8;31;0.0
2000;9;1;0.0
2000;9;2;0.0
2000;9;3;0.0
2000;9;4;0.0
2000;9;5;0.0
2000;9;6;0.0
2000;9;7;0.0
2000;9;8;0.0
2000;9;9;0.0
2000;9;10;0.001
2000;9;11;0.012
2000;9;12;0.435
2000;9;13;0.191
2000;9;14;0.138
2000;9;15;0.132
2000;9;16;0.571
2000;9;17;0.801
2000;9;18;0.349
2000;9;19;0.292
2000;9;20;0.159
2000;9;21;2.244
2000;9;22;0.294
2000;9;23;0.845
2000;9;24;0.274
2000;9;25;0.406
2000;9;26;5.84
2000;9;27;8.417
2000;9;28;26.558
2000;9;29;32.712
2000;9;30;42.77
2000;10;1;44.045
2000;10;2;36.168
2000;10;3;42.703
2000;10;4;44.108
2000;10;5;49.72
2000;10;6;48.707
2000;10;7;40.148
2000;10;8;42.725
2000;10;9;38.104
2000;10;10;35.936
2000;10;11;39.576
2000;10;12;39.662
2000;10;13;45.437
2000;10;14;43.082
2000;10;15;56.384
2000;10;16;60.006
2000;10;17;54.083
2000;10;18;59.087
2000;10;19;52.978
2000;10;20;52.169
2000;10;21;58.469
2000;10;22;44.912
2000;10;23;38.031
2000;10;24;40.06
2000;10;25;45.999
2000;10;26;47.946
2000;10;27;49.256
2000;10;28;39.312
2000;10;29;41.553
2000;10;30;47.574
2000;10;31;46.824
2000;11;1;
2000;11;2;
