YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.003;0.157;0.0;0.284;0.019;0.0;0.432;0.058
2001;0.003;0.157;0.0;0.284;0.019;0.0;0.432;0.058
2002;0.003;0.157;0.0;0.284;0.019;0.0;0.431;0.058
2003;0.003;0.158;0.0;0.283;0.019;0.0;0.431;0.058
2004;0.003;0.158;0.0;0.283;0.019;0.0;0.431;0.058
2005;0.003;0.158;0.0;0.283;0.019;0.0;0.431;0.058
2006;0.003;0.159;0.0;0.282;0.019;0.0;0.431;0.058
2007;0.003;0.159;0.0;0.282;0.019;0.0;0.431;0.058
2008;0.003;0.16;0.0;0.281;0.019;0.0;0.431;0.058
2009;0.003;0.16;0.0;0.28;0.019;0.0;0.431;0.058
2010;0.003;0.161;0.0;0.279;0.019;0.0;0.431;0.058
2011;0.003;0.161;0.0;0.279;0.019;0.0;0.431;0.058
2012;0.003;0.161;0.0;0.278;0.019;0.0;0.431;0.058
2013;0.003;0.162;0.0;0.277;0.019;0.0;0.431;0.058
2014;0.003;0.162;0.0;0.277;0.019;0.0;0.431;0.058
2015;0.003;0.162;0.0;0.277;0.019;0.0;0.431;0.058
2016;0.003;0.163;0.0;0.276;0.019;0.0;0.431;0.058
2017;0.003;0.163;0.0;0.276;0.019;0.0;0.431;0.058
2018;0.003;0.163;0.0;0.275;0.019;0.0;0.431;0.058
