YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.322;0.0;0.58;0.055;0.0;0.002;0.0
2001;0.0;0.327;0.0;0.575;0.054;0.0;0.002;0.0
2002;0.0;0.331;0.0;0.571;0.054;0.0;0.002;0.0
2003;0.0;0.335;0.0;0.566;0.054;0.0;0.002;0.0
2004;0.0;0.34;0.0;0.562;0.054;0.0;0.002;0.0
2005;0.0;0.344;0.0;0.557;0.053;0.0;0.002;0.0
2006;0.0;0.348;0.0;0.553;0.053;0.0;0.002;0.0
2007;0.0;0.35;0.0;0.551;0.053;0.0;0.002;0.0
2008;0.0;0.352;0.0;0.549;0.053;0.0;0.002;0.0
2009;0.0;0.354;0.0;0.547;0.053;0.0;0.002;0.0
2010;0.0;0.356;0.0;0.545;0.053;0.0;0.002;0.0
2011;0.0;0.358;0.0;0.543;0.053;0.0;0.002;0.0
2012;0.0;0.36;0.0;0.541;0.053;0.0;0.002;0.0
2013;0.0;0.363;0.0;0.539;0.053;0.0;0.002;0.0
2014;0.0;0.365;0.0;0.537;0.053;0.0;0.002;0.0
2015;0.0;0.367;0.0;0.535;0.053;0.0;0.002;0.0
2016;0.0;0.369;0.0;0.533;0.053;0.0;0.002;0.0
2017;0.0;0.371;0.0;0.531;0.053;0.0;0.002;0.0
2018;0.0;0.373;0.0;0.528;0.053;0.0;0.002;0.0
