YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.058;0.312;0.028;0.0;0.0;0.0;0.451;0.144
2001;0.059;0.312;0.03;0.0;0.0;0.0;0.447;0.144
2002;0.061;0.312;0.032;0.0;0.0;0.0;0.443;0.143
2003;0.062;0.312;0.034;0.0;0.0;0.0;0.439;0.143
2004;0.063;0.312;0.036;0.0;0.0;0.0;0.436;0.143
2005;0.064;0.312;0.038;0.0;0.0;0.0;0.432;0.143
2006;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2007;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2008;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2009;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2010;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2011;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2012;0.065;0.312;0.04;0.0;0.0;0.0;0.428;0.143
2013;0.066;0.297;0.04;0.0;0.0;0.0;0.443;0.142
2014;0.066;0.282;0.04;0.0;0.0;0.0;0.457;0.142
2015;0.066;0.268;0.04;0.0;0.0;0.0;0.472;0.142
2016;0.066;0.253;0.041;0.0;0.0;0.0;0.486;0.141
2017;0.067;0.238;0.041;0.0;0.0;0.0;0.501;0.141
2018;0.067;0.223;0.041;0.0;0.0;0.0;0.515;0.141
