YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.086;0.069;0.0;0.0;0.0;0.0;0.713;0.055
2001;0.086;0.074;0.0;0.0;0.0;0.0;0.708;0.055
2002;0.086;0.079;0.0;0.0;0.0;0.0;0.703;0.055
2003;0.086;0.084;0.0;0.0;0.0;0.0;0.698;0.055
2004;0.086;0.089;0.0;0.0;0.0;0.0;0.693;0.055
2005;0.086;0.094;0.0;0.0;0.0;0.0;0.688;0.055
2006;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2007;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2008;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2009;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2010;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2011;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2012;0.086;0.099;0.0;0.0;0.0;0.0;0.683;0.055
2013;0.086;0.099;0.0;0.0;0.0;0.0;0.684;0.055
2014;0.086;0.099;0.0;0.0;0.0;0.0;0.685;0.055
2015;0.086;0.099;0.0;0.0;0.0;0.0;0.685;0.055
2016;0.086;0.099;0.0;0.0;0.0;0.0;0.686;0.055
2017;0.086;0.099;0.0;0.0;0.0;0.0;0.687;0.055
2018;0.086;0.099;0.0;0.0;0.0;0.0;0.688;0.055
