YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.036;0.591;0.002;0.09;0.0;0.001;0.274;0.005
2001;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2002;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2003;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2004;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2005;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2006;0.036;0.591;0.002;0.089;0.0;0.001;0.274;0.005
2007;0.036;0.592;0.002;0.089;0.0;0.001;0.274;0.005
2008;0.036;0.592;0.002;0.089;0.0;0.001;0.274;0.005
2009;0.036;0.592;0.002;0.089;0.0;0.001;0.274;0.005
2010;0.036;0.592;0.002;0.089;0.0;0.001;0.274;0.005
2011;0.036;0.592;0.002;0.088;0.0;0.001;0.274;0.005
2012;0.036;0.593;0.002;0.088;0.0;0.001;0.274;0.005
2013;0.036;0.595;0.002;0.086;0.0;0.001;0.273;0.005
2014;0.036;0.598;0.002;0.083;0.0;0.001;0.273;0.005
2015;0.036;0.6;0.002;0.08;0.0;0.001;0.273;0.005
2016;0.037;0.603;0.002;0.078;0.0;0.001;0.273;0.005
2017;0.037;0.605;0.002;0.075;0.0;0.001;0.273;0.005
2018;0.037;0.608;0.002;0.073;0.0;0.001;0.272;0.005
