YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.268;0.0;0.454;0.001;0.0;0.139;0.079
2001;0.0;0.274;0.0;0.452;0.001;0.0;0.139;0.075
2002;0.0;0.279;0.0;0.449;0.001;0.0;0.139;0.071
2003;0.0;0.285;0.0;0.446;0.001;0.0;0.139;0.067
2004;0.0;0.291;0.0;0.444;0.001;0.0;0.139;0.063
2005;0.0;0.296;0.0;0.441;0.001;0.0;0.139;0.059
2006;0.0;0.302;0.0;0.438;0.001;0.0;0.139;0.055
2007;0.0;0.304;0.0;0.436;0.001;0.0;0.139;0.055
2008;0.0;0.307;0.0;0.434;0.001;0.0;0.139;0.055
2009;0.0;0.309;0.0;0.431;0.001;0.0;0.139;0.055
2010;0.0;0.311;0.0;0.429;0.001;0.0;0.139;0.055
2011;0.0;0.313;0.0;0.426;0.001;0.0;0.139;0.055
2012;0.0;0.316;0.0;0.424;0.001;0.0;0.139;0.055
2013;0.0;0.317;0.0;0.422;0.001;0.0;0.139;0.055
2014;0.0;0.318;0.0;0.42;0.001;0.0;0.139;0.055
2015;0.0;0.32;0.0;0.418;0.002;0.0;0.139;0.055
2016;0.0;0.321;0.0;0.416;0.002;0.0;0.139;0.055
2017;0.0;0.322;0.0;0.414;0.002;0.0;0.139;0.055
2018;0.0;0.324;0.0;0.412;0.002;0.0;0.139;0.055
