YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.141;0.0;0.749;0.001;0.0;0.09;0.013
2001;0.0;0.143;0.0;0.747;0.001;0.0;0.09;0.013
2002;0.0;0.145;0.0;0.745;0.001;0.0;0.09;0.013
2003;0.0;0.146;0.0;0.743;0.001;0.0;0.09;0.013
2004;0.0;0.148;0.0;0.741;0.001;0.0;0.09;0.013
2005;0.0;0.149;0.0;0.738;0.001;0.0;0.09;0.013
2006;0.0;0.151;0.0;0.736;0.001;0.0;0.09;0.013
2007;0.0;0.15;0.0;0.735;0.007;0.0;0.087;0.013
2008;0.0;0.148;0.0;0.733;0.013;0.0;0.084;0.013
2009;0.0;0.146;0.0;0.731;0.02;0.0;0.081;0.013
2010;0.0;0.145;0.0;0.73;0.026;0.0;0.079;0.013
2011;0.0;0.143;0.0;0.728;0.032;0.0;0.076;0.013
2012;0.0;0.142;0.0;0.727;0.038;0.0;0.073;0.013
2013;0.0;0.143;0.0;0.725;0.038;0.0;0.073;0.013
2014;0.0;0.145;0.0;0.723;0.038;0.0;0.073;0.013
2015;0.0;0.146;0.0;0.721;0.038;0.0;0.073;0.013
2016;0.0;0.148;0.0;0.72;0.038;0.0;0.073;0.013
2017;0.0;0.15;0.0;0.718;0.038;0.0;0.073;0.013
2018;0.0;0.151;0.0;0.716;0.038;0.0;0.073;0.013
