YYYY;MM;DD;qobs;qc_flag
1952;3;30;59.58;40.0
1952;3;31;59.58;40.0
1952;4;1;58.91;40.0
1952;4;2;58.24;40.0
1952;4;3;58.24;40.0
1952;4;4;58.24;40.0
1952;4;5;58.24;40.0
1952;4;6;58.24;40.0
1952;4;7;58.24;40.0
1952;4;8;57.58;40.0
1952;4;9;56.92;40.0
1952;4;10;56.92;40.0
1952;4;11;56.92;40.0
1952;4;12;56.92;40.0
1952;4;13;56.27;40.0
1952;4;14;56.27;40.0
1952;4;15;56.27;40.0
1952;4;16;56.27;40.0
1952;4;17;69.99;40.0
1952;4;18;85.8;40.0
1952;4;19;97.13;40.0
1952;4;20;109.94;40.0
1952;4;21;102.17;40.0
1952;4;22;94.65;40.0
1952;4;23;87.38;40.0
1952;4;24;87.38;40.0
1952;4;25;104.73;40.0
1952;4;26;123.44;40.0
1952;4;27;142.51;40.0
1952;4;28;135.7;40.0
1952;4;29;129.04;40.0
1952;4;30;123.44;40.0
1952;5;1;117.96;40.0
1952;5;2;112.58;40.0
1952;5;3;107.32;40.0
1952;5;4;102.17;40.0
1952;5;5;97.96;40.0
1952;5;6;93.83;40.0
1952;5;7;88.98;40.0
1952;5;8;95.47;40.0
1952;5;9;102.17;40.0
1952;5;10;109.94;40.0
1952;5;11;132.83;40.0
1952;5;12;132.83;40.0
1952;5;13;128.1;40.0
1952;5;14;132.83;40.0
1952;5;15;142.51;40.0
1952;5;16;191.25;40.0
1952;5;17;329.67;40.0
1952;5;18;493.92;40.0
1952;5;19;452.17;40.0
1952;5;20;411.95;40.0
1952;5;21;373.3;40.0
1952;5;22;339.53;40.0
1952;5;23;307.11;40.0
1952;5;24;276.04;40.0
1952;5;25;246.36;40.0
1952;5;26;188.65;40.0
1952;5;27;164.87;40.0
1952;5;28;142.51;40.0
1952;5;29;142.51;40.0
1952;5;30;142.51;40.0
1952;5;31;142.51;40.0
1952;6;1;142.51;40.0
1952;6;2;135.7;40.0
1952;6;3;129.04;40.0
1952;6;4;122.52;40.0
1952;6;5;123.44;40.0
1952;6;6;128.1;40.0
1952;6;7;138.6;40.0
1952;6;8;137.63;40.0
1952;6;9;141.53;40.0
1952;6;10;145.48;40.0
1952;6;11;149.47;40.0
1952;6;12;145.48;40.0
1952;6;13;142.51;40.0
1952;6;14;132.83;40.0
1952;6;15;123.44;40.0
1952;6;16;120.69;40.0
1952;6;17;117.96;40.0
1952;6;18;117.96;40.0
1952;6;19;112.58;40.0
1952;6;20;109.94;40.0
1952;6;21;107.32;40.0
1952;6;22;105.59;40.0
1952;6;23;105.59;40.0
1952;6;24;105.59;40.0
1952;6;25;105.59;40.0
1952;6;26;107.32;40.0
1952;6;27;109.06;40.0
1952;6;28;111.7;40.0
1952;6;29;114.36;40.0
1952;6;30;112.58;40.0
1952;7;1;110.82;40.0
1952;7;2;109.94;40.0
1952;7;3;109.06;40.0
1952;7;4;108.19;40.0
1952;7;5;107.32;40.0
1952;7;6;106.45;40.0
1952;7;7;109.94;40.0
1952;7;8;114.36;40.0
1952;7;9;118.86;40.0
1952;7;10;118.86;40.0
1952;7;11;118.86;40.0
1952;7;12;118.86;40.0
1952;7;13;118.86;40.0
1952;7;14;118.86;40.0
1952;7;15;118.86;40.0
1952;7;16;117.96;40.0
1952;7;17;117.96;40.0
1952;7;18;117.05;40.0
1952;7;19;117.05;40.0
1952;7;20;116.15;40.0
1952;7;21;116.15;40.0
1952;7;22;115.26;40.0
1952;7;23;114.36;40.0
1952;7;24;119.77;40.0
1952;7;25;125.29;40.0
1952;7;26;130.92;40.0
1952;7;27;137.63;40.0
1952;7;28;138.6;40.0
1952;7;29;140.55;40.0
1952;7;30;142.51;40.0
1952;7;31;143.5;40.0
1952;8;1;144.48;40.0
1952;8;2;144.48;40.0
1952;8;3;145.48;40.0
1952;8;4;145.48;40.0
1952;8;5;146.47;40.0
1952;8;6;147.47;40.0
1952;8;7;148.47;40.0
1952;8;8;149.47;40.0
1952;8;9;150.48;40.0
1952;8;10;152.5;40.0
1952;8;11;151.48;40.0
1952;8;12;149.47;40.0
1952;8;13;148.47;40.0
1952;8;14;144.48;40.0
1952;8;15;140.55;40.0
1952;8;16;137.63;40.0
1952;8;17;134.74;40.0
1952;8;18;130.92;40.0
1952;8;19;127.16;40.0
1952;8;20;123.44;40.0
1952;8;21;129.04;40.0
1952;8;22;134.74;40.0
1952;8;23;140.55;40.0
1952;8;24;146.47;40.0
1952;8;25;143.5;40.0
1952;8;26;140.55;40.0
1952;8;27;137.63;40.0
1952;8;28;131.87;40.0
1952;8;29;126.23;40.0
1952;8;30;120.69;40.0
1952;8;31;114.36;40.0
1952;9;1;110.82;40.0
1952;9;2;107.32;40.0
1952;9;3;103.87;40.0
1952;9;4;103.87;40.0
1952;9;5;103.02;40.0
1952;9;6;103.02;40.0
1952;9;7;102.17;40.0
1952;9;8;103.87;40.0
1952;9;9;104.73;40.0
1952;9;10;105.59;40.0
1952;9;11;105.59;40.0
1952;9;12;104.73;40.0
1952;9;13;104.73;40.0
1952;9;14;103.87;40.0
1952;9;15;107.32;40.0
1952;9;16;110.82;40.0
1952;9;17;114.36;40.0
1952;9;18;114.36;40.0
1952;9;19;114.36;40.0
1952;9;20;113.47;40.0
1952;9;21;112.58;40.0
1952;9;22;109.06;40.0
1952;9;23;105.59;40.0
1952;9;24;102.17;40.0
1952;9;25;98.79;40.0
1952;9;26;95.47;40.0
1952;9;27;92.2;40.0
1952;9;28;88.98;40.0
1952;9;29;81.91;40.0
1952;9;30;75.11;40.0
1952;10;1;67.85;40.0
1952;10;2;65.74;40.0
1952;10;3;63.65;40.0
1952;10;4;60.92;40.0
1952;10;5;58.24;40.0
1952;10;6;56.92;40.0
1952;10;7;55.62;40.0
1952;10;8;54.32;40.0
1952;10;9;56.27;40.0
1952;10;10;59.58;40.0
1952;10;11;69.99;40.0
1952;10;12;118.86;40.0
1952;10;13;118.86;40.0
1952;10;14;119.77;40.0
1952;10;15;120.69;40.0
1952;10;16;120.69;40.0
1952;10;17;120.69;40.0
1952;10;18;120.69;40.0
1952;10;19;121.6;40.0
1952;10;20;121.6;40.0
1952;10;21;121.6;40.0
1952;10;22;117.96;40.0
1952;10;23;117.05;40.0
1952;10;24;116.15;40.0
1952;10;25;115.26;40.0
1952;10;26;114.36;40.0
1952;10;27;113.47;40.0
1952;10;28;112.58;40.0
1952;10;29;110.82;40.0
1952;10;30;110.82;40.0
1952;10;31;109.94;40.0
1952;11;1;109.94;40.0
1952;11;2;109.06;40.0
1952;11;3;103.87;40.0
1952;11;4;97.96;40.0
1952;11;5;92.2;40.0
1952;11;6;89.78;40.0
1952;11;7;87.38;40.0
1952;11;8;84.24;40.0
1952;11;9;81.14;40.0
1952;11;10;81.14;40.0
1952;11;11;80.38;40.0
1952;11;12;79.61;40.0
1952;11;13;78.85;40.0
1952;11;14;78.1;40.0
1952;11;15;77.35;40.0
1952;11;16;75.85;40.0
1952;11;17;74.37;40.0
1952;11;18;72.89;40.0
1952;11;19;72.16;40.0
1952;11;20;72.16;40.0
1952;11;21;71.44;40.0
1952;11;22;71.44;40.0
1952;11;23;70.71;40.0
1952;11;24;68.56;40.0
1952;11;25;66.44;40.0
1952;11;26;65.04;40.0
1952;11;27;62.97;40.0
