YYYY;MM;DD;fsca_full_watershed;fsca_outside_glaciers;glacier_albedo
2000;2;24;61.773;61.581;38.262
2000;2;25;68.015;68.713;63.536
2000;2;26;68.031;68.723;63.546
2000;2;27;68.261;69.141;65.742
2000;2;28;67.861;68.418;65.847
2000;2;29;71.139;73.267;63.726
2000;3;1;70.794;72.801;71.42
2000;3;2;71.182;73.286;69.385
2000;3;3;70.428;72.106;68.89
2000;3;4;70.536;72.244;69.416
2000;3;5;72.224;74.838;71.183
2000;3;6;70.412;72.483;80.667
2000;3;7;71.914;73.631;82.769
2000;3;8;73.069;75.49;82.784
2000;3;9;73.737;76.532;82.759
2000;3;10;73.602;76.312;82.515
2000;3;11;72.693;74.063;79.147
2000;3;12;71.987;72.91;81.776
2000;3;13;72.97;74.584;81.171
2000;3;14;71.731;73.186;80.056
2000;3;15;73.066;74.527;80.607
2000;3;16;73.795;75.374;82.662
2000;3;17;73.126;74.437;82.953
2000;3;18;73.506;75.027;81.603
2000;3;19;72.439;73.721;80.417
2000;3;20;73.687;74.987;80.741
2000;3;21;73.658;74.949;82.681
2000;3;22;72.779;73.907;81.76
2000;3;23;75.925;77.204;81.725
2000;3;24;75.988;77.235;81.878
2000;3;25;76.889;77.866;80.414
2000;3;26;79.337;77.618;80.207
2000;3;27;81.598;79.436;77.411
2000;3;28;82.836;80.946;80.2
2000;3;29;79.98;77.454;78.447
2000;3;30;79.585;76.763;78.932
2000;3;31;78.753;76.341;79.316
2000;4;1;79.498;77.331;79.969
2000;4;2;80.245;80.887;81.509
2000;4;3;77.495;77.552;80.559
2000;4;4;77.764;77.982;81.791
2000;4;5;77.523;77.888;81.222
2000;4;6;77.962;78.249;81.72
2000;4;7;80.237;81.737;82.279
2000;4;8;;;
2000;4;9;77.781;78.79;82.15
2000;4;10;77.829;79.379;82.221
2000;4;11;77.594;78.544;82.941
2000;4;12;77.623;78.58;82.928
2000;4;13;70.039;68.23;83.678
2000;4;14;70.461;68.301;82.46
2000;4;15;69.625;68.073;83.143
2000;4;16;69.752;68.341;83.22
2000;4;17;70.03;68.596;84.674
2000;4;18;70.141;68.798;84.65
2000;4;19;66.981;65.531;77.632
2000;4;20;67.029;65.538;78.569
2000;4;21;67.106;65.617;79.049
2000;4;22;66.762;64.755;79.395
2000;4;23;66.814;64.847;79.034
2000;4;24;67.065;65.229;79.959
2000;4;25;76.563;77.831;80.146
2000;4;26;76.312;77.659;77.993
2000;4;27;76.405;76.589;77.574
2000;4;28;77.382;76.949;76.486
2000;4;29;77.022;75.734;76.198
2000;4;30;77.822;76.698;76.478
2000;5;1;74.167;71.395;76.397
2000;5;2;73.962;70.339;76.329
2000;5;3;69.892;62.353;74.944
2000;5;4;66.689;57.411;75.394
2000;5;5;66.613;57.448;75.453
2000;5;6;55.904;38.612;71.751
2000;5;7;53.984;32.367;68.879
2000;5;8;52.251;27.615;65.813
2000;5;9;51.682;26.894;65.444
2000;5;10;50.83;25.18;64.597
2000;5;11;48.941;22.28;64.279
2000;5;12;47.476;19.364;63.366
2000;5;13;47.099;18.34;63.367
2000;5;14;45.633;17.099;64.336
2000;5;15;43.734;14.959;65.026
2000;5;16;43.102;14.183;64.941
2000;5;17;41.181;13.156;66.071
2000;5;18;38.836;12.078;68.324
2000;5;19;36.779;12.166;71.004
2000;5;20;36.652;11.018;71.078
2000;5;21;36.12;10.469;70.663
2000;5;22;36.277;11.426;71.772
2000;5;23;36.361;11.368;71.731
2000;5;24;35.966;11.135;72.332
2000;5;25;35.102;8.59;71.434
2000;5;26;33.725;8.299;74.423
2000;5;27;33.495;8.011;74.89
2000;5;28;33.625;7.915;78.201
2000;5;29;33.72;7.823;77.383
2000;5;30;34.265;7.676;75.11
2000;5;31;33.449;7.22;77.98
2000;6;1;33.629;6.164;74.873
2000;6;2;33.492;5.517;74.78
2000;6;3;33.909;4.844;71.529
2000;6;4;34.087;4.871;71.046
2000;6;5;33.989;4.836;71.46
2000;6;6;33.996;3.937;70.235
2000;6;7;34.223;3.904;69.617
2000;6;8;35.145;3.754;66.027
2000;6;9;34.982;3.846;66.293
2000;6;10;34.066;3.453;67.741
2000;6;11;33.633;3.025;67.314
2000;6;12;34.004;3.13;66.29
2000;6;13;33.753;3.428;65.565
2000;6;14;32.851;4.414;67.221
2000;6;15;31.968;2.988;66.791
2000;6;16;32.08;3.286;65.687
2000;6;17;32.122;3.267;65.417
2000;6;18;32.896;2.57;65.631
2000;6;19;33.083;2.176;64.834
2000;6;20;34.054;2.181;62.83
2000;6;21;36.907;2.073;59.287
2000;6;22;36.901;2.08;59.297
2000;6;23;36.401;2.128;60.242
2000;6;24;36.826;1.907;58.619
2000;6;25;37.305;1.89;57.948
2000;6;26;37.292;1.821;54.118
2000;6;27;37.15;1.756;52.582
2000;6;28;37.054;1.744;51.74
2000;6;29;36.902;1.688;50.705
2000;6;30;36.99;1.677;49.769
2000;7;1;36.657;1.599;49.09
2000;7;2;36.108;1.514;48.687
2000;7;3;36.243;1.564;48.715
2000;7;4;36.264;1.52;48.239
2000;7;5;36.156;1.551;47.651
2000;7;6;36.003;1.535;47.521
2000;7;7;35.714;1.527;47.222
2000;7;8;35.808;1.565;47.197
2000;7;9;35.905;1.652;45.971
2000;7;10;35.933;1.613;45.611
2000;7;11;35.872;1.608;46.262
2000;7;12;36.128;1.925;45.762
2000;7;13;35.934;1.599;45.887
2000;7;14;35.633;1.527;44.361
2000;7;15;35.19;1.671;43.448
2000;7;16;35.137;1.896;43.84
2000;7;17;35.237;1.897;43.414
2000;7;18;35.113;1.594;43.333
2000;7;19;35.519;1.593;42.003
2000;7;20;35.169;1.574;42.409
2000;7;21;34.69;1.584;42.477
2000;7;22;34.708;1.596;42.473
2000;7;23;34.208;1.594;42.217
2000;7;24;34.57;1.576;41.55
2000;7;25;34.057;1.631;42.522
2000;7;26;34.021;1.589;43.161
2000;7;27;34.328;1.509;42.188
2000;7;28;34.323;1.501;42.013
2000;7;29;34.667;1.459;42.827
2000;7;30;33.966;1.286;43.08
2000;7;31;34.657;1.27;42.188
2000;8;1;34.506;1.18;40.597
2000;8;2;34.451;1.127;41.065
2000;8;3;34.427;1.153;41.062
2000;8;4;34.374;1.121;40.914
2000;8;5;35.206;1.272;41.47
2000;8;6;;;
2000;8;7;;;
2000;8;8;;;
2000;8;9;;;
2000;8;10;;;
2000;8;11;;;
2000;8;12;;;
2000;8;13;;;
2000;8;14;;;
2000;8;15;;;
2000;8;16;;;
2000;8;17;;;
2000;8;18;35.564;1.39;50.525
2000;8;19;35.558;1.381;50.523
2000;8;20;35.866;1.597;50.109
2000;8;21;35.514;1.597;46.558
2000;8;22;35.622;1.546;40.796
2000;8;23;35.52;1.7;41.962
2000;8;24;35.742;1.743;43.182
2000;8;25;35.702;1.732;42.937
2000;8;26;35.43;1.728;41.349
2000;8;27;35.836;1.714;40.879
2000;8;28;35.937;1.757;43.064
2000;8;29;35.868;1.762;42.671
2000;8;30;35.877;1.73;42.657
