YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.033;0.329;0.003;0.119;0.029;0.002;0.394;0.065
2001;0.033;0.329;0.003;0.118;0.029;0.002;0.394;0.064
2002;0.033;0.33;0.004;0.118;0.029;0.002;0.393;0.064
2003;0.033;0.33;0.004;0.118;0.029;0.002;0.392;0.064
2004;0.033;0.33;0.004;0.118;0.029;0.002;0.392;0.064
2005;0.033;0.33;0.004;0.117;0.029;0.002;0.391;0.064
2006;0.033;0.33;0.004;0.117;0.029;0.002;0.39;0.064
2007;0.034;0.331;0.004;0.116;0.029;0.002;0.39;0.064
2008;0.034;0.332;0.004;0.116;0.029;0.002;0.39;0.064
2009;0.034;0.332;0.004;0.115;0.029;0.002;0.39;0.064
2010;0.034;0.333;0.004;0.114;0.029;0.002;0.39;0.064
2011;0.034;0.334;0.004;0.114;0.029;0.002;0.39;0.064
2012;0.034;0.334;0.004;0.113;0.029;0.002;0.39;0.064
2013;0.034;0.334;0.006;0.112;0.029;0.002;0.389;0.064
2014;0.034;0.334;0.008;0.112;0.029;0.002;0.388;0.064
2015;0.034;0.334;0.009;0.111;0.029;0.002;0.387;0.064
2016;0.034;0.334;0.011;0.111;0.029;0.002;0.386;0.063
2017;0.034;0.334;0.012;0.11;0.029;0.002;0.385;0.063
2018;0.034;0.334;0.014;0.11;0.029;0.002;0.385;0.063
