YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.124;0.044;0.0;0.0;0.0;0.003;0.794;0.03
2001;0.125;0.044;0.0;0.0;0.0;0.003;0.793;0.03
2002;0.127;0.044;0.0;0.0;0.0;0.003;0.792;0.03
2003;0.128;0.044;0.0;0.0;0.0;0.003;0.791;0.03
2004;0.129;0.044;0.0;0.0;0.0;0.003;0.789;0.029
2005;0.13;0.044;0.0;0.0;0.0;0.003;0.788;0.029
2006;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2007;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2008;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2009;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2010;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2011;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2012;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2013;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2014;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2015;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2016;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2017;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
2018;0.131;0.044;0.0;0.0;0.0;0.003;0.787;0.029
