YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.81;0.0;0.098;0.005;0.0;0.034;0.018
2001;0.0;0.81;0.0;0.097;0.005;0.0;0.034;0.018
2002;0.0;0.81;0.0;0.097;0.005;0.0;0.034;0.018
2003;0.0;0.811;0.0;0.097;0.005;0.0;0.034;0.018
2004;0.0;0.811;0.0;0.097;0.005;0.0;0.034;0.018
2005;0.0;0.811;0.0;0.096;0.005;0.0;0.034;0.018
2006;0.0;0.811;0.0;0.096;0.005;0.0;0.034;0.018
2007;0.0;0.812;0.0;0.096;0.005;0.0;0.034;0.018
2008;0.0;0.812;0.0;0.095;0.005;0.0;0.034;0.018
2009;0.0;0.813;0.0;0.094;0.005;0.0;0.034;0.018
2010;0.0;0.813;0.0;0.094;0.005;0.0;0.034;0.018
2011;0.0;0.814;0.0;0.093;0.005;0.0;0.034;0.018
2012;0.0;0.815;0.0;0.092;0.005;0.0;0.034;0.018
2013;0.0;0.815;0.0;0.092;0.005;0.0;0.034;0.018
2014;0.0;0.815;0.0;0.092;0.005;0.0;0.034;0.018
2015;0.0;0.816;0.0;0.092;0.005;0.0;0.034;0.018
2016;0.0;0.816;0.0;0.091;0.005;0.0;0.034;0.018
2017;0.0;0.816;0.0;0.091;0.005;0.0;0.034;0.018
2018;0.0;0.816;0.0;0.091;0.005;0.0;0.034;0.018
