YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.001;0.43;0.0;0.0;0.005;0.0;0.528;0.031
2001;0.001;0.43;0.0;0.0;0.005;0.0;0.528;0.031
2002;0.001;0.429;0.0;0.0;0.005;0.0;0.529;0.031
2003;0.001;0.428;0.0;0.0;0.005;0.0;0.53;0.031
2004;0.001;0.427;0.0;0.0;0.005;0.0;0.531;0.031
2005;0.001;0.426;0.0;0.0;0.005;0.0;0.531;0.031
2006;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2007;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2008;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2009;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2010;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2011;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2012;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2013;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2014;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2015;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2016;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2017;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
2018;0.001;0.426;0.0;0.0;0.005;0.0;0.532;0.031
