YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.002;0.19;0.001;0.244;0.006;0.0;0.416;0.109
2001;0.002;0.193;0.001;0.243;0.006;0.0;0.416;0.107
2002;0.002;0.196;0.001;0.241;0.006;0.0;0.416;0.105
2003;0.002;0.199;0.001;0.24;0.006;0.0;0.416;0.103
2004;0.002;0.202;0.001;0.238;0.006;0.0;0.416;0.1
2005;0.002;0.205;0.001;0.237;0.006;0.0;0.416;0.098
2006;0.002;0.208;0.001;0.236;0.006;0.0;0.416;0.096
2007;0.002;0.209;0.001;0.234;0.006;0.0;0.416;0.096
2008;0.002;0.211;0.001;0.233;0.006;0.0;0.416;0.096
2009;0.002;0.212;0.001;0.232;0.007;0.0;0.416;0.096
2010;0.002;0.213;0.001;0.23;0.007;0.0;0.415;0.095
2011;0.002;0.215;0.001;0.229;0.008;0.0;0.415;0.095
2012;0.002;0.216;0.001;0.228;0.008;0.0;0.415;0.095
2013;0.002;0.216;0.001;0.227;0.008;0.0;0.415;0.095
2014;0.002;0.217;0.001;0.226;0.008;0.0;0.415;0.095
2015;0.002;0.218;0.001;0.225;0.008;0.0;0.415;0.095
2016;0.002;0.218;0.001;0.224;0.008;0.0;0.415;0.095
2017;0.002;0.219;0.001;0.223;0.009;0.0;0.415;0.095
2018;0.002;0.22;0.001;0.221;0.009;0.0;0.415;0.095
