YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.638;0.0;0.121;0.032;0.0;0.112;0.0
2001;0.0;0.633;0.0;0.12;0.032;0.0;0.112;0.0
2002;0.0;0.629;0.0;0.12;0.032;0.0;0.112;0.0
2003;0.0;0.624;0.0;0.119;0.032;0.0;0.112;0.0
2004;0.0;0.62;0.0;0.119;0.032;0.0;0.112;0.0
2005;0.0;0.615;0.0;0.118;0.032;0.0;0.112;0.0
2006;0.0;0.611;0.0;0.118;0.032;0.0;0.111;0.001
2007;0.0;0.612;0.0;0.116;0.032;0.0;0.111;0.001
2008;0.0;0.612;0.0;0.115;0.032;0.0;0.111;0.001
2009;0.0;0.613;0.0;0.113;0.032;0.0;0.111;0.001
2010;0.0;0.614;0.0;0.112;0.032;0.0;0.111;0.001
2011;0.0;0.615;0.0;0.111;0.032;0.0;0.111;0.001
2012;0.0;0.615;0.0;0.109;0.032;0.0;0.111;0.001
2013;0.0;0.615;0.0;0.108;0.032;0.0;0.111;0.001
2014;0.0;0.615;0.0;0.107;0.032;0.0;0.111;0.001
2015;0.0;0.616;0.0;0.106;0.032;0.0;0.111;0.001
2016;0.0;0.616;0.0;0.105;0.032;0.0;0.111;0.001
2017;0.0;0.616;0.0;0.104;0.032;0.0;0.111;0.001
2018;0.0;0.616;0.0;0.104;0.032;0.0;0.111;0.001
