,P_ERA5L_1991,ET_ERA5L_1991,PET_ERA5L_1991,P_ravII_1991,ET_ravII_1991,PET_ravII_1991,P_carra_1991
1,3.8450588116000812,0.7090073007503549,1.4193621983370517,4.240747846449301,0.6534455485702748,0.589589316900824,4.47810793357652
2,2.9742161833299536,0.3108669641046441,0.4881514905698642,3.731753289225262,0.357019874264857,0.5324258466202677,3.9059696342396046
3,2.90169032650578,0.35588318799432167,0.533085581018049,3.1369463448389854,0.35709592374771976,0.5169580665100026,3.317524754090478
4,3.0624467653619956,0.23342425471506792,0.36661529101602114,4.652777143386858,0.35649361184344197,0.5310369162106205,4.917445815501518
5,3.168922125329548,0.37900628675725,0.6329628878523624,2.735428659607278,0.47735145001014395,0.5264512496481945,2.596514870006505
6,3.045226120462381,0.39924457513688905,0.6381748124112756,3.400599060752947,0.47402048266071867,0.5784212506028605,3.419812951905723
7,3.000855810180491,0.4171912390995741,0.6859501115392416,3.2446365541564615,0.48571587913202424,0.5886446714412995,3.253792209614393
8,5.142153721354695,0.787092881768404,3.372024944230379,4.948596673950393,0.6935023321841436,0.549683747618197,5.6997785136994485
9,3.3085124721151895,0.311006895153113,0.47825491786655855,3.6436653463514985,0.39626749138106404,0.6236822979779424,3.9435855927046184
10,3.9910444128979923,0.5930369093490165,0.9193064287162848,4.5569080568145734,0.3146816061650796,0.35906902766586757,4.729174063238455
11,6.102174001216791,0.3670107483269114,0.8092810788886635,7.217918858377087,0.5898519570066951,0.5251790659670411,8.602793987833007
12,3.9784840803082537,0.4865078077469073,0.7388957615088217,5.852545354878572,0.3784070168322887,0.40335260786306537,5.620450317562511
13,4.270868992090853,0.9559856012979112,3.202902048266072,5.812850533749004,0.6401328330967399,0.5352399355185522,5.853968382342875
14,5.249289190833502,0.5851105252484283,1.1240083147434599,5.667514586692752,0.5287913202190256,0.4805920842310522,5.399770694997582
15,4.178971810991686,0.326344554857027,0.4639586290813222,5.644999043486986,0.4199513283309706,0.4260835445881876,4.920856496999396
16,3.847352464003245,0.44684141147840195,0.682966943824782,5.765246346922539,0.4129588318799483,0.45217540929625893,5.878613645145281
17,3.6161802879740423,0.4454573108902859,0.7462816872845265,6.435105457308584,0.2605120665179494,0.27959058605825726,6.630728302433225
18,3.035040559724194,0.3974031636584871,0.5894068140336646,2.950716485537918,0.43335124721152357,0.5981392025077132,3.104316237535469
19,3.9956955992699252,0.6315899411884,0.9868718312715472,4.439934377101449,0.4607959845873095,0.4063935291538291,5.009359987519103
20,4.014358142364633,0.6397860474548773,0.9967177043196107,4.177367671695391,0.525967349422026,0.4655924103040144,4.598252308560744
21,4.61003954573109,0.42153417156763334,0.6581677144595417,5.970108060964692,0.4672368687892953,0.4548963798965958,6.788278822931311
22,2.669292232812817,0.6449827621172176,1.537642466031231,2.208868262904442,0.6429405800040597,0.6692321266348467,2.2314355563885
23,6.305477590752383,0.931323261001825,4.343615899411883,6.8093160613527814,0.6412482255120692,0.3473328825900827,8.047892663691426
24,4.973690934901643,0.4617785439059014,0.6799908740620565,6.589069040307887,0.5939910768606799,0.49839223018165957,7.018983387360677
25,5.665340701683229,1.3832579598458732,4.60606266477388,4.542801165517636,0.6650233218414181,0.4938689341325789,4.7246048736478565
26,4.504857026972218,0.5108750760494828,0.7435591157980125,4.889815920546068,0.6606864733319832,0.5948850660035351,4.659933090346771
27,3.330104441289799,0.8961387142567432,2.4072733725410664,4.041512514242242,0.7085297099979762,0.5500208386601904,4.197467313384335
28,3.131862705333604,0.46595213952545117,0.8029486919488947,3.421010480737947,0.4677935510038555,0.5009686250050283,3.5850250841342737
29,4.709729263841006,0.39722470087203404,0.5562228756844453,6.842123176495163,0.4628756844453481,0.4581590075975615,7.492557162626488
30,3.107298722368688,0.638523626039343,1.3771709592374772,4.086777895107089,0.6071131616305031,0.4983015131195113,3.8826905092214656
31,3.2361792739809365,0.3929192861488542,0.6786838369499087,3.413696873751274,0.5328077469073232,0.6892990810646396,3.805018146570062
32,2.8267633340093288,0.3966396268505374,0.5953011559521395,2.3558633537000517,0.44884911782600184,0.6016609019382297,2.414846411228778
