id;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
1;4.715351523087147;1.127190187291318;1.168845802676675;2.862029693380315;0.573695963696164;150.78571428571428;1.0053282227323463;12.569787081692366;2.9282850997262413;1.64;8.570590535784122;3.4285714285714284;0.0
2;3.662222001914708;0.9930224677998649;0.5228341317330563;1.8866930718521617;0.7440509388250214;245.0;1.2928788325892644;8.7363079588398;0.09999999999999999;1.0;1.05;4.2;0.0
3;3.027437276142469;0.963836231605477;0.4431690137169376;1.3897942521420934;0.798972377941266;242.54054054054055;1.4599002913016585;6.642692875004615;;;;;0.0
4;5.0935774864547785;1.1362803958575256;0.2826244462615272;2.1004460016968043;0.7114464654684913;262.0;1.4202854943051584;13.489844863137959;0.3349892999082849;3.0;1.7866095995108529;2.6666666666666665;0.0
5;1.9298827640179275;0.7409429482551637;0.4913170005064344;3.2724853201695674;0.3896227431721841;245.06666666666666;0.08618586128311963;9.052167307382412;29.149638802889577;11.897435897435898;132.99522703818369;16.03787878787879;0.0
6;2.353754284047225;0.7020005582690427;0.7032390341480403;2.1652640780932417;0.6056049100405057;230.41176470588235;0.43408272893342253;5.484201197344857;1.0037404580152671;1.6363636363636365;21.022786259541984;1.5774058577405858;0.009770992366412214
7;2.31073743940523;0.7122653380146245;0.7354911460183137;0.9398428783258078;0.7965006059065527;207.1081081081081;0.8416352220802551;4.634673468338877;0.16216516205416606;1.5;0.7027157022347196;5.2;0.0
8;8.934423610192086;1.8014192185330247;0.42246696825398616;0.38261392218418655;0.911160338316105;176.59459459459458;6.857260331576037;12.485098390400024;;;;;0.0
9;4.527530905301752;1.2523457315811823;0.7560823348006119;3.5279077913755246;0.6391656067336848;266.2432432432432;0.6744912242920211;15.265597071174726;5.6757806718958115;3.0;80.29878274382122;16.691011235955056;0.0
11;10.396794113163596;1.46222457229836;0.6656272999527361;3.2592241407551557;0.6565211571663366;266.27027027027026;1.900659069367602;27.530037251746837;0.9729909723249963;1.3333333333333333;29.62216960189433;7.828571428571428;0.0
12;6.350276561689642;1.0936337990413114;0.5028903271559585;2.2294145302386106;0.6611847997157362;235.0;1.6212412628418633;16.05028850213445;0.44165659008464325;1.1538461538461537;8.155925030229746;3.2209302325581395;0.0
13;1.4139112784818602;0.24115896647653928;2.183807899929234;1.7770794721340835;0.7474008693059792;158.03333333333333;0.5026960321077969;3.4788486553192435;0.5000684556407448;1.6666666666666667;1.1001506024096386;1.5;0.0
14;4.493230672790114;0.7846630044215094;0.6519065210705296;0.584994347068479;0.8616863672906137;195.02702702702703;3.121628389675304;7.522047995534836;0.027027527009027674;1.0;;;0.0
15;5.24242358381148;0.9063470883612662;0.7082640944355179;3.847964330453197;0.44640506263667656;248.24;0.2615678776290631;21.472657743785852;23.07410733150222;3.986666666666667;113.09399429537292;12.525641025641026;0.0
16;6.354582072065038;1.1488686003292903;0.8865834158499069;4.173656741280334;0.5079107499102019;254.8235294117647;0.4798974578081606;23.62572099978637;18.824287324851024;3.018867924528302;101.35702206474471;10.76875;0.0008052826542116283
17;6.963175646979133;1.0946915996925004;0.21019324622061658;2.1248840618081077;0.652291176508923;230.58823529411765;1.7969451931716083;17.906199460916433;0.7647366725720728;1.8571428571428572;5.529634401674988;4.476190476190476;0.0
18;3.003762558032252;1.0078814549607276;0.9463281904432144;0.9392733986227554;0.727837037033102;238.5;1.3530630835598891;8.458747677268972;1.6922185953458988;4.0;;;0.0
20;3.734140205826548;0.922778904575469;0.6485785599880926;1.7516075453234972;0.6144476664887256;198.8;0.8309163970649934;9.771625161994088;0.8017194073532101;1.2;15.633528443387599;7.090909090909091;0.0
21;6.311111006334718;1.0956403424465444;1.003646886767728;3.9222935327097113;0.4010523897640029;224.35294117647058;0.3044772963543777;24.92146670660582;16.92908399341228;2.037931034482759;110.2252372362952;9.011709601873536;0.0
22;1.5066611490005877;0.6873043197389902;0.8045693826939966;0.9692465314702197;0.7324731323253909;194.13333333333333;0.6104076187844828;3.7113081618732675;1.0051599587203301;5.333333333333333;0.5025799793601651;2.6666666666666665;0.0
23;8.71838384117498;1.2809162210706027;1.2724264206262565;2.049715962663801;0.530478209977916;172.0;1.9104434855782144;26.20788140296849;3.599835736448257;1.2272727272727273;11.132825333089981;5.0606060606060606;0.0
24;7.48105066681094;1.1251124599259446;0.769681508587261;3.0735828462233092;0.49071682269774114;231.23529411764707;0.8180268888468093;23.218329861768556;4.9109243697478995;1.3968253968253967;59.71237585943469;6.645962732919255;0.0
25;10.979481666975731;2.4823373168908156;-0.4690852007198507;1.5479564356545172;0.7477444279677008;191.25;2.641744548286604;25.17133956386293;;;10.546822068075496;11.933333333333334;0.0
26;4.535263043792607;0.9409864300543977;0.49547530916745264;0.6951574348564618;0.815092201839467;178.33333333333334;2.745618978115676;8.384513768925922;;;0.5833333333333334;2.3333333333333335;0.0
27;4.597700736551896;1.1668292991767253;1.2287976043032827;1.7268429080606926;0.6381393307795599;167.3846153846154;1.395451645656061;12.502780947588796;1.2913965822038893;1.2857142857142858;1.2913965822038893;9.0;0.0
29;7.669133825353106;1.1468276095649248;1.3078221722815109;4.433262030323798;0.42881660089465257;234.53846153846155;0.36806324110671934;28.525849802371543;14.163631022326674;2.152173913043478;119.46092831962396;8.520408163265307;0.0
30;3.5008387210759992;0.8886588104330881;1.1368642809315364;2.5969423927056465;0.5011011957064618;196.63636363636363;0.44478091027465705;11.056730157768829;3.9911423841059603;1.8;46.80521523178808;11.057142857142857;0.0
31;3.28152651008655;0.97314170186632;0.6448106257544246;2.1626953116977554;0.6578899045722867;251.65625;0.8772804093547719;9.746325626757685;0.6491759573436743;1.6923076923076923;1.3868759088705769;2.764705882352941;0.0
32;1.5044325245389236;0.6544460071009887;0.5209195520617047;1.2267864290922128;0.7292498275693581;220.35714285714286;0.6825120234195302;3.3981434192767566;0.6289822627862924;1.25;;;0.0
33;2.400312276380433;0.7736447750586077;0.4120679959986471;2.0927840430502624;0.5474949601320285;226.57142857142858;0.37690922946094296;8.603310987663864;9.036597887737141;3.2435897435897436;34.324784862116175;10.920454545454545;0.0
34;6.77975714223493;1.2370544981718004;0.8039332494681419;4.034625584028427;0.527114750605567;265.6216216216216;0.7751531149360313;27.075695045869644;29.191889291793085;5.346534653465347;123.20058462221566;38.957264957264954;0.0
35;8.33596199638146;1.0923460014024837;-0.011828613891492708;4.375470836110573;0.6428367190268467;290.8333333333333;0.8393987183838061;25.839298904038493;5.041666666666667;4.033333333333333;96.16666666666666;11.896907216494846;0.0
36;4.512736643029286;0.9096491317949359;0.6418509114100355;1.509993745897379;0.7824887720445416;224.8709677419355;1.9079330857027896;8.498760025583818;0.032260201377848435;1.0;;;0.0
37;4.175479245687676;0.8356735237656477;0.4050658140840848;0.4716013327650091;0.8959149042454203;183.97297297297297;3.0149914446729356;6.135020328712929;;;;;0.0
38;13.038737360988899;1.2520910743955838;0.5371408427288734;0.92602971954291;0.8430229840116559;199.3235294117647;7.527624833871274;22.459662046705894;;;;;0.0
39;0.8493683603611217;0.14259062073811074;2.754132076535799;1.6513067765227327;0.7176295903577264;162.72972972972974;0.2686105916690254;2.5337596109675236;3.5946610922006808;2.293103448275862;0.08108258102708303;3.0;0.0
40;14.469703523661579;1.3585114981763404;1.0996930771906854;1.0560729369166824;0.8318099406195234;204.33333333333334;8.047490460352195;26.479199222607583;;;;;0.0
41;3.495387813861791;1.0237748702963445;0.4635191852026383;2.5807254582283052;0.6645771810599856;257.3;0.7115847854339351;10.423662466477445;0.7323308270676692;2.0;17.11823308270677;9.35;0.0
42;4.201951256166479;0.9739079679461092;-0.11231846487988631;5.113805126357734;0.6365742975133947;287.85714285714283;0.3507068310084539;14.114601075663307;2.4283339851388344;2.8333333333333335;119.4168947985921;33.44;0.0
43;5.926965505267202;0.9110035964681324;-0.1767841937821098;5.668714664414254;0.6018189790878048;296.3333333333333;0.23902240414055315;22.87340484840684;31.077996340347667;9.3;145.6989935956084;14.863636363636363;0.008234217749313814
44;5.590627877210665;1.0470572523402246;-0.35390202149491823;5.085459013709675;0.6109184106206974;297.85714285714283;0.4129742442406518;21.726065011721044;36.752334024896264;8.558823529411764;151.05082987551867;23.92;0.0
45;3.1609822649960515;0.9456553307895524;-0.23606125952540558;1.6525359343426895;0.788964301365621;262.0;1.4434811510648342;7.706114410675679;;;;;0.0
46;4.223831103601977;0.9688369029598309;0.18665393072102743;1.0747969379348543;0.825778102485747;254.26666666666668;2.091756615338616;9.877745552399464;;;;;0.0
47;4.8537614207875155;0.9289885849989887;0.2638925876802232;5.278575224774391;0.5910026207862885;270.7692307692308;0.3714821763602252;15.308749786798572;6.1592340511987;1.930232558139535;119.2887799674929;20.22012578616352;0.0
48;7.742773214052061;1.0679558498044395;0.12014774986616145;5.252243124510159;0.5767096386885407;276.0;0.49150171156422084;25.392350052091086;4.920317813235679;2.1020408163265305;118.27870782108292;18.47761194029851;0.0
51;3.8360061397820706;0.8608198747618312;0.2612803425120725;2.373252521871712;0.6408011849737908;269.72727272727275;0.9581513146556568;10.791502881077799;0.20246674057649666;1.0;8.50360310421286;1.1666666666666667;0.0029563932002956393
54;5.19005421532678;0.8916039574886881;1.2331619257535857;3.6944552027456896;0.4360991500298076;230.9090909090909;0.4834828067961603;20.953625670377203;20.90428783107983;3.5113636363636362;107.97166141878125;15.346153846153847;0.0
55;6.252657918899323;0.9530878675135422;0.6696061833658404;3.251006311412273;0.49483715516368204;192.75;0.8331475064034954;20.580045201145087;7.735497237569061;2.1904761904761907;62.388466850828735;9.763157894736842;0.0
56;7.557217103981047;1.000303641999171;0.7652032762897668;4.7951795152914585;0.4900995488222175;252.41666666666666;0.5815571011891406;27.37389275297279;12.166666666666666;2.433333333333333;122.75;21.347826086956523;0.0
57;5.60546464934857;0.9119635778602216;0.513541357918963;3.5193742107562933;0.40043401796571093;252.0;0.449126359730506;19.429596866602328;1.7245042492917846;1.6666666666666667;77.25779036827196;10.666666666666666;0.0
